iter	Logloss
0	0.6906062011
1	0.6878997331
2	0.6843193998
3	0.6817632507
4	0.6791088294
5	0.6762052869
6	0.6725510056
7	0.6693088678
8	0.6656534768
9	0.6627220613
10	0.6593813311
11	0.6570039607
12	0.6549022423
13	0.6526458571
14	0.6500687807
15	0.6469137103
16	0.6444524922
17	0.6415684687
18	0.6387713075
19	0.6354074632
20	0.6324658792
21	0.6295829085
22	0.6269157402
23	0.6242090696
24	0.6213993945
25	0.6188593583
26	0.6164942921
27	0.614238678
28	0.6126668762
29	0.6096465142
30	0.6064555628
31	0.603697668
32	0.6013729589
33	0.5991220267
34	0.5967694649
35	0.5944374786
36	0.5923327529
37	0.5899882195
38	0.5870637679
39	0.5850231485
40	0.5827739177
41	0.5805811051
42	0.5784125909
43	0.5760928185
44	0.5741303861
45	0.5714163115
46	0.5694526205
47	0.5667128008
48	0.5646197145
49	0.5619939581
50	0.5596611286
51	0.5576606813
52	0.5555936716
53	0.5530182129
54	0.5508953293
55	0.5484814782
56	0.5463274792
57	0.5439116774
58	0.5422108409
59	0.5399991147
60	0.5378295292
61	0.535763405
62	0.5338272396
63	0.5319793337
64	0.5295694211
65	0.5275774526
66	0.5253549096
67	0.5230064734
68	0.5213811953
69	0.5193818158
70	0.5173544498
71	0.5149424249
72	0.5132906626
73	0.5110181102
74	0.5096995813
75	0.5077576707
76	0.5059224772
77	0.5037260378
78	0.5016756952
79	0.4992937788
80	0.4974914767
81	0.49532807
82	0.4933627442
83	0.4915291523
84	0.4897046636
85	0.4876773983
86	0.4861328301
87	0.4837891735
88	0.4812959962
89	0.4800501506
90	0.4782459858
91	0.4764103716
92	0.4748265199
93	0.4730438232
94	0.4712294161
95	0.4694878926
96	0.4677743942
97	0.4660735788
98	0.4647316908
99	0.4632892633
100	0.4614267295
101	0.4596185409
102	0.4579827925
103	0.456182918
104	0.4540972846
105	0.4526617972
106	0.4501842042
107	0.448914203
108	0.4472967307
109	0.4455492084
110	0.4434784094
111	0.4415599868
112	0.440021421
113	0.4383383401
114	0.436996267
115	0.4354483662
116	0.4336760764
117	0.4321935507
118	0.4308949679
119	0.4294388937
120	0.4278634419
121	0.425939694
122	0.4242036425
123	0.4227951656
124	0.4211114359
125	0.4199737144
126	0.4184974824
127	0.4172101724
128	0.4160520944
129	0.4142776599
130	0.4130088833
131	0.4116467255
132	0.410359818
133	0.4089560372
134	0.4071108133
135	0.4059801814
136	0.4044019928
137	0.4032028094
138	0.4017784076
139	0.3997234143
140	0.3980535102
141	0.3961534234
142	0.3945093349
143	0.392911379
144	0.3917007357
145	0.3903192361
146	0.3887514412
147	0.3873845197
148	0.3859445746
149	0.3844583328
150	0.3833825454
151	0.3819797973
152	0.3803418204
153	0.3789002438
154	0.3772468234
155	0.3757458394
156	0.3745354732
157	0.3732247805
158	0.3718946869
159	0.3707449983
160	0.3695707267
161	0.3684515615
162	0.3669639717
163	0.3657912831
164	0.364488021
165	0.3631471604
166	0.3619145746
167	0.360636585
168	0.3592075333
169	0.3581257135
170	0.3569302311
171	0.355099538
172	0.3539126188
173	0.3528694789
174	0.351479881
175	0.3501207833
176	0.348920158
177	0.3478856872
178	0.3467537969
179	0.3455458432
180	0.3440332358
181	0.3429763705
182	0.3414195875
183	0.3402092333
184	0.3387905131
185	0.337480401
186	0.3362456669
187	0.3349638571
188	0.3339087168
189	0.3328154057
190	0.3316478521
191	0.3304766198
192	0.32946806
193	0.3280260056
194	0.3266604727
195	0.3256235306
196	0.324620977
197	0.323444957
198	0.3222403447
199	0.3211124738
200	0.3197576369
201	0.3185437719
202	0.3177352384
203	0.3165971647
204	0.3153303574
205	0.3139981473
206	0.3130501394
207	0.3120626852
208	0.3111091097
209	0.3100335345
210	0.3091015384
211	0.3078990007
212	0.3069606811
213	0.3061132153
214	0.3049639324
215	0.3040650229
216	0.3029665604
217	0.3020163387
218	0.3008853977
219	0.2995996947
220	0.2984243383
221	0.2972274606
222	0.2962887416
223	0.2953106741
224	0.2942792977
225	0.2935480605
226	0.2927212492
227	0.2916486934
228	0.2904394527
229	0.2894024695
230	0.2886524901
231	0.2876715849
232	0.286879392
233	0.2860448624
234	0.2852545259
235	0.2842479058
236	0.2833863564
237	0.2826798362
238	0.2818458905
239	0.2811626871
240	0.2799089151
241	0.2789910821
242	0.2780440517
243	0.2772246512
244	0.2759984322
245	0.2751125353
246	0.2742002105
247	0.2734529349
248	0.2726056193
249	0.2720204152
250	0.2709357793
251	0.2699533967
252	0.2688092522
253	0.2679363579
254	0.2667921419
255	0.2659095782
256	0.2646381003
257	0.2636101134
258	0.2628836006
259	0.2619799231
260	0.2612200983
261	0.2603057221
262	0.2595021755
263	0.2584359042
264	0.2577922225
265	0.2570328161
266	0.2561343307
267	0.2552347399
268	0.2547394149
269	0.2540146564
270	0.2532178176
271	0.2523356023
272	0.2516178787
273	0.2508694999
274	0.2501074481
275	0.2494863952
276	0.248544278
277	0.2480219516
278	0.2472221449
279	0.2467115362
280	0.2456432432
281	0.2448414159
282	0.2440957663
283	0.2432827858
284	0.2425788331
285	0.2416489311
286	0.240930896
287	0.2402989092
288	0.2398337372
289	0.2392338239
290	0.2386401308
291	0.2381061137
292	0.2369002168
293	0.2360561594
294	0.2352458109
295	0.2345400773
296	0.2338511663
297	0.2330343013
298	0.2325007831
299	0.2317770608
300	0.2311206338
301	0.2303669194
302	0.2296058749
303	0.2290569189
304	0.2282299968
305	0.2277361256
306	0.2272944453
307	0.2267249994
308	0.2260815809
309	0.2252185956
310	0.2246354409
311	0.2239776368
312	0.2233882651
313	0.2224475885
314	0.221601473
315	0.2209211595
316	0.2204088134
317	0.2199123964
318	0.2195058731
319	0.218918658
320	0.2183436123
321	0.2176529201
322	0.2169990887
323	0.2164303022
324	0.2157853164
325	0.2152053803
326	0.2147139549
327	0.214105951
328	0.2135109045
329	0.2129471883
330	0.212337664
331	0.2117080808
332	0.2112878596
333	0.2107443824
334	0.2101964183
335	0.2096869255
336	0.2091733103
337	0.2085371209
338	0.2079558271
339	0.2073889884
340	0.206939886
341	0.2063265048
342	0.2057915884
343	0.2052664354
344	0.2046806015
345	0.2041289727
346	0.2036034534
347	0.202888338
348	0.2024450473
349	0.2019703403
350	0.2014772614
351	0.2010436912
352	0.2003062507
353	0.1997322003
354	0.1992762643
355	0.1987923702
356	0.1982877572
357	0.1976180678
358	0.1970994758
359	0.1961201037
360	0.195643909
361	0.195169355
362	0.1944116746
363	0.1938346513
364	0.1931499076
365	0.1926214938
366	0.1921627688
367	0.1915738024
368	0.1911577473
369	0.1906183744
370	0.1900879612
371	0.1895152407
372	0.1888579592
373	0.1883406428
374	0.1878631701
375	0.1874097553
376	0.1868850288
377	0.1863318123
378	0.1859740128
379	0.1855482022
380	0.1850057669
381	0.1843823125
382	0.1840336668
383	0.1835793463
384	0.183186312
385	0.1827540221
386	0.1822182578
387	0.1817719368
388	0.1813166574
389	0.1807803623
390	0.1803197538
391	0.1799291777
392	0.1793371337
393	0.1786976136
394	0.1782899223
395	0.177976269
396	0.1776755979
397	0.1770405198
398	0.176546403
399	0.1758961836
400	0.1754952386
401	0.1751070139
402	0.1747468812
403	0.1742233843
404	0.1738805031
405	0.1733936881
406	0.1728500163
407	0.1724599722
408	0.172094466
409	0.1717159947
410	0.1712069725
411	0.170774733
412	0.1701855379
413	0.1698025845
414	0.1692556168
415	0.1687948801
416	0.1683385295
417	0.1680614409
418	0.1677336343
419	0.1674009249
420	0.167102474
421	0.1667468761
422	0.1662227968
423	0.1658255157
424	0.165403947
425	0.165036682
426	0.1646911738
427	0.1642452113
428	0.1638771224
429	0.1631378628
430	0.1628258112
431	0.1623799734
432	0.1619282454
433	0.16132032
434	0.1609352057
435	0.1605941479
436	0.1600694805
437	0.1597599355
438	0.1593891491
439	0.1590714037
440	0.1585703497
441	0.1581872776
442	0.1577482572
443	0.1573796004
444	0.1570099329
445	0.1566286132
446	0.1562478611
447	0.1560042513
448	0.1554827007
449	0.1551456081
450	0.1548332567
451	0.1544475652
452	0.1541645437
453	0.1537766031
454	0.1533605851
455	0.152977109
456	0.1526468369
457	0.1523234015
458	0.1516831889
459	0.1512925702
460	0.1510297949
461	0.1505943863
462	0.1502556166
463	0.149927488
464	0.1494789469
465	0.1492331599
466	0.1489174639
467	0.1486371547
468	0.1484479041
469	0.1480316833
470	0.147730213
471	0.1474252089
472	0.1470679864
473	0.146538201
474	0.1461543676
475	0.1458195577
476	0.1453734349
477	0.1449953285
478	0.1445920991
479	0.1441682378
480	0.1438036648
481	0.1434583882
482	0.1431911472
483	0.1427704321
484	0.142505851
485	0.1422624233
486	0.1419530695
487	0.1415647466
488	0.1412873965
489	0.1409063665
490	0.140679932
491	0.1403469531
492	0.1400459451
493	0.1396702994
494	0.1394189919
495	0.1390743284
496	0.1387265774
497	0.1384403362
498	0.1380084999
499	0.1377343229
500	0.1375250156
501	0.1372681407
502	0.1369039718
503	0.1366305154
504	0.136363256
505	0.1360708916
506	0.135590348
507	0.1353055071
508	0.1349872351
509	0.1346803644
510	0.1344393358
511	0.1342284738
512	0.1339932216
513	0.1336927369
514	0.1333331796
515	0.1330540296
516	0.1328145405
517	0.1323695897
518	0.1320471893
519	0.1315131909
520	0.1312803783
521	0.1309494161
522	0.1306182356
523	0.1303370705
524	0.1300539011
525	0.1297625042
526	0.1294121311
527	0.1291747717
528	0.1289514146
529	0.1287335187
530	0.1283538827
531	0.1281157681
532	0.1278207188
533	0.1276021418
534	0.1272610389
535	0.1269657162
536	0.1266020153
537	0.1263202794
538	0.1258995749
539	0.1257165807
540	0.1254426986
541	0.1251609741
542	0.1248998043
543	0.1245443874
544	0.1243825397
545	0.1240339999
546	0.1238560905
547	0.1235734232
548	0.123356931
549	0.1230297306
550	0.1227791539
551	0.1224582671
552	0.1221559587
553	0.1217618953
554	0.1215255825
555	0.121251762
556	0.1208970298
557	0.1206379667
558	0.1203452518
559	0.1201307381
560	0.1199522762
561	0.1196984313
562	0.1194015481
563	0.1191798278
564	0.1188950983
565	0.1185806431
566	0.1182898051
567	0.1180881847
568	0.1176410397
569	0.1173651269
570	0.1171703362
571	0.1169018884
572	0.1167032588
573	0.116404552
574	0.1161319104
575	0.115932286
576	0.1157331647
577	0.1154966824
578	0.1153286787
579	0.1151041641
580	0.1148954817
581	0.1146571213
582	0.1144380499
583	0.1141654218
584	0.1139846398
585	0.1137674268
586	0.1135651211
587	0.1132014943
588	0.1129945636
589	0.1125801252
590	0.1122867423
591	0.1119778097
592	0.1117286881
593	0.1114885117
594	0.1112610139
595	0.1111004372
596	0.1108988314
597	0.1105144738
598	0.1102715243
599	0.1100933244
600	0.1099060909
601	0.1096418676
602	0.1093864087
603	0.1090954401
604	0.1088669303
605	0.1086396459
606	0.1084296466
607	0.108250163
608	0.1080308379
609	0.1078391115
610	0.1076417416
611	0.1074819314
612	0.1072533747
613	0.106953125
614	0.1067859342
615	0.1066061807
616	0.106369492
617	0.1061757949
618	0.1059699556
619	0.1058134682
620	0.1056474067
621	0.105390191
622	0.1051577698
623	0.1049482279
624	0.1047762466
625	0.1045876832
626	0.1043545732
627	0.1041546791
628	0.1038910153
629	0.1037424641
630	0.1035506861
631	0.1033912651
632	0.1032693925
633	0.1030666781
634	0.1027801286
635	0.10254844
636	0.1023807334
637	0.1022214025
638	0.1020783729
639	0.1018748445
640	0.1016993319
641	0.1015120336
642	0.1013093104
643	0.1010524242
644	0.1008759143
645	0.1007245238
646	0.1004699912
647	0.1002613378
648	0.09999317105
649	0.09984492945
650	0.09965843831
651	0.09947295412
652	0.09930327597
653	0.09908861866
654	0.09890396036
655	0.09873545989
656	0.09855059187
657	0.09835107401
658	0.09816989352
659	0.09788560073
660	0.09768831233
661	0.09752818234
662	0.09732197473
663	0.09718668511
664	0.0969649865
665	0.09675372342
666	0.09657865291
667	0.09639338081
668	0.09620214688
669	0.09593127444
670	0.09577239354
671	0.09559555985
672	0.09542375132
673	0.09524871781
674	0.09506561694
675	0.09485460371
676	0.0946891504
677	0.09450125421
678	0.09430995174
679	0.09412591892
680	0.0939605323
681	0.09381787069
682	0.09371022197
683	0.0935667567
684	0.09342092685
685	0.09327281838
686	0.09303439719
687	0.09288117737
688	0.09263450243
689	0.09248275297
690	0.09224413907
691	0.09201909602
692	0.09185654285
693	0.09169232684
694	0.09152632629
695	0.09136365143
696	0.09117359904
697	0.09094216836
698	0.09080124175
699	0.09062256577
700	0.09029846775
701	0.09017071078
702	0.0900165764
703	0.08986076377
704	0.08971605785
705	0.08955681001
706	0.08942799916
707	0.08933527147
708	0.0891251523
709	0.08896982099
710	0.08875477798
711	0.08864639848
712	0.08852299998
713	0.08841528036
714	0.08829357115
715	0.08796526988
716	0.08783665299
717	0.08763008167
718	0.08749227387
719	0.08731520722
720	0.08721280185
