Early Clonal	Clonal	Late Clonal	Subclonal	Bulk WGS	id
True	True	True	True	True	I-H-135967-T1-2-D1-1
True	True	True	True	True	IID_H156409_T01_01_WG01
True	True	True	True	True	KiCS0276_19_5404_A_02_00
True	True	True	False	True	KiCS0349_19_17411_A_02_00
True	True	True	False	True	KiCS0363_19_21783_A_02_00
True	True	True	True	True	zcc344
True	True	True	False	True	zcc9
False	True	False	True	True	I-H-108319-T1-1-D1-1
False	True	True	False	False	I-H-134733-T3-2-D1-1
False	True	True	True	True	I-H-135088-T1-2-D1-1
False	True	False	True	True	IID_H136433_T07_01_WG01
False	True	True	True	True	IID_H136648_T01_01_WG01
False	True	False	False	True	IID_H136649_T01_01_WG01
False	True	False	False	True	IID_H156418_T01_01_WG01
False	True	True	True	False	IID_H158223_T01_01_WG01
False	True	False	True	True	KiCS0002_321321
False	True	False	True	True	KiCS0016_270650
False	True	True	True	True	KiCS0038_305256
False	True	True	True	True	KiCS0038_310410
False	True	True	True	True	KiCS0103_304770
False	True	False	False	True	KiCS0162_317276
False	True	False	False	False	KiCS0184_324069
False	True	True	True	True	KiCS0194_328185
False	True	True	True	True	KiCS0204_19_13898_A_02_00
False	True	True	True	True	KiCS0218_20_11154_A_02_00
False	True	True	False	True	KiCS0282_19_8768_A_02_00
False	True	True	True	True	KiCS0327_20_75_A_02_00
False	True	False	False	True	zcc119
False	True	True	False	True	zcc147
False	True	True	True	True	zcc158
False	True	True	True	True	zcc160
False	True	False	False	True	zcc169
False	True	True	True	True	zcc191
False	True	True	True	True	zcc199
False	True	False	False	True	zcc223
False	True	True	True	True	zcc225
False	True	False	False	False	zcc232
False	True	False	True	True	zcc242
False	True	True	True	True	zcc279
False	True	False	True	True	zcc29
False	True	False	False	True	zcc3
False	True	True	True	True	zcc331
False	True	False	False	True	zcc355
False	True	False	True	True	zcc401
False	True	True	True	True	zcc403
False	True	False	False	False	zcc57
False	True	True	False	True	zcc97
False	True	False	True	True	I-H-133674-T1-2-D1-1
False	True	False	True	True	zcc171
False	True	False	False	True	zcc186
False	True	False	True	True	zcc365
False	True	False	True	True	zcc55
False	False	True	True	True	KiCS0010_270647
False	False	True	False	False	KiCS0154_18_752
False	False	True	False	True	zcc130
False	False	False	True	True	I-H-133675-T1-2-D1-1
False	False	False	True	True	I-H-136375-T1-1-D1-1
False	False	False	True	False	IID_H158493_T01_01_WG01
False	False	False	True	True	zcc233
False	False	False	True	True	zcc35
False	False	False	True	False	zcc380
False	False	False	True	False	zcc63
False	False	False	True	False	KiCS0154_326256
False	False	False	True	True	zcc185
False	False	False	False	True	I-H-108298-T1-1-D1-1
False	False	False	False	True	KiCS0091_18_14899_A_02_00
False	False	False	False	True	KiCS0197_20_1402_A_02_00
False	False	False	False	True	KiCS0365_19_19570_A_02_00
False	False	False	False	True	zcc10
False	False	False	False	True	KiCS0345_20_11162_A_02_00
False	False	False	False	True	zcc79
False	False	False	False	True	zcc292
