Samples	Signatures	Mutations
KiCS0002_321321	SBS1	0
KiCS0003_20_15220_A_02_00	SBS1	0
KiCS0005_300238	SBS1	0
KiCS0005_4677	SBS1	0
KiCS0007_302948	SBS1	0
KiCS0008_289185	SBS1	0
KiCS0010_270645	SBS1	0
KiCS0010_270647	SBS1	0
KiCS0011_19_24259_A_02_00	SBS1	0
KiCS0011_270648	SBS1	0
KiCS0013_319375	SBS1	0
KiCS0015_288017	SBS1	0
KiCS0016_270650	SBS1	0
KiCS0017_270651	SBS1	0
KiCS0018_270652	SBS1	0
KiCS0024_272790	SBS1	0
KiCS0025_272791	SBS1	0
KiCS0025_307284	SBS1	0
KiCS0029_274194	SBS1	0
KiCS0030_273368	SBS1	0
KiCS0035_18_2434_A_03_00	SBS1	0
KiCS0035_270452	SBS1	0
KiCS0035_270453	SBS1	0
KiCS0035_270454	SBS1	0
KiCS0036_275798	SBS1	0
KiCS0037_283114	SBS1	0
KiCS0038_287533	SBS1	0
KiCS0038_305256	SBS1	0
KiCS0038_310410	SBS1	0
KiCS0041_317512	SBS1	0
KiCS0042_284388	SBS1	0
KiCS0044_285046	SBS1	0
KiCS0045_288555	SBS1	0
KiCS0048_18_753	SBS1	0
KiCS0048_290132	SBS1	0
KiCS0050_290492	SBS1	0
KiCS0051_289184	SBS1	0
KiCS0055_318143	SBS1	0
KiCS0059_291150	SBS1	0
KiCS0061_290886	SBS1	0
KiCS0066_301446	SBS1	0
KiCS0067_294232	SBS1	0
KiCS0069_295533	SBS1	0
KiCS0069_298700	SBS1	0
KiCS0074_20_10579_A_02_00	SBS1	0
KiCS0076_299020	SBS1	0
KiCS0076_303115	SBS1	0
KiCS0078_297044	SBS1	0
KiCS0079_19_7192	SBS1	0
KiCS0083_298314	SBS1	0
KiCS0085_299826	SBS1	0
KiCS0086_298838	SBS1	0
KiCS0087_297229	SBS1	0
KiCS0087_299908	SBS1	0
KiCS0090_299554	SBS1	0
KiCS0091_18_14899_A_02_00	SBS1	0
KiCS0092_19_18518_A_02_00	SBS1	0
KiCS0092_319682	SBS1	0
KiCS0092_329766	SBS1	0
KiCS0093_305080	SBS1	0
KiCS0093_314662	SBS1	0
KiCS0095_300240	SBS1	0
KiCS0096_302713	SBS1	0
KiCS0098_301163	SBS1	0
KiCS0100_301918	SBS1	0
KiCS0101_303761	SBS1	0
KiCS0103_304770	SBS1	0
KiCS0104_303117	SBS1	0
KiCS0106_302802	SBS1	0
KiCS0107_307283	SBS1	0
KiCS0111_313467	SBS1	0
KiCS0118_312902	SBS1	0
KiCS0119_307642	SBS1	0
KiCS0120_308939	SBS1	0
KiCS0121_311881	SBS1	0
KiCS0125_309277	SBS1	0
KiCS0126_328068	SBS1	0
KiCS0128_310151	SBS1	0
KiCS0143_316365	SBS1	0
KiCS0148_319486	SBS1	0
KiCS0149_316368	SBS1	0
KiCS0154_18_752	SBS1	0
KiCS0155_18_9678	SBS1	0
KiCS0155_314825	SBS1	0
KiCS0158_316457	SBS1	0
KiCS0161_319069	SBS1	0
KiCS0165_317832	SBS1	0
KiCS0168_319321	SBS1	0
KiCS0169_319629	SBS1	0
KiCS0171_19_17562_A_02_00	SBS1	0
KiCS0171_319910	SBS1	0
KiCS0172_321979	SBS1	0
KiCS0179_322516	SBS1	0
KiCS0184_324069	SBS1	0
KiCS0188_334057	SBS1	0
KiCS0193_328018	SBS1	0
KiCS0193_328020	SBS1	0
KiCS0194_328185	SBS1	0
KiCS0195_328069	SBS1	0
KiCS0197_20_1402_A_02_00	SBS1	0
KiCS0197_20_15931_A_02_00	SBS1	0
KiCS0197_326711	SBS1	0
KiCS0198_327862	SBS1	0
KiCS0200_332386	SBS1	0
KiCS0204_19_13898_A_02_00	SBS1	0
KiCS0209_18_1512	SBS1	0
KiCS0212_333928	SBS1	0
KiCS0218_18_1530	SBS1	0
KiCS0218_20_11154_A_02_00	SBS1	0
KiCS0220_18_3730	SBS1	0
KiCS0220_18_8816_A_02_00	SBS1	0
KiCS0221_18_2564	SBS1	0
KiCS0222_18_7573	SBS1	0
KiCS0226_18_2569	SBS1	0
KiCS0228_18_7577	SBS1	0
KiCS0228_18_7579	SBS1	0
KiCS0235_18_4828	SBS1	0
KiCS0238_18_5640	SBS1	0
KiCS0241_19_7197	SBS1	0
KiCS0246_18_11279	SBS1	0
KiCS0249_19_18443	SBS1	0
KiCS0249_20_423_A_02_00	SBS1	0
KiCS0249_20_7122_A_02_00	SBS1	0
KiCS0261_19_18923_A_02_00	SBS1	0
KiCS0266_19_13897_A_02_00	SBS1	0
KiCS0269_18_13380	SBS1	0
KiCS0271_19_13900_A_02_00	SBS1	0
KiCS0272_20_18312_A_02_00	SBS1	0
KiCS0274_19-4026-A-02-00	SBS1	0
KiCS0276_19_5404_A_02_00	SBS1	0
KiCS0277_19_13896_A_02_00	SBS1	0
KiCS0277_19_4280_A_02_01	SBS1	0
KiCS0282_20_18314_A_02_00	SBS1	0
KiCS0283_19_15299_A_02_00	SBS1	0
KiCS0285_19_15633_A_02_00	SBS1	0
KiCS0289_19_15639_A_02_00	SBS1	0
KiCS0292_19_15636_A_02_00	SBS1	0
KiCS0293_19_15645_A_02_00	SBS1	0
KiCS0295_19_3667_A_02_00	SBS1	0
KiCS0296_19_6855	SBS1	0
KiCS0298_19_3826	SBS1	0
KiCS0298_20_11148_A_02_00	SBS1	0
KiCS0299_19_3794	SBS1	0
KiCS0306_19_19567_A_02_00	SBS1	0
KiCS0310_9_15653_A_02_00	SBS1	967
KiCS0312_19_15651_A_02_00	SBS1	0
KiCS0314_19_11045_A_02_00	SBS1	0
KiCS0319_19_11213_A_02_00	SBS1	0
KiCS0319_19_19753_A_02_00	SBS1	0
KiCS0320_20_18316_A_02_00	SBS1	0
KiCS0323_19_26722_A_02_00	SBS1	0
KiCS0326_19_21779_A_02_00	SBS1	0
KiCS0327_20_75_A_02_00	SBS1	0
KiCS0329_19_12113_A_02_00	SBS1	0
KiCS0332_19_12115_A_02_00	SBS1	0
KiCS0337_19_12649_A_02_00	SBS1	0
KiCS0339_20_1400_A_02_00	SBS1	0
KiCS0341_19_17403_A_02_00	SBS1	0
KiCS0343_19_13225_A_06_00	SBS1	0
KiCS0345_20_1395_A_02_00	SBS1	0
KiCS0349_19_17411_A_02_00	SBS1	0
