Type	Total	KiCS	ZERO	MSK
NBL	88	48	23	17
HGG	54	23	30	1
OST	44	19	10	15
BALL	34	21	13	0
EWS	30	10	18	2
ERMS	26	15	6	5
DMG	26	4	22	0
ARMS	21	9	11	1
WT	18	12	4	2
AML	17	4	13	0
EPD	17	7	10	0
US	16	11	2	3
MBL	14	4	10	0
MRT	13	5	8	0
TALL	10	1	9	0
ATRT	9	3	6	0
SS	8	5	1	2
DSRCT	7	4	1	2
HCC	6	2	4	0
MPNST	6	1	5	0
HB	6	5	0	1
ACC	6	3	3	0
LGG	5	2	3	0
MFT	5	5	0	0
ES	4	3	1	0
PGL	4	4	0	0
MPN	4	4	0	0
PTC	4	4	0	0
Other	4	0	4	0
CHS	4	0	0	4
GIST	3	2	1	0
CD	3	3	0	0
ETMR	3	0	3	0
MN	3	2	1	0
EMBCNS	3	0	3	0
CPC	3	1	2	0
ASPS	3	0	3	0
SPINDLE	3	0	3	0
RCC	3	3	0	0
AML/DS	2	2	0	0
BL	2	0	2	0
HOG	2	0	2	0
MET	2	0	2	0
GCT	2	1	1	0
GGL	2	0	2	0
PNET	2	1	1	0
IFS	2	0	2	0
AF	2	2	0	0
PBL	2	0	2	0
MS	2	2	0	0
MNET	2	0	2	0
CRC	2	2	0	0
AL	2	2	0	0
AMKL	2	2	0	0
MAO	2	2	0	0
TNHL	2	2	0	0
SPPT	1	0	1	0
RBL	1	0	0	1
SRCC	1	0	0	1
HTL	1	0	1	0
SAR	1	0	0	1
SPTL	1	0	1	0
NEO	1	0	0	1
SCS	1	0	0	1
ANS	1	0	1	0
CCA	1	0	0	1
CNBL	1	0	1	0
HCS	1	0	1	0
ALCL	1	0	1	0
ACPP	1	0	1	0
RHAB	1	0	1	0
OSBL	1	0	1	0
YST	1	1	0	0
EMC	1	1	0	0
MLN	1	0	1	0
NSCC	1	0	1	0
GS	1	1	0	0
NE	1	1	0	0
BNHL	1	1	0	0
SCST	1	1	0	0
LPD	1	1	0	0
GN/NBL	1	1	0	0
MPAL	1	1	0	0
LB	1	1	0	0
LS	1	1	0	0
PT	1	1	0	0
MM	1	1	0	0
EMS	1	1	0	0
OF	1	1	0	0
JMML	1	1	0	0
MT	1	1	0	0
AM	1	1	0	0
HGNET	1	0	1	0
HANS	1	0	1	0
DES	1	0	1	0
LMS	1	0	0	1
