Type	count
NBL	88
HGG	54
OST	44
BALL	34
EWS	30
ERMS	26
DMG	26
ARMS	21
WT	18
AML	17
EPD	17
US	16
MBL	14
MRT	13
TALL	10
ATRT	9
SS	8
DSRCT	7
HCC	6
MPNST	6
HB	6
ACC	6
LGG	5
MFT	5
ES	4
PGL	4
MPN	4
PTC	4
Other	4
CHS	4
GIST	3
CD	3
ETMR	3
MN	3
EMBCNS	3
CPC	3
ASPS	3
SPINDLE	3
RCC	3
AML/DS	2
BL	2
HOG	2
MET	2
GCT	2
GGL	2
PNET	2
IFS	2
AF	2
PBL	2
MS	2
MNET	2
CRC	2
AL	2
AMKL	2
MAO	2
TNHL	2
SPPT	1
RBL	1
SRCC	1
HTL	1
SAR	1
SPTL	1
NEO	1
SCS	1
ANS	1
CCA	1
CNBL	1
HCS	1
ALCL	1
ACPP	1
RHAB	1
OSBL	1
YST	1
EMC	1
MLN	1
NSCC	1
GS	1
NE	1
BNHL	1
SCST	1
LPD	1
GN/NBL	1
MPAL	1
LB	1
LS	1
PT	1
MM	1
EMS	1
OF	1
JMML	1
MT	1
AM	1
HGNET	1
HANS	1
DES	1
LMS	1
