Type	KiCS	ZERO	MSK
NBL	48	23	17
HGG	23	30	1
OST	19	10	15
BALL	21	13	0
EWS	10	18	2
ERMS	15	6	5
DMG	4	22	0
ARMS	9	11	1
WT	12	4	2
AML	4	13	0
EPD	7	10	0
US	11	2	3
MBL	4	10	0
MRT	5	8	0
TALL	1	9	0
ATRT	3	6	0
SS	5	1	2
DSRCT	4	1	2
MPNST	1	5	0
HCC	2	4	0
ACC	3	3	0
HB	5	0	1
MFT	5	0	0
LGG	2	3	0
CHS	0	0	4
Other	0	4	0
ES	3	1	0
PGL	4	0	0
MPN	4	0	0
PTC	4	0	0
MN	2	1	0
CPC	1	2	0
ASPS	0	3	0
SPINDLE	0	3	0
EMBCNS	0	3	0
ETMR	0	3	0
RCC	3	0	0
GIST	2	1	0
CD	3	0	0
MNET	0	2	0
HOG	0	2	0
GGL	0	2	0
MET	0	2	0
BL	0	2	0
PBL	0	2	0
IFS	0	2	0
PNET	1	1	0
CRC	2	0	0
AMKL	2	0	0
TNHL	2	0	0
AML/DS	2	0	0
MS	2	0	0
AF	2	0	0
MAO	2	0	0
AL	2	0	0
GCT	1	1	0
HTL	0	1	0
HCS	0	1	0
ANS	0	1	0
CNBL	0	1	0
SPTL	0	1	0
HGNET	0	1	0
OSBL	0	1	0
HANS	0	1	0
MLN	0	1	0
NSCC	0	1	0
DES	0	1	0
ALCL	0	1	0
NEO	0	0	1
SRCC	0	0	1
SAR	0	0	1
RBL	0	0	1
SCS	0	0	1
CCA	0	0	1
SPPT	0	1	0
SCST	1	0	0
RHAB	0	1	0
ACPP	0	1	0
MM	1	0	0
PT	1	0	0
LS	1	0	0
LB	1	0	0
MPAL	1	0	0
GN/NBL	1	0	0
LPD	1	0	0
BNHL	1	0	0
NE	1	0	0
GS	1	0	0
AM	1	0	0
MT	1	0	0
JMML	1	0	0
OF	1	0	0
EMS	1	0	0
YST	1	0	0
EMC	1	0	0
LMS	0	0	1
