	SBS1	SBS2	SBS5	SBS7a	SBS7b	SBS8	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS17a	SBS17b	SBS18	SBS20	SBS31	SBS33	SBS35	SBS39	SBS43	SBS44	SBS45	SBS46	SBS53	SBS54	SBS57	SBS60	SBS84	SBS87	SBS288L1/H3	SBS288L2	SBS288L3	SBS288L4	SBS288L5	SBS288H1	SBS288H2	SBS288H4	SBS288H5	Unassigned_SBS	Burden
I-H-133673-T2-1-D1-1	563	0	1883	0	0	0	0	0	0	0	0	0	0	0	0	1085	0	1321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1668	0	0	1786	0	0	0	0	0	8306
I-H-133674-T1-2-D1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4912	0	5965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10877
I-H-133675-T1-2-D1-1	237	298	470	0	0	0	0	0	0	0	402	0	0	0	0	0	0	2848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1427	0	0	0	0	0	5682
I-H-135088-T1-2-D1-1	0	0	2920	0	0	0	0	0	0	0	0	0	0	0	0	1851	0	1209	0	1736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7716
I-H-135420-T1-2-D1-1	0	0	2599	0	0	1653	0	0	0	0	0	0	0	0	0	0	0	569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4821
I-H-135967-T1-2-D1-1	0	0	4326	0	0	0	0	0	0	0	0	0	0	0	0	6489	0	7602	0	0	5125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23542
I-H-136134-T1-1-D1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2127	0	4590	0	3298	0	0	0	0	0	0	0	0	0	0	0	0	2962	0	2423	0	0	0	0	0	0	15400
IID_H136433_T07_01_WG01	223	447	1951	0	0	0	0	0	0	1703	287	0	0	0	0	1183	0	1426	0	0	1847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	946	10013
IID_H136648_T01_01_WG01	158	0	266	0	0	0	0	0	0	0	0	0	0	0	0	1590	0	1882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	840	0	0	0	0	0	0	0	0	4736
IID_H156409_T01_01_WG01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21429
IID_H156418_T01_01_WG01	0	0	427	0	0	0	0	0	0	0	0	0	0	0	0	466	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	1410
IID_H158182_T01_01_WG01	250	0	831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1632	0	1201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3914
KiCS0002_321321	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10876	0	4226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15207
KiCS0010_270647	179	0	6174	0	0	0	0	0	0	0	0	0	0	0	0	1513	0	2416	0	0	0	0	0	0	0	0	0	0	0	0	0	4537	0	0	0	3220	0	0	0	0	0	18039
KiCS0016_270650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4799	0	1522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6321
KiCS0038_305256	0	0	1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2252	0	4342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7611
KiCS0092_19_18518_A_02_00	150	0	3719	0	0	0	0	0	0	0	0	0	0	0	0	4938	0	1170	0	0	0	0	0	0	0	0	0	0	0	0	0	3345	0	1919	0	0	0	0	0	0	0	15241
KiCS0092_319682	0	0	2157	0	0	0	0	0	0	0	0	0	0	0	0	4911	0	879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1402	0	0	0	0	0	0	0	0	9349
KiCS0103_304770	218	0	2460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6008
KiCS0165_317832	0	0	1675	0	0	0	0	0	0	0	0	0	0	0	0	5680	0	1773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2081	0	1755	0	0	0	0	0	12964
KiCS0218_20_11154_A_02_00	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2184	0	7394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6461	0	2642	0	0	0	0	0	0	18792
KiCS0276_19_5404_A_02_00	0	0	1279	0	0	0	0	0	0	0	0	0	0	686	1655	1760	0	9223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14603
KiCS0282_19_8768_A_02_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6756	0	979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7735
KiCS0327_20_75_A_02_00	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	1216	0	1523	0	0	1655	0	0	0	0	0	0	0	0	0	0	0	1619	0	1073	0	0	0	0	0	0	7285
KiCS0349_19_17411_A_02_00	0	0	1089	0	0	0	0	0	0	0	0	0	0	0	0	2481	0	4771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1696	4486	0	0	0	0	0	14523
KiCS0363_19_21783_A_02_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1050	0	3027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4077
