	DBS1	DBS2	DBS4	DBS5	DBS6	DBS7	DBS9	DBS10	DBS11	DBS78L1/H1	DBS78H2	DBS78H3	Burden
I-H-108298-T1-1-D1-1	0.0	80.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	140.0
I-H-133673-T2-1-D1-1	0.0	28.0	33.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.0
I-H-133674-T1-2-D1-1	0.0	211.0	0.0	134.0	0.0	0.0	0.0	0.0	0.0	0.0	246.0	0.0	591.0
I-H-134733-T3-2-D1-1	0.0	28.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	101.0	0.0	200.0
I-H-135967-T1-2-D1-1	0.0	39.0	0.0	96.0	95.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	300.0
I-H-136134-T1-1-D1-1	0.0	46.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	207.0
IID_H136433_T07_01_WG01	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0
IID_H136648_T01_01_WG01	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0
IID_H156409_T01_01_WG01	0.0	86.0	0.0	123.0	102.0	0.0	0.0	0.0	0.0	0.0	149.0	0.0	460.0
KiCS0002_321321	0.0	49.0	0.0	152.0	0.0	0.0	0.0	0.0	0.0	0.0	202.0	0.0	403.0
KiCS0008_289185	0.0	47.0	89.0	110.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	310.0
KiCS0030_273368	0.0	34.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0
KiCS0038_305256	0.0	249.0	0.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	416.0
KiCS0038_310410	0.0	328.0	0.0	316.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	644.0
KiCS0069_295533	0.0	50.0	46.0	39.0	32.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	193.0
KiCS0103_304770	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	108.0
KiCS0165_317832	0.0	28.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	126.0
KiCS0204_19_13898_A_02_00	0.0	55.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0	243.0
KiCS0282_19_8768_A_02_00	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0
KiCS0306_19_19567_A_02_00	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0
KiCS0349_19_17411_A_02_00	0.0	32.0	50.0	109.0	59.0	0.0	0.0	0.0	0.0	0.0	151.0	0.0	401.0
KiCS0365_19_19570_A_02_00	0.0	27.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	129.0
zcc22	0.0	0.0	0.0	35.0	50.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	124.0
zcc55	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	86.0
zcc57	0.0	56.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	111.0
zcc97	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	0.0	127.0
zcc130	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0
zcc132	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0
zcc160	0.0	58.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	0.0	190.0
zcc331	0.0	0.0	34.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	125.0
zcc186	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0
zcc191	0.0	49.0	0.0	147.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196.0
zcc199	0.0	0.0	25.0	29.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0
zcc225	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	0.0	181.0
zcc233	0.0	72.0	163.0	151.0	107.0	0.0	0.0	0.0	0.0	0.0	148.0	0.0	641.0
zcc242	0.0	36.0	46.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.0
I-H-135462-T1-2-D1-1	0.0	109.0	133.0	122.0	0.0	0.0	0.0	0.0	0.0	0.0	148.0	0.0	512.0
zcc292	0.0	216.0	0.0	513.0	0.0	0.0	0.0	0.0	0.0	0.0	160.0	0.0	889.0
