	DBS1	DBS2	DBS4	DBS5	DBS6	DBS7	DBS9	DBS10	DBS11	DBS78L1/H1	DBS78H2	DBS78H3	Burden
I-H-108319-T1-1-D1-1	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	82.0
I-H-133674-T1-2-D1-1	0.0	211.0	0.0	134.0	0.0	0.0	0.0	0.0	0.0	0.0	246.0	0.0	591.0
I-H-133675-T1-2-D1-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.0	0.0	152.0
I-H-134733-T3-2-D1-1	0.0	28.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	101.0	0.0	200.0
I-H-135088-T1-2-D1-1	0.0	27.0	25.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	124.0
I-H-135967-T1-2-D1-1	0.0	39.0	0.0	96.0	95.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	300.0
I-H-136134-T1-1-D1-1	0.0	46.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	207.0
I-H-136375-T1-1-D1-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	217.0	0.0	217.0
IID_H156409_T01_01_WG01	0.0	86.0	0.0	123.0	102.0	0.0	0.0	0.0	0.0	0.0	149.0	0.0	460.0
IID_H158182_T01_01_WG01	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.0	0.0	139.0
IID_H158223_T01_01_WG01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	183.0	0.0	183.0
KiCS0002_321321	0.0	49.0	0.0	152.0	0.0	0.0	0.0	0.0	0.0	0.0	202.0	0.0	403.0
KiCS0010_270647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	236.0	255.0	0.0	491.0
KiCS0016_270650	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	147.0	0.0	199.0
KiCS0038_305256	0.0	249.0	0.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	416.0
KiCS0069_295533	0.0	50.0	46.0	39.0	32.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	193.0
