	SBS1	SBS2	SBS5	SBS7a	SBS7b	SBS8	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS17a	SBS17b	SBS18	SBS20	SBS31	SBS33	SBS35	SBS39	SBS43	SBS44	SBS45	SBS46	SBS53	SBS54	SBS57	SBS60	SBS84	SBS87	SBS288L1/H3	SBS288L2	SBS288L3	SBS288L4	SBS288L5	SBS288H1	SBS288H2	SBS288H4	SBS288H5	Unassigned_SBS	Burden
I-H-133673-T2-1-D1-1	563	0	1883	0	0	0	0	0	0	0	0	0	0	0	0	1085	0	1321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1668	0	0	1786	0	0	0	0	0	8306
I-H-133675-T1-2-D1-1	237	298	470	0	0	0	0	0	0	0	402	0	0	0	0	0	0	2848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1427	0	0	0	0	0	5682
I-H-134733-T3-2-D1-1	0	239	2141	0	0	0	0	0	0	0	385	0	0	0	0	1833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2880	0	0	0	0	0	7478
IID_H156418_T01_01_WG01	0	0	427	0	0	0	0	0	0	0	0	0	0	0	0	466	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	1410
IID_H158223_T01_01_WG01	0	0	2254	0	0	0	0	0	0	931	0	0	0	0	0	1559	0	0	0	0	1234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2469	0	0	0	0	0	8447
IID_H158493_T01_01_WG01	237	0	2710	0	0	0	0	0	0	0	0	0	0	0	0	857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1233	0	0	0	0	0	5037
KiCS0010_270647	179	0	6174	0	0	0	0	0	0	0	0	0	0	0	0	1513	0	2416	0	0	0	0	0	0	0	0	0	0	0	0	0	4537	0	0	0	3220	0	0	0	0	0	18039
KiCS0069_295533	0	0	5813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3008	0	0	0	0	0	8821
KiCS0154_326256	231	0	1507	0	0	0	0	0	0	0	0	0	0	0	338	932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	657	0	0	0	0	0	3665
KiCS0165_317832	0	0	1675	0	0	0	0	0	0	0	0	0	0	0	0	5680	0	1773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2081	0	1755	0	0	0	0	0	12964
KiCS0349_19_17411_A_02_00	0	0	1089	0	0	0	0	0	0	0	0	0	0	0	0	2481	0	4771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1696	4486	0	0	0	0	0	14523
KiCS0365_19_19570_A_02_00	0	0	2139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12984	2226	0	0	0	0	0	19292
zcc5	144	0	2620	0	0	0	0	0	0	0	0	0	0	0	0	1575	0	1119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1979	1574	0	0	0	0	0	9011
zcc22	0	0	1217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1315	0	0	1955	0	0	0	0	0	6832
zcc279	0	0	4681	0	0	0	0	0	0	0	0	0	0	0	0	1633	0	2655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5028	0	0	0	0	0	13997
zcc158	186	0	2236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1111	0	0	0	0	498	4745
zcc171	119	0	1549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	805	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	594	0	0	0	0	0	3343
zcc185	123	0	1777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	598	0	533	0	0	0	0	0	3541
zcc191	140	1854	2838	0	0	0	0	0	0	0	1196	0	0	0	507	0	0	2937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3703	0	0	0	0	0	13175
zcc199	0	0	1310	0	0	0	0	0	0	0	0	0	0	0	0	1550	0	1794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	949	0	0	1276	0	0	0	0	0	6879
zcc403	213	0	3438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2647	0	0	0	0	0	9239
zcc225	0	0	4813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3976	0	0	0	0	0	10955
zcc233	0	0	2721	0	0	0	0	0	0	0	0	0	0	0	0	4650	0	6724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6884	0	0	0	0	0	20979
