Condition	Signature	Fraction	Counts
high_all	"Signature
Negative"	0.49	(20/41)
high_all	"Signature
Positive"	0.7	(49/70)
high_pre	"Signature
Negative"	0.6	(6/10)
high_pre	"Signature
Positive"	0.45	(5/11)
high_post	"Signature
Negative"	0.45	(14/31)
high_post	"Signature
Positive"	0.75	(44/59)
low_all	"Signature
Negative"	0.32	(12/37)
low_all	"Signature
Positive"	0.47	(31/66)
low_pre	"Signature
Negative"	0.67	(6/9)
low_pre	"Signature
Positive"	0.5	(5/10)
low_post	"Signature
Negative"	0.21	(6/28)
low_post	"Signature
Positive"	0.46	(26/56)
