	"Primary
Naive"	"Primary
Treated"	"Advanced
Naive"	"Advanced
Treated"
TP53	48	8	1	27
H3F3A	20	0	0	1
PIK3CA	15	1	0	2
NF1	11	1	0	3
NRAS	9	1	0	5
KRAS	2	0	0	11
CTNNB1	3	1	1	5
BRAF	5	0	0	4
ALK	2	5	1	1
ACVR1	8	0	0	0
PTPN11	4	0	0	4
PDGFRA	4	0	0	3
PPM1D	3	0	0	4
SMARCA4	6	0	0	1
DICER1	3	0	0	3
RB1	5	0	0	1
HIST1H3B	6	0	0	0
SMARCB1	3	1	1	0
FGFR4	1	0	0	4
HRAS	3	1	0	1
FBXW7	2	0	0	3
PIK3R1	5	0	0	0
PTEN	3	1	0	1
POLE	5	0	0	0
KMT2D	3	0	0	1
NT5C2	0	0	0	4
MUC4	3	1	0	0
FLT3	3	0	0	1
MYCN	2	1	0	1
FGFR1	2	1	0	1
SETD2	4	0	0	0
MED12	2	1	0	1
TET2	4	0	0	0
CD209	1	0	0	3
ARID1A	3	1	0	0
DNMT3A	4	0	0	0
CIC	4	0	0	0
XPO1	2	0	0	1
GNAS	1	0	1	1
APC	3	0	0	0
ATM	2	0	0	1
SMAD4	1	0	1	1
IDH1	2	0	0	1
BRCA2	1	0	0	2
WT1	2	0	0	1
