Condition	Zero	One	Two+	Type	Status
All	0.7647058823529411	0.2235294117647059	0.011764705882352941	NBL	relative_low
Primary-Naive	0.625	0.375	0.0	NBL	relative_low
Primary-Treated	0.75	0.25	0.0	NBL	relative_low
Advanced-Naive	0.0	1.0	0.0	NBL	relative_low
Advanced-Treated	0.8125	0.16666666666666666	0.020833333333333332	NBL	relative_low
All	0.7272727272727273	0.25	0.022727272727272728	OST	relative_low
Primary-Naive	0.8	0.2	0.0	OST	relative_low
Primary-Treated	0.8	0.2	0.0	OST	relative_low
Advanced-Naive	1.0	0.0	0.0	OST	relative_low
Advanced-Treated	0.6521739130434783	0.30434782608695654	0.043478260869565216	OST	relative_low
All	0.40476190476190477	0.3333333333333333	0.2619047619047619	HGG	relative_low
Primary-Naive	0.4090909090909091	0.2727272727272727	0.3181818181818182	HGG	relative_low
Primary-Treated	0.2	0.6	0.2	HGG	relative_low
Advanced-Naive	0.0	0.0	0.0	HGG	relative_low
Advanced-Treated	0.4666666666666667	0.3333333333333333	0.2	HGG	relative_low
All	0.6451612903225806	0.16129032258064516	0.1935483870967742	BALL	relative_low
Primary-Naive	0.5384615384615384	0.23076923076923078	0.23076923076923078	BALL	relative_low
Primary-Treated	1.0	0.0	0.0	BALL	relative_low
Advanced-Naive	0.0	0.0	0.0	BALL	relative_low
Advanced-Treated	0.6666666666666666	0.13333333333333333	0.2	BALL	relative_low
All	0.6666666666666666	0.26666666666666666	0.06666666666666667	EWS	relative_low
Primary-Naive	0.6363636363636364	0.2727272727272727	0.09090909090909091	EWS	relative_low
Primary-Treated	1.0	0.0	0.0	EWS	relative_low
Advanced-Naive	0.0	0.0	0.0	EWS	relative_low
Advanced-Treated	0.6666666666666666	0.2777777777777778	0.05555555555555555	EWS	relative_low
All	0.0	0.23076923076923078	0.7692307692307693	DMG	relative_low
Primary-Naive	0.0	0.25	0.75	DMG	relative_low
Primary-Treated	0.0	0.0	1.0	DMG	relative_low
Advanced-Naive	0.0	0.0	0.0	DMG	relative_low
Advanced-Treated	0.0	0.0	1.0	DMG	relative_low
All	0.44	0.32	0.24	ERMS	relative_low
Primary-Naive	0.4444444444444444	0.4444444444444444	0.1111111111111111	ERMS	relative_low
Primary-Treated	0.3333333333333333	0.0	0.6666666666666666	ERMS	relative_low
Advanced-Naive	0.0	0.0	0.0	ERMS	relative_low
Advanced-Treated	0.46153846153846156	0.3076923076923077	0.23076923076923078	ERMS	relative_low
All	0.9523809523809523	0.047619047619047616	0.0	ARMS	relative_low
Primary-Naive	0.8571428571428571	0.14285714285714285	0.0	ARMS	relative_low
Primary-Treated	1.0	0.0	0.0	ARMS	relative_low
Advanced-Naive	1.0	0.0	0.0	ARMS	relative_low
Advanced-Treated	1.0	0.0	0.0	ARMS	relative_low
All	0.6111111111111112	0.3333333333333333	0.05555555555555555	WT	relative_low
Primary-Naive	0.0	1.0	0.0	WT	relative_low
Primary-Treated	0.8	0.2	0.0	WT	relative_low
Advanced-Naive	1.0	0.0	0.0	WT	relative_low
Advanced-Treated	0.5454545454545454	0.36363636363636365	0.09090909090909091	WT	relative_low
All	0.8823529411764706	0.11764705882352941	0.0	EPD	relative_low
Primary-Naive	0.8	0.2	0.0	EPD	relative_low
Primary-Treated	1.0	0.0	0.0	EPD	relative_low
Advanced-Naive	0.0	0.0	0.0	EPD	relative_low
Advanced-Treated	0.9	0.1	0.0	EPD	relative_low
All	0.5	0.125	0.375	AML	relative_low
Primary-Naive	0.42857142857142855	0.14285714285714285	0.42857142857142855	AML	relative_low
Primary-Treated	0.0	0.0	0.0	AML	relative_low
Advanced-Naive	0.0	0.0	0.0	AML	relative_low
Advanced-Treated	0.5555555555555556	0.1111111111111111	0.3333333333333333	AML	relative_low
All	0.8	0.06666666666666667	0.13333333333333333	US	relative_low
Primary-Naive	0.8	0.1	0.1	US	relative_low
Primary-Treated	1.0	0.0	0.0	US	relative_low
Advanced-Naive	0.0	0.0	0.0	US	relative_low
Advanced-Treated	0.5	0.0	0.5	US	relative_low
All	0.9230769230769231	0.07692307692307693	0.0	MRT	relative_low
Primary-Naive	0.8571428571428571	0.14285714285714285	0.0	MRT	relative_low
Primary-Treated	1.0	0.0	0.0	MRT	relative_low
Advanced-Naive	1.0	0.0	0.0	MRT	relative_low
Advanced-Treated	1.0	0.0	0.0	MRT	relative_low
All	0.5833333333333334	0.25	0.16666666666666666	MBL	relative_low
Primary-Naive	1.0	0.0	0.0	MBL	relative_low
Primary-Treated	0.6666666666666666	0.3333333333333333	0.0	MBL	relative_low
Advanced-Naive	0.0	0.0	0.0	MBL	relative_low
Advanced-Treated	0.3333333333333333	0.3333333333333333	0.3333333333333333	MBL	relative_low
All	0.5	0.3	0.2	TALL	relative_low
Primary-Naive	0.75	0.25	0.0	TALL	relative_low
Primary-Treated	1.0	0.0	0.0	TALL	relative_low
Advanced-Naive	0.0	0.0	0.0	TALL	relative_low
Advanced-Treated	0.2	0.4	0.4	TALL	relative_low
All	65.0	19.0	1.0	NBL	absolute_low
Primary-Naive	5.0	3.0	0.0	NBL	absolute_low
Primary-Treated	21.0	7.0	0.0	NBL	absolute_low
Advanced-Naive	0.0	1.0	0.0	NBL	absolute_low
Advanced-Treated	39.0	8.0	1.0	NBL	absolute_low
All	32.0	11.0	1.0	OST	absolute_low
Primary-Naive	8.0	2.0	0.0	OST	absolute_low
Primary-Treated	8.0	2.0	0.0	OST	absolute_low
Advanced-Naive	1.0	0.0	0.0	OST	absolute_low
Advanced-Treated	15.0	7.0	1.0	OST	absolute_low
All	17.0	14.0	11.0	HGG	absolute_low
Primary-Naive	9.0	6.0	7.0	HGG	absolute_low
Primary-Treated	1.0	3.0	1.0	HGG	absolute_low
Advanced-Naive	0.0	0.0	0.0	HGG	absolute_low
Advanced-Treated	7.0	5.0	3.0	HGG	absolute_low
All	20.0	5.0	6.0	BALL	absolute_low
Primary-Naive	7.0	3.0	3.0	BALL	absolute_low
Primary-Treated	3.0	0.0	0.0	BALL	absolute_low
Advanced-Naive	0.0	0.0	0.0	BALL	absolute_low
Advanced-Treated	10.0	2.0	3.0	BALL	absolute_low
All	20.0	8.0	2.0	EWS	absolute_low
Primary-Naive	7.0	3.0	1.0	EWS	absolute_low
