Sample_id	sbs_burden	dbs_burden	id_burden	sbs_log	dbs_log	id_log
KiCS0002_321321	Low	High	Mid	4.182043546	2.605305046	3.048053173
KiCS0003_285201	Low	Low	Low	3.203032887	0.84509804	2.243038049
KiCS0003_285202	Low	Low	Mid	3.564666064	1.301029996	2.597695186
KiCS0003_20_15220_A_02_00	Low	High	Mid	4.231571526	1.763427994	3.319730494
KiCS0005_300238	Low	Low	Low	2.440909082	0.477121255	1.792391689
KiCS0005_4677	Low	Low	Mid	2.683047038	0.84509804	2.346352974
KiCS0006_274243	Low	Low	Mid	3.584557361	1.477121255	2.255272505
KiCS0007_302948	Low	High	Mid	3.892651034	2.334453751	2.737192643
KiCS0008_289185	Low	High	Mid	4.235124264	2.491361694	3.197556213
KiCS0010_270645	Low	High	Mid	3.830010936	1.707570176	3.109915863
KiCS0010_270646	Low	Low	Low	2.399673721	0.698970004	1.86923172
KiCS0010_270647	Low	High	Mid	4.256212459	2.691081492	3.199206479
KiCS0011_270648	Low	Low	Low	2.660865478	0.903089987	1.763427994
KiCS0011_19_24259_A_02_00	Low	Low	Mid	3.04453976	1.579783597	2.499687083
KiCS0013_319375	Low	Low	Low	3.291146762	1.146128036	2.079181246
KiCS0014_328066	High	High	High	5.461153235	2.901458321	3.693726949
KiCS0015_283113	Low	Low	Mid	3.709439574	1.612783857	2.867467488
KiCS0015_288017	Low	Low	Mid	3.793371249	1.568201724	2.931457871
KiCS0015_316119	Low	High	Mid	3.933132824	1.716003344	3.128076013
KiCS0015_18_7567	Low	High	Mid	3.881156321	1.886490725	3.111598525
KiCS0016_270650	Low	High	Mid	3.802636918	2.298853076	2.274157849
KiCS0017_270651	Low	Low	Low	2.811575006	1.041392685	1.939519253
KiCS0017_271603	Low	Low	Low	2.484299839	1.113943352	1.880813592
KiCS0018_270652	Low	Low	High	4.082749477	1.662757832	4.505597614
KiCS0024_272790	Low	Low	Mid	2.7084209	1.176091259	2.447158031
KiCS0025_272791	Low	Low	Mid	3.682415862	1.531478917	2.615950052
KiCS0025_307284	Low	Low	Mid	4.061377074	1.531478917	2.689308859
KiCS0029_274194	Low	Low	Mid	3.643748685	1.633468456	2.804820679
KiCS0030_273368	Low	High	Mid	3.899820502	1.919078092	2.904174368
KiCS0031_283112	Low	Low	Mid	2.964730921	1.278753601	2.603144373
KiCS0032_276054	High	High	Mid	4.508098577	2.866287339	3.006037955
KiCS0032_273811	High	High	Mid	4.803341015	2.250420002	2.888179494
KiCS0033_319631	Low	Low	Low	2.80685803	1.079181246	2
KiCS0035_270452	Low	Low	Mid	2.990338855	1.322219295	2.389166084
KiCS0035_270453	Low	Low	Mid	3.254548077	1.602059991	2.603144373
KiCS0035_270454	Low	Low	Mid	3.077367905	1.477121255	2.602059991
KiCS0035_18_2434_A_03_00	Low	High	Mid	3.86254877	1.740362689	2.760422483
KiCS0036_275797	Low	Low	Mid	3.255513713	0.903089987	2.485721426
KiCS0036_275798	Low	Low	Mid	3.417803723	0.954242509	2.401400541
KiCS0037_283114	Low	High	Mid	3.650113164	1.785329835	2.829303773
KiCS0038_287533	Low	Low	Mid	2.949390007	1.477121255	2.624282096
KiCS0038_305256	Low	High	Mid	3.886659898	2.619093331	2.544068044
KiCS0038_310410	Low	High	Mid	3.971368637	2.808885867	2.668385917
KiCS0039_297368	Low	Low	Mid	3.110252917	1	2.374748346
KiCS0040_286739	High	High	Mid	4.749813585	3.119255889	3.100370545
KiCS0041_317512	Low	Low	Mid	3.280350693	0.84509804	2.247973266
KiCS0041_317510	Low	Low	Mid	3.307282047	1.079181246	2.392696953
KiCS0042_284388	Low	Low	Low	2.978636948	0.698970004	2.230448921
KiCS0043_290134	Low	Low	Low	2.627365857	0.602059991	1.897627091
KiCS0044_285046	Low	Low	Low	3.078819183	0.77815125	2.130333768
KiCS0045_288555	Low	Low	Low	2.870988814	0.77815125	1.897627091
KiCS0046_292280	Low	Low	Low	2.640481437	0.477121255	1.716003344
KiCS0048_290132	Low	High	Mid	4.179695383	2.08278537	3.094121596
KiCS0048_18_753	Low	High	Mid	4.25428215	2.029383778	2.962369336
KiCS0049_289183	Low	Low	Mid	2.733197265	0.77815125	2.365487985
KiCS0049_289187	Low	Low	Mid	2.833784375	1.230448921	2.532754379
KiCS0050_290492	Low	Low	Mid	3.497067936	1.662757832	3.106530854
KiCS0051_289184	Low	High	Mid	3.81756537	1.84509804	2.931457871
KiCS0052_289182	Low	Low	Mid	3.01911629	1.230448921	2.278753601
KiCS0055_318143	Low	Low	Mid	3.569022586	1.698970004	2.858537198
KiCS0059_291150	Low	Low	Mid	3.307923704	1.278753601	2.799340549
KiCS0060_291967	High	High	High	5.267962129	3.652246341	3.563955465
KiCS0061_290886	Low	Low	Mid	3.128399269	1.204119983	2.517195898
KiCS0062_291776	High	High	High	4.436989088	1.963787827	4.493764668
KiCS0064_293844	Low	High	Mid	4.212187604	1.851258349	2.783188691
