Sample_id	SBS	DBS	ID
KiCS0002_321321	15207	403	1117
KiCS0003_285201	1596	7	175
KiCS0003_285202	3670	20	396
KiCS0003_20_15220_A_02_00	17044	58	2088
KiCS0005_300238	276	3	62
KiCS0005_4677	482	7	222
KiCS0006_274243	3842	30	180
KiCS0007_302948	7810	216	546
KiCS0008_289185	17184	310	1576
KiCS0010_270645	6761	51	1288
KiCS0010_270646	251	5	74
KiCS0010_270647	18039	491	1582
KiCS0011_270648	458	8	58
KiCS0011_19_24259_A_02_00	1108	38	316
KiCS0013_319375	1955	14	120
KiCS0014_328066	289170	797	4940
KiCS0015_283113	5122	41	737
KiCS0015_288017	6214	37	854
KiCS0015_316119	8573	52	1343
KiCS0015_18_7567	7606	77	1293
KiCS0016_270650	6348	199	188
KiCS0017_270651	648	11	87
KiCS0017_271603	305	13	76
KiCS0018_270652	12099	46	32033
KiCS0024_272790	511	15	280
KiCS0025_272791	4813	34	413
KiCS0025_307284	11518	34	489
KiCS0029_274194	4403	43	638
KiCS0030_273368	7940	83	802
KiCS0031_283112	922	19	401
KiCS0032_276054	32218	735	1014
KiCS0032_273811	63583	178	773
KiCS0033_319631	641	12	100
KiCS0035_270452	978	21	245
KiCS0035_270453	1797	40	401
KiCS0035_270454	1195	30	400
KiCS0035_18_2434_A_03_00	7287	55	576
KiCS0036_275797	1801	8	306
KiCS0036_275798	2617	9	252
KiCS0037_283114	4468	61	675
KiCS0038_287533	890	30	421
KiCS0038_305256	7703	416	350
KiCS0038_310410	9362	644	466
KiCS0039_297368	1289	10	237
KiCS0040_286739	56210	1316	1260
KiCS0041_317512	1907	7	177
KiCS0041_317510	2029	12	247
KiCS0042_284388	952	5	170
KiCS0043_290134	424	4	79
KiCS0044_285046	1199	6	135
KiCS0045_288555	743	6	79
KiCS0046_292280	437	3	52
KiCS0048_290132	15125	121	1242
KiCS0048_18_753	17959	107	917
KiCS0049_289183	541	6	232
KiCS0049_289187	682	17	341
KiCS0050_290492	3141	46	1278
KiCS0051_289184	6570	70	854
KiCS0052_289182	1045	17	190
KiCS0055_318143	3707	50	722
KiCS0059_291150	2032	19	630
KiCS0060_291967	185337	4490	3664
KiCS0061_290886	1344	16	329
KiCS0062_291776	27352	92	31172
KiCS0064_293844	16300	71	607
KiCS0066_301446	1721	10	131
KiCS0067_294232	7504	30	516
KiCS0068_294906	732	12	151
KiCS0069_298700	2523	19	701
KiCS0069_295533	8850	193	1217
KiCS0070_296084	683	21	109
KiCS0074_302458	800	13	117
KiCS0074_296401	218	2	65
KiCS0074_20_10579_A_02_00	3423	50	1065
KiCS0076_299020	1934	15	232
KiCS0076_303115	1899	12	168
KiCS0078_297044	538	5	95
KiCS0079_19_7192	1617	8	245
KiCS0083_298314	15452	54	12129
KiCS0084_300714	4662	27	774
KiCS0085_299826	2826	14	656
KiCS0086_298838	521	7	56
KiCS0087_299908	3704	27	508
KiCS0087_297229	4363	36	968
KiCS0088_298840	222	4	62
KiCS0090_299554	15326	642	721
KiCS0091_301892	330	15	53
KiCS0091_18_14899_A_02_00	11572	95	906
KiCS0092_298842	418	8	78
KiCS0092_319682	9433	72	581
KiCS0092_329766	9450	73	574
KiCS0092_19_18518_A_02_00	15241	201	2557
KiCS0093_305080	6755	26	963
KiCS0093_314662	426	12	200
KiCS0095_300240	1502	14	177
KiCS0096_302713	2123	18	141
KiCS0098_301161	582	7	67
KiCS0098_301163	433	5	46
KiCS0099_301444	1982	16	92
KiCS0100_301918	845	9	74
KiCS0101_303761	1521	20	294
KiCS0103_304770	6008	127	514
KiCS0104_303117	551	4	143
KiCS0104_312594	337	3	91
KiCS0106_302802	2300	58	660
KiCS0107_307283	1183	12	501
KiCS0109_304552	5231	44	259
KiCS0110_304269	2031	16	161
KiCS0111_313467	2491	12	684
KiCS0112_306734	508	7	65
KiCS0114_304772	3473	30	616
