	ID1	ID2	ID3	ID4	ID5	ID8	ID9	ID12	ID17	ID83L1	ID83I1	ID83I2	ID83I3/H1	ID83H2	ID83H3	ID83H4	ID83I4/H5
	MMRD/MSI	MMRD/MSI	Tobacco	Unknown	Unknown	Radiation	Unknown	Unknown	Top2A	Novel	Novel	Novel	Novel	Novel	Novel	Novel	Novel
I-H-108298-T1-1-D1-1	279	216	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0
I-H-108317-T1-1-D1-1	484	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-108319-T1-1-D1-1	355	181	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0
I-H-108333-T2-2-D1-1	303	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-121266-T1-2-D1-1	183	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-133671-T1-2-D1-1	147	107	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0
I-H-133672-T1-2-D1-1	364	1059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-133673-T2-1-D1-1	90	0	0	0	0	134	207	0	0	0	0	0	0	0	0	0	0
I-H-133674-T1-2-D1-1	246	180	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-133675-T1-2-D1-1	555	733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-134733-T3-2-D1-1	128	288	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-134753-T1-1-D1-1	265	328	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0
I-H-134754-T1-1-D1-1	244	579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-134756-T1-1-D1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-134757-T1-1-D1-1	301	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-134768-T1-1-D1-2	118	320	0	0	282	247	0	0	0	0	0	0	0	0	0	0	0
I-H-135062-T1-1-D1-1	699	2581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
