	1_SBS31_0.968153_0.98	2_SBS44_0.63	3_0.96	4_SBS11_0.985989_0.97	5_0.92	6_SBS17b_0.879886_0.93	7_SBS36_0.979943_0.84	8_SBS2_0.999321_1.0	9_0.97	10_0.94	11_SBS32_0.59	12_SBS13_0.988529_0.95	13_SBS7a_0.9327_1.0	14_SBS21_0.935793_1.0	15_0.99	16_0.92	17_SBS4_0.935484_0.97	18_SBS15_0.917425_0.87	19_SBS17b_0.961548_0.99	20_0.92	21_SBS29_0.27	22_SBS14_0.77	23_SBS1_0.996494_1.0	24_0.96	25_SBS13_-0.5
SBS288L1	0.2441844133663178	0.6240986589082391	0.5647551144795431	0.37272565653527456	0.6380466636455643	0.22151141222291792	0.11895122684509851	0.17903732695930408	0.34251641459466475	0.5095426154223849	0.6288113893997151	0.10499166627470513	0.21695692503203912	0.48639597520964806	0.21439109976302095	0.19337736876026157	0.2938996604802899	0.29155100744918605	0.06968926474265236	0.38374374125587196	0.4344389102291977	0.27907856062529546	0.23059941025611974	0.7012729201297675	0.34138299880179446
SBS288L2	0.3473326395260927	0.7743441216097283	0.2870863640647455	0.599044203709491	0.3969646548474759	0.09389240687125633	0.23653529010841123	0.2206642591258683	0.2645643978632809	0.21328410279770116	0.6625090920306937	0.0945324648865501	0.29732755948523426	0.27930901657877816	0.1826215030979652	0.08139861021736117	0.4556298537925123	0.5877751538164804	0.04793628120684845	0.4205210773955932	0.4384422556946399	0.4444096765432921	0.11835810030129712	0.3726955146620059	0.2666670574085177
SBS288L3	0.07625044825003657	0.1461421722636267	0.5022484940370012	0.06415361088669613	0.5155707998998665	0.12630453785989992	0.036824743510451174	0.02813966465913864	0.5627262404779385	0.3000751768464318	0.09486075698292984	0.022052000127986138	0.06503908793277169	0.8656184849799639	0.14250880929105691	0.0892253905997461	0.09099941368212683	0.1222156306623523	0.060985808926058205	0.16770114135545533	0.17213924122716384	0.26880523798747824	0.05535359550201924	0.6677884464769854	0.16869683227798604
SBS288L4	0.16996248295176208	0.16987412173809802	0.584708480391191	0.09897493942507485	0.4211700648547029	0.21206385367221614	0.1607886795776221	0.06406294838931625	0.18262697370469239	0.6096629104051922	0.13498852730502797	0.09508756720671918	0.11087486168283434	0.4474792018824124	0.21357261787951154	0.7616284639337222	0.24550148363043378	0.15118199235597707	0.11239808914633753	0.405459200626757	0.3177360326445744	0.22901756523365857	0.026180406696058922	0.4989401356933134	0.286316941407887
SBS288L5	0.4490092335951341	0.3789839169998992	0.19618387206294052	0.1439281436257065	0.38105123563089904	0.17176181610285746	0.1844459980355666	0.059166161502503534	0.20899597551315763	0.21797769360362163	0.1975753493076866	0.07537752364071637	0.10415880849700809	0.14662473294677014	0.08151224677422808	0.26616607657016766	0.5803424805136138	0.17649170130847325	0.08422931814542722	0.8225219726448569	0.34977046658898014	0.3682197464287391	0.041436945027624295	0.24250026290940618	0.22830772426055956
SBS288H1	0.12899335591884276	0.37814106771311695	0.18822477839757779	0.3675645165845778	0.3347639869667629	0.18236923112934933	0.1387237463339135	0.08990330015712555	0.7674116873757199	0.15488091056348985	0.24361204629000444	0.011393840912642395	0.16525177825966353	0.3905421209569082	0.32554430449154936	0.04702034565926849	0.11016877825998772	0.7719817821425355	0.11724955170835671	0.16524545036022054	0.1963704301527296	0.6541891570548826	0.397568232055722	0.20922833251681738	0.1405426899772091
SBS288H2	0.04407495269661721	0.18893934144315538	0.16721185269244343	0.0359816965195352	0.21516226618722545	0.02759236522452102	0.014114274595910747	0.02442983462131998	0.3206197363020835	0.04495373940043024	0.06413403522030525	0.007145183495798735	0.05832552448196249	0.10137008370822942	0.11291561056764454	0.019471204183552415	0.013015058153445946	0.4999558009559617	0.011110371893835569	0.07191847150396435	0.08647109969499511	0.360455367779305	0.9324121191023502	0.08465002792281551	0.061540900128925435
SBS288H3	0.2495312902353215	0.5089899721012849	0.5839619058746879	0.3640405901276962	0.5991804496568321	0.2595360227741377	0.14867517190396118	0.22621904236826706	0.39981814443715114	0.5340084920826762	0.5490596895223733	0.15356492993143211	0.24394423038947166	0.4887062024280582	0.2354882612986331	0.2414444996136682	0.3157774255506214	0.24271371216130277	0.08698596714661821	0.4741077988899267	0.459914826995546	0.2842970934373077	0.2053549756874551	0.6675098497948616	0.399494963281238
SBS288H4	0.07038541534532938	0.1911210303227483	0.47258110082815363	0.1304938365674877	0.5593291477966854	0.11608807906830998	0.026256698462456707	0.08536551778922552	0.5036651034374893	0.38891186458478466	0.11102069522088442	0.016257440310955662	0.10919969232627491	0.9622587132637211	0.14871173767490853	0.17602972862684885	0.10071805792191135	0.27986860289628335	0.03739322949290025	0.19138626778755796	0.14409211826509194	0.31658649182898935	0.08005982637639653	0.5409829671949709	0.1421944910314863
SBS288H5	0.8591782223900964	0.28056079580465065	0.15833629059475007	0.6476451387152355	0.17777802520079433	0.04541745007562403	0.03422991513133988	0.21124450884719592	0.11735271783138745	0.08785668722386741	0.5028002740301232	0.03558730037613522	0.6447421679531856	0.14691527338574062	0.07224827705732695	0.02931418144176412	0.11589209735391592	0.09925572486707313	0.023328745329228795	0.12734638231489925	0.1183797741577648	0.1004221304804448	0.06083337586318782	0.31082975836058924	0.10180360470376415
