	1_1	3_SBS12_0.915572_1	5_1	7_1	10_1	13_SBS3_0.870929_1	14_1	17_SBS1_0.995019_1	21_SBS31_0.953955_1	23_SBS39_0.884544_1	24_1	27_1	28_1	29_SBS22_0.893766_1	32_1	35_1	36_1	37_1	41_SBS16_0.856273_1	42_1	47_SBS21_0.950463_1	48_SBS44_0.864247_1	50_SBS15_0.93882_1	51_1	52_SBS32_0.939281_1	53_SBS11_0.988806_1	54_SBS12_0.859843_1	55_SBS26_0.943655_1	58_SBS44_0.899453_1	59_1	65_SBS44_0.903138_1	66_SBS7b_0.984914_1	67_1	68_1	71_SBS44_0.865933_1
SBS288L1	0.5401855140341745	0.5661509695528635	0.567303852889995	0.21001665543792347	0.6649886261556147	0.5975826550916826	0.22114451270064628	0.2466404737961596	0.18737408465486116	0.6371992917901116	0.6698596960797375	0.192311761413146	0.5051000193106584	0.3332312459851845	0.6284640803530193	0.6414160947330874	0.4729726108355543	0.2903896447496068	0.7183645193774537	0.6498963699324278	0.46873571003798176	0.6162809543534451	0.24101579698856757	0.4603155189969155	0.5967987961212821	0.3287926477450481	0.6764415440615723	0.5366861830685739	0.6307666625738395	0.3895558583551706	0.5853234390218477	0.2530521560814133	0.6904798096340101	0.34053016408982306	0.6409035092398447
SBS288L2	0.567951442525334	0.26428879481177603	0.8597737163712795	0.08765382622762175	0.48376627837726494	0.5923374407349032	0.25534207008645693	0.14749686240156745	0.25300286091576085	0.47438968798328696	0.6573819220595017	0.2592553645180524	0.23499279459634514	0.24131701473191147	0.4387797667359571	0.44520717990041403	0.44842904215614243	0.5567740104017319	0.3943745030644601	0.38664540282366056	0.2926230229652639	0.743778487059388	0.504802245261914	0.14320287603008153	0.6360315387712486	0.5742616666211325	0.3335298754319177	0.2522439663754714	0.6620570824322098	0.5354502441274115	0.6247324043765177	0.32767147673270225	0.5972901289550007	0.27614548508393333	0.8185533321838658
SBS288L3	0.10916357189050818	0.8996727376811492	0.25142697119635293	0.10362332183600831	0.40623237923133027	0.35728489435297883	0.13820498788296265	0.053374961943853605	0.03699719595017725	0.3944219890216202	0.278116782952579	0.28886405239595425	0.3355538575364966	0.11837259689334434	0.2733263528671003	0.4076788040098982	0.41190880608091573	0.08588802557584352	0.752421204455232	0.3734763600586346	0.8352395987446408	0.1985498448497558	0.14068823160454014	0.49431162607080104	0.10440076878720428	0.059753048906043604	0.7178196379543726	0.7495126157363686	0.35699758163798123	0.23537867495484122	0.3178843313534594	0.06490856222986752	0.4820858629798961	0.5597742565683693	0.18068718656487193
SBS288L4	0.12946898557142317	0.4173709649484936	0.25194307840401586	0.7828149835222319	0.47977746147797595	0.426256160292362	0.28727063673163733	0.032500102741880865	0.08613811819597084	0.48079537620157375	0.46445583999525675	0.07832651992253159	0.6463781475019157	0.4133528078993537	0.4643559415813421	0.44982390422060314	0.47500165840210395	0.2839291601845151	0.5457891457705584	0.3384140530766283	0.44396149630117576	0.22560307353804698	0.13350615107775676	0.6578748666855057	0.12674612274117014	0.1001387288034088	0.5621506571121685	0.3632144314195471	0.25934034565769337	0.1928321130055698	0.27079373955457187	0.11022708326712283	0.4105257227929321	0.21386927855990745	0.2093147388561969
SBS288L5	0.16910218684996503	0.2125722476428451	0.2586969596851746	0.27384140182053107	0.3439088260839742	0.5041458566415442	0.8965361799536756	0.04489753614622083	0.1908259124493059	0.4006356990991531	0.6078840704760355	0.1463262941655783	0.29181900460312105	0.6745294737424896	0.2977037924186019	0.3476074455624446	0.23852806323302533	0.6815861167998216	0.19052779370205597	0.2852067908135656	0.1444737247170106	0.3443355719713581	0.16423754531541146	0.12791029122823439	0.16988606837344544	0.13781358303350344	0.33639211227843857	0.2159357489985192	0.3490230173409976	0.3052800243072108	0.38324770136702646	0.13635561867653945	0.3831173342166452	0.20465128558217605	0.4082553148919119
SBS288H1	0.23040120373977424	0.392228490833634	0.5741333107366506	0.058838262840932076	0.3413417726899426	0.33794596777746155	0.16951394512279916	0.41064588448458494	0.08823689072683927	0.26101821125079794	0.3211813102714425	0.7835472322028335	0.2031882175377463	0.07553051503560837	0.26978217115584746	0.3395675346494047	0.6454202557640218	0.30406529255310644	0.291004287942368	0.30382433631798156	0.3963968593067798	0.4267098997160008	0.7994459209708201	0.12922254475965256	0.2759209001950018	0.37772243187628884	0.3534314484581378	0.30906969437018594	0.6969126903038549	0.7678618302062299	0.6636545017644678	0.16205075682799586	0.6693576442416084	0.7463011150047719	0.44111559991300187
SBS288H2	0.09124061466030942	0.12103946616773564	0.15447069786426293	0.02465339667880362	0.17099016245562793	0.09225553386991425	0.03607988579109411	0.928502826643336	0.03327448015882428	0.134081271936755	0.12681850842751619	0.45583259876590354	0.0933684782875811	0.048425467511450715	0.16480005955017019	0.28065337635463106	0.4765846869743635	0.056852136396093544	0.1131246411936655	0.28318770651842384	0.12258548711071304	0.295972094260297	0.5408721153292289	0.05215651615822847	0.09363724650107885	0.046552170853879304	0.15255826411299545	0.13643028436982685	0.5524861695613574	0.6620073120539809	0.5903074732391657	0.06675405693798286	0.4692326086800137	0.27206542184619176	0.1354316047597527
SBS288H3	0.502449081279015	0.6051591192039655	0.4819026924189118	0.2607887924786654	0.6778799960444427	0.6139036813648131	0.2993599588423924	0.21924332115357037	0.1746002210437868	0.6636902692027058	0.6892888859985588	0.22137571076079887	0.5343787360102171	0.3627651552611507	0.633752855893724	0.6486292218362899	0.4837201059019829	0.3390744535475918	0.688585271654089	0.6020683072932678	0.46256240929287606	0.5213206340246621	0.2212088887783401	0.4737389135596273	0.5227300866332755	0.3172337798862186	0.7035045209497013	0.543655693859854	0.5466711656699914	0.3785919878791537	0.5076138553266759	0.27079174778082526	0.6294185364423645	0.39679513383555864	0.5419468927953257
SBS288H4	0.1246386972009843	0.8933671511220238	0.3789040282673025	0.1879315375229681	0.385005641836906	0.3550748893908058	0.11339007219189201	0.07842321714554767	0.038111424337217925	0.35051857751726334	0.2815073366186238	0.2880019134611558	0.4366102548482652	0.18815082673260508	0.27033172338222644	0.4215928028178453	0.6027709771005196	0.1497112757681882	0.659965442545237	0.3548537430876577	0.9636597973781608	0.2714094826373544	0.2701272583593384	0.5384521089874685	0.12109518792303697	0.1294657103749769	0.7766945962178399	0.6587095524725884	0.43728765886756127	0.30165711492575564	0.4029129461017653	0.10328110021998016	0.5358378074137868	0.5144110384667572	0.23523759896703078
SBS288H5	0.7303535015028295	0.18503583984098593	0.33756603001209906	0.032008719147618714	0.252226626892181	0.369836203981721	0.10354630521340502	0.08045906883997145	0.9149688030527139	0.19399714828663117	0.3488833794693713	0.07182737445289766	0.09543801531626928	0.06927255402710242	0.24323097569801577	0.2889207842202133	0.22940266102640494	0.16561246766687798	0.3334944692122461	0.13260953989930124	0.1476685263115477	0.22821379945669018	0.11000924806255785	0.1006047335349396	0.3576240937028641	0.6660136944264201	0.22621286017896447	0.149751177450117	0.24158578650584595	0.25727251487167013	0.2111691774933121	0.8581565451451605	0.20990967776643688	0.11759826090039005	0.34272915813594385
