Patients_Percent	Months	State
68.96551724137932	29.0	Metastatic
69.44444444444444	39.0	Metastatic
68.18181818181817	21.0	Metastatic
0.0	1.0	Metastatic
46.15384615384615	10.0	Metastatic
16.666666666666664	4.0	Metastatic
66.66666666666666	17.0	Metastatic
64.0	24.0	Metastatic
72.3404255319149	120.0	Metastatic
71.11111111111111	96.0	Metastatic
70.73170731707317	64.0	Metastatic
70.45454545454545	85.0	Metastatic
36.36363636363637	9.0	Metastatic
71.73913043478261	101.0	Metastatic
68.75	34.0	Metastatic
30.0	8.0	Metastatic
50.0	12.0	Metastatic
62.5	22.0	Metastatic
71.42857142857143	38.0	Metastatic
67.56756756756756	46.0	Metastatic
66.66666666666666	28.0	Metastatic
25.0	6.0	Metastatic
72.09302325581395	71.0	Metastatic
70.58823529411765	36.0	Metastatic
0.0	3.0	Metastatic
58.82352941176471	15.0	Metastatic
63.1578947368421	16.0	Metastatic
70.96774193548387	32.0	Metastatic
69.6969696969697	35.0	Metastatic
56.25	14.0	Metastatic
71.42857142857143	67.0	Metastatic
68.42105263157895	54.0	Metastatic
70.0	30.0	Metastatic
69.23076923076923	62.0	Metastatic
0.0	3.0	Non-metastatic
12.5	10.0	Non-metastatic
28.57142857142857	117.0	Non-metastatic
5.555555555555555	4.0	Non-metastatic
4.761904761904762	5.0	Non-metastatic
24.242424242424242	66.0	Non-metastatic
24.137931034482758	26.0	Non-metastatic
0.0	2.0	Non-metastatic
8.695652173913043	7.0	Non-metastatic
26.47058823529412	73.0	Non-metastatic
25.0	22.0	Non-metastatic
19.230769230769234	18.0	Non-metastatic
22.58064516129032	38.0	Non-metastatic
16.0	16.0	Non-metastatic
30.555555555555557	131.0	Non-metastatic
29.72972972972973	225.0	Non-metastatic
0.0	1.0	Non-metastatic
23.333333333333332	36.0	Non-metastatic
25.0	47.0	Non-metastatic
