ROC curve					PR curve			
curve	fpr	tpr	auc		curve	recall	precision	average_precision
Sig -	0	0	0.86969697		Sig -	1	0.405405405	0.792537382
Sig -	0	0.066666667	0.86969697		Sig -	1	0.416666667	0.792537382
Sig -	0.045454545	0.066666667	0.86969697		Sig -	1	0.428571429	0.792537382
Sig -	0.045454545	0.733333333	0.86969697		Sig -	1	0.441176471	0.792537382
Sig -	0.272727273	0.733333333	0.86969697		Sig -	1	0.454545455	0.792537382
Sig -	0.272727273	0.8	0.86969697		Sig -	1	0.46875	0.792537382
Sig -	0.409090909	0.8	0.86969697		Sig -	1	0.483870968	0.792537382
Sig -	0.409090909	1	0.86969697		Sig -	1	0.5	0.792537382
Sig -	1	1	0.86969697		Sig -	1	0.517241379	0.792537382
Sig +	0	0	0.86969697		Sig -	1	0.535714286	0.792537382
Sig +	0	0.045454545	0.86969697		Sig -	1	0.555555556	0.792537382
Sig +	0	0.590909091	0.86969697		Sig -	1	0.576923077	0.792537382
Sig +	0.2	0.590909091	0.86969697		Sig -	1	0.6	0.792537382
Sig +	0.2	0.727272727	0.86969697		Sig -	1	0.625	0.792537382
Sig +	0.266666667	0.727272727	0.86969697		Sig -	0.933333333	0.608695652	0.792537382
Sig +	0.266666667	0.954545455	0.86969697		Sig -	0.866666667	0.590909091	0.792537382
Sig +	0.933333333	0.954545455	0.86969697		Sig -	0.8	0.571428571	0.792537382
Sig +	0.933333333	1	0.86969697		Sig -	0.8	0.6	0.792537382
Sig +	1	1	0.86969697		Sig -	0.8	0.631578947	0.792537382
micro	0	0	0.895544193		Sig -	0.8	0.666666667	0.792537382
micro	0	0.027027027	0.895544193		Sig -	0.733333333	0.647058824	0.792537382
micro	0	0.351351351	0.895544193		Sig -	0.733333333	0.6875	0.792537382
micro	0.027027027	0.351351351	0.895544193		Sig -	0.733333333	0.733333333	0.792537382
micro	0.027027027	0.648648649	0.895544193		Sig -	0.733333333	0.785714286	0.792537382
micro	0.135135135	0.648648649	0.895544193		Sig -	0.733333333	0.846153846	0.792537382
micro	0.135135135	0.72972973	0.895544193		Sig -	0.733333333	0.916666667	0.792537382
micro	0.189189189	0.72972973	0.895544193		Sig -	0.666666667	0.909090909	0.792537382
micro	0.189189189	0.810810811	0.895544193		Sig -	0.6	0.9	0.792537382
micro	0.27027027	0.810810811	0.895544193		Sig -	0.533333333	0.888888889	0.792537382
micro	0.27027027	0.864864865	0.895544193		Sig -	0.466666667	0.875	0.792537382
micro	0.351351351	0.864864865	0.895544193		Sig -	0.4	0.857142857	0.792537382
micro	0.351351351	0.972972973	0.895544193		Sig -	0.333333333	0.833333333	0.792537382
micro	0.648648649	0.972972973	0.895544193		Sig -	0.266666667	0.8	0.792537382
micro	0.648648649	1	0.895544193		Sig -	0.2	0.75	0.792537382
micro	1	1	0.895544193		Sig -	0.133333333	0.666666667	0.792537382
macro	0	0.328787879	0.899205693		Sig -	0.066666667	0.5	0.792537382
macro	0.045454545	0.662121212	0.899205693		Sig -	0.066666667	1	0.792537382
macro	0.2	0.73030303	0.899205693		Sig -	0	1	0.792537382
macro	0.266666667	0.843939394	0.899205693		Sig +	1	0.594594595	0.919872956
macro	0.272727273	0.877272727	0.899205693		Sig +	1	0.611111111	0.919872956
macro	0.409090909	0.977272727	0.899205693		Sig +	0.954545455	0.6	0.919872956
macro	0.933333333	1	0.899205693		Sig +	0.954545455	0.617647059	0.919872956
macro	1	1	0.899205693		Sig +	0.954545455	0.636363636	0.919872956
					Sig +	0.954545455	0.65625	0.919872956
					Sig +	0.954545455	0.677419355	0.919872956
					Sig +	0.954545455	0.7	0.919872956
					Sig +	0.954545455	0.724137931	0.919872956
					Sig +	0.954545455	0.75	0.919872956
					Sig +	0.954545455	0.777777778	0.919872956
					Sig +	0.954545455	0.807692308	0.919872956
					Sig +	0.954545455	0.84	0.919872956
					Sig +	0.909090909	0.833333333	0.919872956
					Sig +	0.863636364	0.826086957	0.919872956
					Sig +	0.818181818	0.818181818	0.919872956
					Sig +	0.772727273	0.80952381	0.919872956
					Sig +	0.727272727	0.8	0.919872956
					Sig +	0.727272727	0.842105263	0.919872956
					Sig +	0.681818182	0.833333333	0.919872956
					Sig +	0.636363636	0.823529412	0.919872956
					Sig +	0.590909091	0.8125	0.919872956
					Sig +	0.590909091	0.866666667	0.919872956
					Sig +	0.590909091	0.928571429	0.919872956
					Sig +	0.590909091	1	0.919872956
					Sig +	0.545454545	1	0.919872956
					Sig +	0.5	1	0.919872956
					Sig +	0.454545455	1	0.919872956
					Sig +	0.409090909	1	0.919872956
					Sig +	0.363636364	1	0.919872956
					Sig +	0.318181818	1	0.919872956
					Sig +	0.272727273	1	0.919872956
					Sig +	0.227272727	1	0.919872956
					Sig +	0.181818182	1	0.919872956
					Sig +	0.136363636	1	0.919872956
					Sig +	0.090909091	1	0.919872956
					Sig +	0.045454545	1	0.919872956
					Sig +	0	1	0.919872956
					micro	1	0.5	0.902621063
					micro	1	0.506849315	0.902621063
					micro	1	0.513888889	0.902621063
					micro	1	0.521126761	0.902621063
					micro	1	0.528571429	0.902621063
					micro	1	0.536231884	0.902621063
					micro	1	0.544117647	0.902621063
					micro	1	0.552238806	0.902621063
					micro	1	0.560606061	0.902621063
					micro	1	0.569230769	0.902621063
					micro	1	0.578125	0.902621063
					micro	1	0.587301587	0.902621063
					micro	1	0.596774194	0.902621063
					micro	1	0.606557377	0.902621063
					micro	0.972972973	0.6	0.902621063
					micro	0.972972973	0.610169492	0.902621063
					micro	0.972972973	0.620689655	0.902621063
					micro	0.972972973	0.631578947	0.902621063
					micro	0.972972973	0.642857143	0.902621063
					micro	0.972972973	0.654545455	0.902621063
					micro	0.972972973	0.666666667	0.902621063
					micro	0.972972973	0.679245283	0.902621063
					micro	0.972972973	0.692307692	0.902621063
					micro	0.972972973	0.705882353	0.902621063
					micro	0.972972973	0.72	0.902621063
					micro	0.972972973	0.734693878	0.902621063
					micro	0.945945946	0.729166667	0.902621063
					micro	0.918918919	0.723404255	0.902621063
					micro	0.891891892	0.717391304	0.902621063
					micro	0.864864865	0.711111111	0.902621063
					micro	0.864864865	0.727272727	0.902621063
					micro	0.864864865	0.744186047	0.902621063
					micro	0.864864865	0.761904762	0.902621063
					micro	0.837837838	0.756097561	0.902621063
					micro	0.810810811	0.75	0.902621063
					micro	0.810810811	0.769230769	0.902621063
					micro	0.810810811	0.789473684	0.902621063
					micro	0.810810811	0.810810811	0.902621063
					micro	0.783783784	0.805555556	0.902621063
					micro	0.756756757	0.8	0.902621063
					micro	0.72972973	0.794117647	0.902621063
					micro	0.72972973	0.818181818	0.902621063
					micro	0.72972973	0.84375	0.902621063
					micro	0.702702703	0.838709677	0.902621063
					micro	0.675675676	0.833333333	0.902621063
					micro	0.648648649	0.827586207	0.902621063
					micro	0.648648649	0.857142857	0.902621063
