Type	Count	Cohort
NBL	88	KZM
HGG	54	KZM
OST	44	KZM
BALL	34	KZM
EWS	30	KZM
ERMS	26	KZM
DMG	26	KZM
ARMS	21	KZM
WT	18	KZM
AML	17	KZM
EPD	17	KZM
US	16	KZM
MBL	14	KZM
MRT	13	KZM
TALL	10	KZM
ATRT	9	KZM
SS	8	KZM
DSRCT	7	KZM
HCC	6	KZM
MPNST	6	KZM
HB	6	KZM
ACC	6	KZM
LGG	5	KZM
MFT	5	KZM
ES	4	KZM
PGL	4	KZM
MPN	4	KZM
PTC	4	KZM
Other	4	KZM
CHS	4	KZM
GIST	3	KZM
CD	3	KZM
ETMR	3	KZM
MN	3	KZM
EMBCNS	3	KZM
CPC	3	KZM
ASPS	3	KZM
SPINDLE	3	KZM
RCC	3	KZM
AML/DS	2	KZM
BL	2	KZM
HOG	2	KZM
MET	2	KZM
GCT	2	KZM
GGL	2	KZM
PNET	2	KZM
IFS	2	KZM
AF	2	KZM
PBL	2	KZM
MS	2	KZM
MNET	2	KZM
CRC	2	KZM
AL	2	KZM
AMKL	2	KZM
MAO	2	KZM
TNHL	2	KZM
SPPT	1	KZM
RBL	1	KZM
SRCC	1	KZM
HTL	1	KZM
SAR	1	KZM
SPTL	1	KZM
NEO	1	KZM
SCS	1	KZM
ANS	1	KZM
CCA	1	KZM
CNBL	1	KZM
HCS	1	KZM
ALCL	1	KZM
ACPP	1	KZM
RHAB	1	KZM
OSBL	1	KZM
YST	1	KZM
EMC	1	KZM
MLN	1	KZM
NSCC	1	KZM
GS	1	KZM
NE	1	KZM
BNHL	1	KZM
SCST	1	KZM
LPD	1	KZM
GN/NBL	1	KZM
MPAL	1	KZM
LB	1	KZM
LS	1	KZM
PT	1	KZM
MM	1	KZM
EMS	1	KZM
OF	1	KZM
JMML	1	KZM
MT	1	KZM
AM	1	KZM
HGNET	1	KZM
HANS	1	KZM
DES	1	KZM
LMS	1	KZM
IDC	125	POG
COAD	73	POG
LUAD	46	POG
PAAD	35	POG
HGSOC	12	POG
LMS	11	POG
CHOL	10	POG
MEL	9	POG
ILC	8	POG
PANET	7	POG
GEJ	7	POG
LGSOC	7	POG
MFH	6	POG
STAD	6	POG
UM	6	POG
ANSC	6	POG
LUSC	5	POG
CCOV	5	POG
UEC	5	POG
UCS	5	POG
DDLS	4	POG
ACC	4	POG
GIST	4	POG
THME	3	POG
OS	3	POG
BCC	3	POG
PTCLNOS	3	POG
PEMESO	3	POG
PRAD	3	POG
ESCA	3	POG
THYC	3	POG
MNG	3	POG
ULMS	3	POG
ES	3	POG
ACYC	3	POG
APAD	3	POG
DLBCL	2	POG
IHCH	2	POG
MDLC	2	POG
OPHSC	2	POG
HCC	2	POG
BRCA	2	POG
NSCLC	2	POG
APE	2	POG
PLMESO	2	POG
GBM	2	POG
IMMC	2	POG
LUNE	2	POG
RCC	2	POG
CLL	2	POG
CHDM	2	POG
LUACC	2	POG
GRCT	2	POG
EMBC	2	POG
SACA	2	POG
MBC	2	POG
CEAIS	2	POG
FL	2	POG
DA	2	POG
AECA	2	POG
SARCL	1	POG
BCL	1	POG
CSCC	1	POG
ACRM	1	POG
SBWDNET	1	POG
MCL	1	POG
PB	1	POG
ARMS	1	POG
NPC	1	POG
COM	1	POG
MYEC	1	POG
CHOS	1	POG
THYM	1	POG
RAML	1	POG
PAST	1	POG
HNMUCM	1	POG
SCLC	1	POG
FIBS	1	POG
LNET	1	POG
MXOV	1	POG
ACBC	1	POG
BA	1	POG
PAMPCA	1	POG
PRCC	1	POG
FIOS	1	POG
PNET	1	POG
ASPS	1	POG
CESC	1	POG
EPM	1	POG
ATRT	1	POG
THFO	1	POG
CHS	1	POG
GNG	1	POG
SKCM	1	POG
SNA	1	POG
SYNS	1	POG
GBC	1	POG
POCA	1	POG
CCHM	1	POG
MRLS	1	POG
ECAD	1	POG
PLEMESO	1	POG
BLAD	1	POG
MUP	1	POG
ESCC	1	POG
NSGCT	1	POG
HGNEC	1	POG
PLLS	1	POG
PUO	1	POG
RCSNOS	1	POG
CSCLC	1	POG
STAS	1	POG
ODGC	1	POG
VMM	1	POG
VSC	1	POG
MLAV	1	POG
UCEC	1	POG
CACC	1	POG
PGNG	1	POG
ALUCA	1	POG
OUTT	1	POG
OCS	1	POG
NSCLCPD	1	POG
MACR	1	POG
DCIS	1	POG
SDCA	1	POG
AODG	1	POG
SFTCNS	1	POG
ODG	1	POG
MPNST	1	POG
SCCO	1	POG
MPE	1	POG
WDLS	1	POG
CDRCC	1	POG
SOC	1	POG
CCS	1	POG
SARCNOS	1	POG
