	Alkylating agent, Other	Anthracyclines	Antimetabolite	Camptothecin analogs	Chromomycins	Hydrazines and Triazines	Monoclonal antibody	Mustard gas derivative	Platinums	Podophyllotoxins	Targeted therapy	Taxanes	Vinca alkaloids	Radiation
Alkylating agent, Other	100.0	52.0	7.0	56.0	0.0	33.0	41.0	70.0	78.0	70.0	7.0	0.0	67.0	30.0
Anthracyclines	8.0	100.0	30.0	43.0	18.0	14.0	12.0	79.0	68.0	70.0	9.0	1.0	71.0	33.0
Antimetabolite	3.0	75.0	100.0	4.0	0.0	3.0	8.0	58.0	62.0	40.0	14.0	3.0	50.0	29.0
Camptothecin analogs	15.0	81.0	3.0	100.0	16.0	30.0	19.0	98.0	74.0	86.0	9.0	0.0	93.0	45.0
Chromomycins	0.0	73.0	0.0	36.0	100.0	11.0	0.0	89.0	34.0	48.0	11.0	0.0	100.0	45.0
Hydrazines and Triazines	22.0	63.0	5.0	71.0	12.0	100.0	15.0	88.0	68.0	73.0	10.0	0.0	90.0	59.0
Monoclonal antibody	42.0	81.0	23.0	73.0	0.0	23.0	100.0	92.0	77.0	92.0	15.0	0.0	92.0	38.0
Mustard gas derivative	10.0	73.0	21.0	49.0	20.0	18.0	12.0	100.0	69.0	76.0	9.0	2.0	82.0	44.0
Platinums	12.0	72.0	26.0	42.0	9.0	16.0	12.0	78.0	100.0	71.0	9.0	3.0	66.0	37.0
Podophyllotoxins	12.0	81.0	18.0	53.0	13.0	19.0	15.0	94.0	77.0	100.0	11.0	3.0	79.0	40.0
Targeted therapy	7.0	57.0	36.0	32.0	18.0	14.0	14.0	64.0	54.0	61.0	100.0	4.0	75.0	50.0
Taxanes	0.0	40.0	40.0	0.0	0.0	0.0	0.0	80.0	100.0	80.0	20.0	100.0	0.0	0.0
Vinca alkaloids	10.0	71.0	20.0	50.0	24.0	20.0	13.0	89.0	63.0	69.0	12.0	0.0	100.0	45.0
Radiation	8.0	61.0	21.0	45.0	20.0	24.0	10.0	88.0	65.0	64.0	14.0	0.0	83.0	100.0
