	Alkylating agent, Other	Anthracyclines	Antimetabolite	Camptothecin analogs	Chromomycins	Hydrazines and Triazines	Mustard gas derivative	Platinums	Podophyllotoxins	Vinca alkaloids
clustered_del_1-10Kb	0.0019222711	0.0003811083	0.005011548	0.0035387645	1.7043396e-05	0.0008096908	0.0038634846	0.0072685997	0.0043289927	0.0011363361
clustered_del_10-100Kb	0.001523817	0.004240754	0.08950167	0.004828108	1.0233486e-05	0.0001404102	0.01329317	0.030697715	0.009580287	0.012074429
clustered_del_100Kb-1Mb	0.0015106916	0.00025958495	0.0029959858	0.006317933	0.005477107	0.013433761	0.002073413	0.0014938613	0.0007363987	0.004561644
clustered_del_1Mb-10Mb	0.0021229004	0.009260928	0.003308461	0.012918616	0.0068571097	0.0043754573	0.03265291	0.0047949892	0.024869472	0.025525836
clustered_del_>10Mb	0.00091022864	0.0005830058	0.001309172	0.0038294955	0.0035757725	0.0063908594	0.002963279	0.0017790744	0.0017851001	0.0026798036
clustered_tds_1-10Kb	0.00013432893	0.0015911378	0.0032693613	0.00054758653	0.00038034763	0.0007414129	0.0019664634	0.0004545686	0.0012307109	0.0030963041
clustered_tds_10-100Kb	2.6495174e-05	0.0010637199	0.0076415045	0.0046464615	0.0010358266	0.00015409302	0.00047516404	0.00075805816	0.0016403262	0.00016096319
clustered_tds_100Kb-1Mb	0.00074786466	0.0016290343	0.0007430801	0.0026126083	0.0011214643	0.0003566015	0.0029667877	0.0003229928	0.00067579484	0.0021405318
clustered_tds_1Mb-10Mb	0.0019671454	0.00067460333	0.0036733015	0.007496167	0.04773605	0.0036324593	0.0037303064	0.0013181197	0.0033677516	0.00474661
clustered_tds_>10Mb	0.00027046804	0.000640585	0.0010817418	0.0018682446	0.0035185937	0.0030154071	0.0025318605	0.0007817294	0.0017010139	0.0010489995
clustered_inv_1-10Kb	0.00026628512	0.00029767177	0.0014517253	0.00396071	0.0010398474	9.840978e-05	0.0026382753	0.0010215646	0.0016403835	0.0071177096
clustered_inv_10-100Kb	9.125301e-05	0.0005720516	0.017239843	0.0011626476	0.00028774177	0.0010041276	0.0016430763	0.0016028612	0.0007446106	0.0025756378
clustered_inv_100Kb-1Mb	0.0007432105	0.00037514066	0.0025626926	0.0069833905	0.010807892	0.0010884965	0.0015030904	0.00060635945	0.0011705109	0.0019537264
clustered_inv_1Mb-10Mb	0.007496707	0.013116302	0.0068128216	0.044168726	0.037321385	0.060595244	0.07571643	0.0258227	0.07620181	0.05826817
clustered_inv_>10Mb	0.0008222615	0.00074428384	0.001247514	0.0052759247	0.01778176	0.003126733	0.0031133227	0.002953245	0.0026747966	0.00439303
clustered_Translocations	0.0021238702	0.013848635	0.008748643	0.045398407	0.013718975	0.0063156066	0.06964174	0.014225958	0.036871288	0.094188504
non-clustered_del_1-10Kb	0.036527406	0.1586802	0.08312363	0.087394886	0.13048674	0.106021374	0.11444019	0.039268095	0.1302266	0.14639445
non-clustered_del_10-100Kb	0.018490896	0.058849968	0.0724593	0.02550236	0.034313094	0.07645568	0.036014218	0.016295077	0.028393822	0.029133225
non-clustered_del_100Kb-1Mb	0.01029295	0.0671575	0.13828915	0.029204702	0.057357933	0.03761437	0.044344015	0.0065639256	0.032796606	0.056152064
non-clustered_del_1Mb-10Mb	0.005266908	0.018295972	0.059289612	0.012439677	0.0043330225	0.0052294	0.0066049322	0.004902024	0.0066844225	0.007772494
non-clustered_del_>10Mb	0.08010455	0.0294538	0.05318904	0.18051209	0.068360224	0.17056832	0.120225646	0.08020225	0.0930505	0.10406768
non-clustered_tds_1-10Kb	0.05564534	0.07227731	0.032044694	0.06858673	0.09033701	0.027602393	0.025222596	0.075816415	0.0587277	0.044006936
non-clustered_tds_10-100Kb	0.19045205	0.30261472	0.037492953	0.13709605	0.03282044	0.13885505	0.09903588	0.2797132	0.17020887	0.05342493
non-clustered_tds_100Kb-1Mb	0.0869419	0.017225886	0.010448943	0.04809674	0.03329684	0.04501655	0.018692665	0.015160015	0.022600066	0.008863872
non-clustered_tds_1Mb-10Mb	0.008898089	0.0054151653	0.0052741515	0.016588552	0.0070531825	0.008055787	0.0070757396	0.003628725	0.0029673183	0.017565712
non-clustered_tds_>10Mb	0.027844854	0.0056786593	0.04439711	0.015074088	0.0055504707	0.010785898	0.019046593	0.0037562065	0.011147466	0.015447346
non-clustered_inv_1-10Kb	0.0094910385	0.0034944485	0.007167912	0.018465994	0.016026715	0.03663972	0.0068521835	0.009668731	0.007512787	0.008588448
non-clustered_inv_10-100Kb	0.010516761	0.01411968	0.012240377	0.026624095	0.02603241	0.017213019	0.042372443	0.007171672	0.04664921	0.016082583
non-clustered_inv_100Kb-1Mb	0.107169285	0.02250929	0.06318115	0.014669521	0.046315014	0.009151388	0.03426017	0.005683163	0.007541197	0.03446277
non-clustered_inv_1Mb-10Mb	0.014661674	0.0053206524	0.09601152	0.022578152	0.0054061594	0.0059646494	0.009070952	0.012287955	0.0038658788	0.0043693082
non-clustered_inv_>10Mb	0.13186046	0.013916762	0.10073422	0.043543663	0.013486504	0.046374183	0.054035544	0.10824163	0.096811615	0.07033418
non-clustered_Translocations	0.18315607	0.15571147	0.0280571	0.098068915	0.27813715	0.15317342	0.14193344	0.2357385	0.111596674	0.1576657
