	Alkylating agent, Other	Anthracyclines	Antimetabolite	Camptothecin analogs	Chromomycins	Hydrazines and Triazines	Mustard gas derivative	Platinums	Podophyllotoxins	Vinca alkaloids
Alkylating agent, Other	1.0	0.7795383793277322	0.5135353079485967	0.7887621203985681	0.7026899661780136	0.8012588250190732	0.7756595102770991	0.9069178908394204	0.8236603490808527	0.7079810494067247
Anthracyclines	0.7795383793277322	1.0	0.4793173795349168	0.7612165197467734	0.6621757907337544	0.792056456297486	0.7646071239302732	0.8757310765456413	0.8701638003320773	0.6918143415699919
Antimetabolite	0.5135353079485967	0.4793173795349168	1.0	0.5491439433588481	0.45638156766668747	0.5414390746405124	0.5954612187605121	0.41279579040165104	0.5753119207747078	0.6111464828937556
Camptothecin analogs	0.7887621203985681	0.7612165197467734	0.5491439433588481	1.0	0.6988158044674976	0.945615669894597	0.9153138540053066	0.7932151675223879	0.9060084545913976	0.8414554457069159
Chromomycins	0.7026899661780136	0.6621757907337544	0.45638156766668747	0.6988158044674976	1.0	0.7786415498944477	0.8164302133303536	0.6920279434184704	0.713669365129577	0.8558996527995076
Hydrazines and Triazines	0.8012588250190732	0.792056456297486	0.5414390746405124	0.945615669894597	0.7786415498944477	1.0	0.9270931028007969	0.8159389302427811	0.9013782231779645	0.8526955994182736
Mustard gas derivative	0.7756595102770991	0.7646071239302732	0.5954612187605121	0.9153138540053066	0.8164302133303536	0.9270931028007969	1.0	0.7773964748402004	0.9322384488392987	0.9624841779427792
Platinums	0.9069178908394204	0.8757310765456413	0.41279579040165104	0.7932151675223879	0.6920279434184704	0.8159389302427811	0.7773964748402004	1.0	0.8648424385635789	0.6944887785874172
Podophyllotoxins	0.8236603490808527	0.8701638003320773	0.5753119207747078	0.9060084545913976	0.713669365129577	0.9013782231779645	0.9322384488392987	0.8648424385635789	1.0	0.8699356400306978
Vinca alkaloids	0.7079810494067247	0.6918143415699919	0.6111464828937556	0.8414554457069159	0.8558996527995076	0.8526955994182736	0.9624841779427792	0.6944887785874172	0.8699356400306978	1.0
