	Alkylating agent, Other	Anthracyclines	Antimetabolite	Camptothecin analogs	Chromomycins	Hydrazines and Triazines	Mustard gas derivative	Platinums	Podophyllotoxins	Vinca alkaloids
Alkylating agent, Other	1.0	0.6477911181701977	0.12155980358970309	0.8254275247306078	0.6307023867945271	0.7919956420364105	0.7217397736819913	0.8457622752885757	0.7575187388370747	0.6509993414004167
Anthracyclines	0.6477911181701977	1.0	0.23003715606028674	0.7468704874926136	0.601416297525853	0.7530602922697633	0.8473670900586168	0.6718155948433953	0.8286078339760471	0.8458515048229209
Antimetabolite	0.12155980358970309	0.23003715606028674	1.0	0.09111548407605485	0.0685194059353541	0.133620631016099	0.1119885509535844	0.10221874902272565	0.21896875712318642	0.08721851878352349
Camptothecin analogs	0.8254275247306078	0.7468704874926136	0.09111548407605485	1.0	0.6270144485456035	0.8577713627451443	0.8332133142339504	0.9147049394979108	0.7618898496465311	0.801931097622498
Chromomycins	0.6307023867945271	0.601416297525853	0.0685194059353541	0.6270144485456035	1.0	0.8308319323122417	0.7287686314919053	0.5812626260150975	0.6852953845834011	0.6991520620077374
Hydrazines and Triazines	0.7919956420364105	0.7530602922697633	0.133620631016099	0.8577713627451443	0.8308319323122417	1.0	0.8678425011348081	0.8047442412139787	0.840816248179314	0.8481381219653388
Mustard gas derivative	0.7217397736819913	0.8473670900586168	0.1119885509535844	0.8332133142339504	0.7287686314919053	0.8678425011348081	1.0	0.7822631422317418	0.8934940757558625	0.9219888209007737
Platinums	0.8457622752885757	0.6718155948433953	0.10221874902272565	0.9147049394979108	0.5812626260150975	0.8047442412139787	0.7822631422317418	1.0	0.7840327364641173	0.7278678334958489
Podophyllotoxins	0.7575187388370747	0.8286078339760471	0.21896875712318642	0.7618898496465311	0.6852953845834011	0.840816248179314	0.8934940757558625	0.7840327364641173	1.0	0.8697264177714077
Vinca alkaloids	0.6509993414004167	0.8458515048229209	0.08721851878352349	0.801931097622498	0.6991520620077374	0.8481381219653388	0.9219888209007737	0.7278678334958489	0.8697264177714077	1.0
