Counts	Treated	Tumor
88	78	Neuroblastoma (NBL)
54	21	High Grade Glioma (HGG)
44	33	Osteosarcoma (OST)
34	21	B-cell Lymphoblastic Leukemia (BALL)
30	19	Ewing Sarcoma (EWS)
26	17	Embryonal Rhabdomyosarcoma (ERMS)
26	2	Diffuse Midline Glioma (DMG)
21	13	Alveolar Rhabdomyosarcoma (ARMS)
18	16	Nephroblastoma (Wilms Tumor) (WT)
17	12	Ependymoma (EPD)
17	10	Acute Monocytic Leukemia (AML)
16	6	Undifferentiated Sarcoma (US)
14	10	Medulloblastoma (MBL)
13	5	Malignant Rhabdoid Tumor (MRT)
10	6	T-cell Lymphoblastic Leukemia (TALL)
9	3	Atypical Teratoid Rhabdoid Tumor (ATRT)
8	4	Synovial Sarcoma (SS)
7	5	Desmoplastic Small Round Cell Tumor (DSRCT)
6	4	Malignant Peripheral Nerve Sheath Tumor (MPNST)
6	5	Adrenal Cortical Carcinoma (ACC)
6	2	Hepatocellular Carcinoma (HCC)
6	6	Hepatoblastoma (HB)
5	1	Low Grade Glioma (LGG)
5	3	Myofibroblastic Tumor (MFT)
4	3	Myeloproliferative Neoplasm (MPN)
4	2	Epithelioid Sarcoma (ES)
4	1	Papillary Carcinoma of Thyroid (PTC)
3	2	Meningioma (MN)
3	2	Embryonal CNS Tumor (EMBCNS)
3	1	"Spindle Cell Tumor, unclear diagnosis (SPINDLE)"
3	2	Chordoma (CD)
3	1	Alveolar Soft Part Sarcoma (ASPS)
3	2	Choroid Plexus Carcinoma (CPC)
78	30	Other
