Counts	Treated	Type	Tumor	Tumor_2
88	78	NBL	Neuroblastoma	Neuroblastoma (NBL)
54	21	HGG	High Grade Glioma	High Grade Glioma (HGG)
44	33	OST	Osteosarcoma	Osteosarcoma (OST)
34	21	BALL	B-cell Lymphoblastic Leukemia	B-cell Lymphoblastic Leukemia (BALL)
30	19	EWS	Ewing Sarcoma	Ewing Sarcoma (EWS)
26	17	ERMS	Embryonal Rhabdomyosarcoma	Embryonal Rhabdomyosarcoma (ERMS)
26	2	DMG	Diffuse Midline Glioma	Diffuse Midline Glioma (DMG)
21	13	ARMS	Alveolar Rhabdomyosarcoma	Alveolar Rhabdomyosarcoma (ARMS)
18	16	WT	Nephroblastoma (Wilms Tumor)	Nephroblastoma (Wilms Tumor) (WT)
17	12	EPD	Ependymoma	Ependymoma (EPD)
17	10	AML	Acute Monocytic Leukemia	Acute Monocytic Leukemia (AML)
16	6	US	Undifferentiated Sarcoma	Undifferentiated Sarcoma (US)
14	10	MBL	Medulloblastoma	Medulloblastoma (MBL)
13	5	MRT	Malignant Rhabdoid Tumor	Malignant Rhabdoid Tumor (MRT)
10	6	TALL	T-cell Lymphoblastic Leukemia	T-cell Lymphoblastic Leukemia (TALL)
9	3	ATRT	Atypical Teratoid Rhabdoid Tumor	Atypical Teratoid Rhabdoid Tumor (ATRT)
8	4	SS	Synovial Sarcoma	Synovial Sarcoma (SS)
7	5	DSRCT	Desmoplastic Small Round Cell Tumor	Desmoplastic Small Round Cell Tumor (DSRCT)
6	4	MPNST	Malignant Peripheral Nerve Sheath Tumor	Malignant Peripheral Nerve Sheath Tumor (MPNST)
6	5	ACC	Adrenal Cortical Carcinoma	Adrenal Cortical Carcinoma (ACC)
6	2	HCC	Hepatocellular Carcinoma	Hepatocellular Carcinoma (HCC)
6	6	HB	Hepatoblastoma	Hepatoblastoma (HB)
5	1	LGG	Low Grade Glioma	Low Grade Glioma (LGG)
5	3	MFT	Myofibroblastic Tumor	Myofibroblastic Tumor (MFT)
4	3	MPN	Myeloproliferative Neoplasm	Myeloproliferative Neoplasm (MPN)
4	2	ES	Epithelioid Sarcoma	Epithelioid Sarcoma (ES)
4	1	PTC	Papillary Carcinoma of Thyroid	Papillary Carcinoma of Thyroid (PTC)
3	2	MN	Meningioma	Meningioma (MN)
3	2	EMBCNS	Embryonal CNS Tumor	Embryonal CNS Tumor (EMBCNS)
3	1	SPINDLE	Spindle Cell Tumor, unclear diagnosis	Spindle Cell Tumor, unclear diagnosis (SPINDLE)
3	2	CD	Chordoma	Chordoma (CD)
3	1	ASPS	Alveolar Soft Part Sarcoma	Alveolar Soft Part Sarcoma (ASPS)
3	2	CPC	Choroid Plexus Carcinoma	Choroid Plexus Carcinoma (CPC)
78	30	Other	Other	Other (Other)
