Drug	Patients	Normalized
Vincristine	121	1.0
Radiation	119	0.9834710743801653
Doxorubicin	114	0.9421487603305785
Cyclophosphamide	114	0.9421487603305785
Etoposide	106	0.8760330578512396
Cisplatin	102	0.8429752066115702
Carboplatin	52	0.4297520661157025
Topotecan	49	0.4049586776859504
Methotrexate	41	0.33884297520661155
Ifosfamide	36	0.2975206611570248
Irinotecan	28	0.23140495867768596
Dactinomycin	25	0.2066115702479339
Melphalan	24	0.19834710743801653
Temozolomide	24	0.19834710743801653
Isotretinoin	17	0.14049586776859505
Dinutuximab	15	0.12396694214876033
Il-2	14	0.11570247933884298
Cytarabine	13	0.10743801652892562
Busulfan	12	0.09917355371900827
Mercaptopurine	9	0.0743801652892562
Gemcitabine	9	0.0743801652892562
Daunorubicin	8	0.06611570247933884
Methylprednisolone	7	0.05785123966942149
Thiotepa	7	0.05785123966942149
Asparaginase	7	0.05785123966942149
Dexamethasone	7	0.05785123966942149
Vinblastine	6	0.049586776859504134
Thioguanine	6	0.049586776859504134
Pemetrexed	6	0.049586776859504134
Amifostine	5	0.04132231404958678
Lomustine	5	0.04132231404958678
Mitoxantrone	4	0.03305785123966942
Pegaspargase	4	0.03305785123966942
Mitotane	4	0.03305785123966942
Bevacizumab	4	0.03305785123966942
Hydrocortisone	4	0.03305785123966942
GMCSF	4	0.03305785123966942
Vinorelbine	4	0.03305785123966942
MIBG	3	0.024793388429752067
Dexrazoxane	3	0.024793388429752067
Dacarbazine	3	0.024793388429752067
Temsirolimus	3	0.024793388429752067
Bleomycin	3	0.024793388429752067
Leucovorin	3	0.024793388429752067
Sorafenib	2	0.01652892561983471
Oxaliplatin	2	0.01652892561983471
Paclitaxel	2	0.01652892561983471
Lorlatinib	2	0.01652892561983471
Docetaxel	2	0.01652892561983471
Dabrafenib	2	0.01652892561983471
Afatinib	2	0.01652892561983471
5-Fluorouracil	2	0.01652892561983471
Others (<2)	34	0.2809917355371901
