Samples	Signatures	Mutations
I-H-108298-T1-1-D1-1	SBS11	0
I-H-108317-T1-1-D1-1	SBS11	0
I-H-108319-T1-1-D1-1	SBS11	0
I-H-108333-T2-2-D1-1	SBS11	0
I-H-121266-T1-2-D1-1	SBS11	0
I-H-133671-T1-2-D1-1	SBS11	0
I-H-133672-T1-2-D1-1	SBS11	0
I-H-133673-T2-1-D1-1	SBS11	0
I-H-133674-T1-2-D1-1	SBS11	0
I-H-133675-T1-2-D1-1	SBS11	0
I-H-134733-T3-2-D1-1	SBS11	0
I-H-134753-T1-1-D1-1	SBS11	0
I-H-134754-T1-1-D1-1	SBS11	0
I-H-134756-T1-1-D1-1	SBS11	0
I-H-134757-T1-1-D1-1	SBS11	0
I-H-134768-T1-1-D1-2	SBS11	0
I-H-135062-T1-1-D1-1	SBS11	0
I-H-135065-T1-1-D1-1	SBS11	0
I-H-135074-T1-2-D1-1	SBS11	0
I-H-135076-T1-1-D1-1	SBS11	0
I-H-135088-T1-2-D1-1	SBS11	0
I-H-135387-T1-1-D1-1	SBS11	0
I-H-135392-T1-1-D1-1	SBS11	0
I-H-135393-T1-1-D1-1	SBS11	0
I-H-135420-T1-2-D1-1	SBS11	0
I-H-135459-T1-2-D1-1	SBS11	0
I-H-135463-T1-2-D1-1	SBS11	0
I-H-135467-T1-2-D1-1	SBS11	0
I-H-135963-T1-1-D1-1	SBS11	0
I-H-135963-T2-2-D1-1	SBS11	0
I-H-135965-T1-1-D1-1	SBS11	0
I-H-135967-T1-2-D1-1	SBS11	0
I-H-135973-T1-2-D1-1	SBS11	0
I-H-135988-T1-2-D1-1	SBS11	0
I-H-136062-T1-1-D1-1	SBS11	0
I-H-136083-T1-2-D1-1	SBS11	0
I-H-136086-T1-1-D1-1	SBS11	0
I-H-136134-T1-1-D1-1	SBS11	0
I-H-136375-T1-1-D1-1	SBS11	0
I-H-136424-T1-1-D1-1	SBS11	0
I-H-136428-T1-1-D1-1	SBS11	0
IID_H134768_T02_01_WG01	SBS11	0
IID_H135068_T05_01_WG01	SBS11	0
IID_H136433_T07_01_WG01	SBS11	0
IID_H136640_T01_01_WG01	SBS11	0
IID_H136641_T01_01_WG01	SBS11	0
IID_H136648_T01_01_WG01	SBS11	0
IID_H136649_T01_01_WG01	SBS11	0
IID_H156407_T01_01_WG01	SBS11	0
IID_H156409_T01_01_WG01	SBS11	0
IID_H156416_T01_01_WG01	SBS11	0
IID_H156418_T01_01_WG01	SBS11	0
IID_H158181_T01_01_WG01	SBS11	0
IID_H158182_T01_01_WG01	SBS11	0
IID_H158183_T01_01_WG01	SBS11	0
IID_H158184_T01_01_WG01	SBS11	0
IID_H158186_T01_01_WG01	SBS11	0
IID_H158223_T01_01_WG01	SBS11	0
IID_H158271_T01_01_WG01	SBS11	0
IID_H158493_T01_01_WG01	SBS11	0
KiCS0002_321321	SBS11	0
KiCS0003_20_15220_A_02_00	SBS11	0
KiCS0003_285201	SBS11	0
KiCS0003_285202	SBS11	0
KiCS0005_300238	SBS11	0
KiCS0005_4677	SBS11	0
KiCS0006_274243	SBS11	0
KiCS0007_302948	SBS11	0
KiCS0008_289185	SBS11	0
KiCS0010_270645	SBS11	0
KiCS0010_270646	SBS11	0
KiCS0010_270647	SBS11	0
KiCS0011_19_24259_A_02_00	SBS11	0
KiCS0011_270648	SBS11	0
KiCS0013_319375	SBS11	0
KiCS0015_18_7567	SBS11	0
KiCS0015_283113	SBS11	0
KiCS0015_288017	SBS11	0
KiCS0015_316119	SBS11	0
KiCS0016_270650	SBS11	0
KiCS0017_270651	SBS11	0
KiCS0017_271603	SBS11	0
KiCS0018_270652	SBS11	0
KiCS0024_272790	SBS11	0
KiCS0025_272791	SBS11	0
KiCS0025_307284	SBS11	0
KiCS0029_274194	SBS11	0
KiCS0030_273368	SBS11	0
KiCS0031_283112	SBS11	0
KiCS0033_319631	SBS11	0
KiCS0035_18_2434_A_03_00	SBS11	0
KiCS0035_270452	SBS11	0
