Features	Coefficient	Outcome	AUC	pvalue	Condition
Radiation	0.795251036	SBS1	0.742368945	0.0	class_sigs_noX_all
Anthracyclines	0.974411239	SBS2	0.738228252	0.0046	class_sigs_noX_all
Antimetabolites	2.194053209	SBS12	0.853392857	0.0358	class_sigs_noX_all
Anthracyclines	1.223365794	SBS13	0.779462623	0.0004	class_sigs_noX_all
Platinums	2.436775705	SBS31	0.85821418	0.0	class_sigs_noX_all
Platinums	2.517637199	SBS35	0.878075871	0.0	class_sigs_noX_all
Camptothecins	1.16689379	SBS39	0.807090239	0.0002	class_sigs_noX_all
Antimetabolites	0.989631504	SBS39	0.807090239	0.0002	class_sigs_noX_all
OtherAlkylators	0.947827808	SBS39	0.807090239	0.0002	class_sigs_noX_all
Camptothecins	0.888291607	SBS288L2	0.805777149	0.0	class_sigs_noX_all
MustardGases	0.768505503	SBS288L2	0.805777149	0.0	class_sigs_noX_all
Podophyllotoxins	0.740067685	SBS288L2	0.805777149	0.0	class_sigs_noX_all
Radiation	0.724969823	SBS288L2	0.805777149	0.0	class_sigs_noX_all
Hydrazines	2.270638134	SBS288L3	0.857708714	0.0	class_sigs_noX_all
Radiation	1.28652861	SBS288L3	0.857708714	0.0	class_sigs_noX_all
Camptothecins	1.194360106	SBS288L4	0.768610621	0.0024	class_sigs_noX_all
Platinums	1.828420608	SBS288L5	0.856136204	0.0	class_sigs_noX_all
Anthracyclines	0.832547978	SBS288L5	0.856136204	0.0	class_sigs_noX_all
MustardGases	0.77806677	SBS288L5	0.856136204	0.0	class_sigs_noX_all
Platinums	1.540815454	DBS2	0.784769572	0.0	class_sigs_noX_all
Camptothecins	1.060285556	DBS4	0.802772586	0.0	class_sigs_noX_all
Radiation	0.902063311	DBS4	0.802772586	0.0	class_sigs_noX_all
OtherAlkylators	0.745675501	DBS4	0.802772586	0.0	class_sigs_noX_all
Platinums	1.977942558	DBS5	0.834123989	0.0	class_sigs_noX_all
Antimetabolites	0.750690562	DBS5	0.834123989	0.0	class_sigs_noX_all
Platinums	1.140684364	DBS6	0.720351077	0.0202	class_sigs_noX_all
Radiation	1.472328737	DBS9	0.795878871	0.0032	class_sigs_noX_all
Camptothecins	1.046831537	DBS9	0.795878871	0.0032	class_sigs_noX_all
Platinums	2.702611697	DBS78H2	0.848172732	0.0	class_sigs_noX_all
Antimetabolites	0.766887105	DBS78H2	0.848172732	0.0	class_sigs_noX_all
Antimetabolites	2.311922121	DBS78H3	0.765119844	0.0402	class_sigs_noX_all
Podophyllotoxins	1.307253649	ID3	0.8136445	0.0	class_sigs_noX_all
Radiation	2.012130123	ID5	0.782065893	0.0	class_sigs_noX_all
Platinums	0.883508244	ID5	0.782065893	0.0	class_sigs_noX_all
Radiation	2.26935269	ID8	0.81609623	0.0	class_sigs_noX_all
Anthracyclines	1.187164457	ID9	0.756420878	0.0	class_sigs_noX_all
Camptothecins	1.01305835	ID9	0.756420878	0.0	class_sigs_noX_all
MustardGases	0.894571705	ID9	0.756420878	0.0	class_sigs_noX_all
Radiation	0.88760148	ID9	0.756420878	0.0	class_sigs_noX_all
Antimetabolites	1.093220388	CN5	0.741595238	0.0002	class_sigs_noX_all
Hydrazines	0.87222667	CN25	0.728510154	0.031	class_sigs_noX_all
Radiation	1.115812974	CNV48A	0.70672185	0.044	class_sigs_noX_all
Antimetabolites	0.868681073	CNV48A	0.70672185	0.044	class_sigs_noX_all
Ifosfamide	1.054228378	SBS1	0.759811357	0.0	agent_sigs_noX_all
Irinotecan	0.731386905	SBS1	0.759811357	0.0	agent_sigs_noX_all
Doxorubicin	0.831794763	SBS2	0.718542165	0.0192	agent_sigs_noX_all
Methotrexate	2.453906734	SBS12	0.900178571	0.008	agent_sigs_noX_all
Doxorubicin	1.107590527	SBS13	0.743216281	0.0026	agent_sigs_noX_all
Cisplatin	0.76654394	SBS13	0.743216281	0.0026	agent_sigs_noX_all
Cisplatin	2.159467125	SBS31	0.837798496	0.0	agent_sigs_noX_all
Carboplatin	0.840496909	SBS31	0.837798496	0.0	agent_sigs_noX_all
Cisplatin	2.04799712	SBS35	0.855291638	0.0	agent_sigs_noX_all
Vincristine	1.337198151	SBS35	0.855291638	0.0	agent_sigs_noX_all
Carboplatin	1.033053983	SBS35	0.855291638	0.0	agent_sigs_noX_all
Ifosfamide	1.02065101	SBS39	0.783735141	0.0008	agent_sigs_noX_all
Cyclophosphamide	1.245792238	SBS288L2	0.756851518	0.002	agent_sigs_noX_all
Etoposide	0.729779826	SBS288L2	0.756851518	0.002	agent_sigs_noX_all
Temozolomide	3.093031204	SBS288L3	0.812106439	0.0	agent_sigs_noX_all
Melphalan	2.443939192	SBS288L4	0.736122253	0.0146	agent_sigs_noX_all
Topotecan	0.941938329	SBS288L4	0.736122253	0.0146	agent_sigs_noX_all
