Patients_Percent	Months	Therapy
23.52941176470588	29.0	All
26.506024096385545	40.0	All
0.0	1.0	All
22.22222222222222	26.0	All
9.375	3.0	All
17.72151898734177	10.0	All
30.845771144278604	122.0	All
26.21951219512195	38.0	All
16.666666666666664	11.0	All
17.045454545454543	12.0	All
16.129032258064516	7.0	All
8.333333333333332	2.0	All
27.42857142857143	45.0	All
15.254237288135593	6.0	All
30.15075376884422	118.0	All
15.09433962264151	5.0	All
27.77777777777778	53.0	All
21.551724137931032	17.0	All
21.16788321167883	24.0	All
15.151515151515152	8.0	All
29.441624365482234	97.0	All
28.191489361702125	66.0	All
27.807486631016044	64.0	All
28.865979381443296	87.0	All
21.25984251968504	20.0	All
20.56737588652482	25.0	All
27.717391304347828	59.0	All
27.52808988764045	49.0	All
22.758620689655174	27.0	All
24.025974025974026	31.0	All
12.195121951219512	4.0	All
16.901408450704224	9.0	All
29.797979797979796	101.0	All
25.157232704402517	34.0	All
28.497409326424872	73.0	All
17.582417582417584	13.0	All
20.18348623853211	16.0	All
26.900584795321635	41.0	All
29.230769230769234	88.0	All
20.8955223880597	22.0	All
16.3265306122449	14.0	All
27.27272727272727	48.0	All
22.666666666666664	28.0	All
18.269230769230766	15.0	All
24.68354430379747	33.0	All
31.40096618357488	164.0	All
28.125	71.0	All
25.308641975308642	36.0	All
27.624309392265197	54.0	All
30.541871921182267	128.0	All
24.358974358974358	32.0	All
31.21951219512195	133.0	All
31.100478468899524	225.0	All
30.88235294117647	132.0	All
20.930232558139537	21.0	All
21.1864406779661	18.0	All
27.748691099476442	70.0	All
31.25	187.0	All
27.322404371584703	58.0	All
27.37430167597765	52.0	All
26.589595375722542	42.0	All
29.081632653061224	92.0	All
20.32520325203252	19.0	All
31.06796116504854	151.0	All
30.693069306930692	127.0	All
28.04232804232804	67.0	All
27.472527472527474	55.0	All
27.56756756756757	62.0	All
50.495049504950494	29.0	Platinum
51.35135135135135	39.0	Platinum
50.63291139240506	21.0	Platinum
0.0	1.0	Platinum
0.0	3.0	Platinum
30.434782608695656	10.0	Platinum
7.6923076923076925	4.0	Platinum
56.934306569343065	117.0	Platinum
10.0	5.0	Platinum
47.05882352941176	17.0	Platinum
50.0	24.0	Platinum
57.2463768115942	120.0	Platinum
56.71641791044776	96.0	Platinum
55.118110236220474	66.0	Platinum
55.2	64.0	Platinum
