MutationsType	ID83L1	ID83I1	ID83I2	ID83I3	ID83I4	ID83H1	ID83H2	ID83H3	ID83H4	ID83H5
1:Del:C:0	0.02390771	0.21001073	0.00289886	0.00792798	0.00286387	0.00414108	0.03294393	0.06599194	0.02938832	0.00144144
1:Del:C:1	0.01036295	0.01665662	0	0.00102207	0.00140623	0.00174238	0.01468051	0.00106823	0.01862472	0.00049306
1:Del:C:2	0.00579715	0.00029239	0.00000137	0.00087886	0.0001578	0.00030199	0.00778163	0.00046397	0.01012495	0.00029674
1:Del:C:3	0.00215285	0.00089056	0.00032756	0.0002299	0.00039978	0.0000322	0.00543698	0.0010722	0.00432662	0.00008561
1:Del:C:4	0.00197689	0.00051176	0.00142472	0.00035305	0	0	0.00243384	0.00195361	0.00510647	0.00017478
1:Del:C:5	0.0011801	0.00216217	0.00204017	0.00035129	0.00028304	0.00004662	0.00017278	0.01657893	0.00382917	0
1:Del:T:0	0.02034948	0.05973075	0.00442165	0.01489036	0.00229814	0.0045525	0.03645217	0.01314507	0.03520996	0.00164419
1:Del:T:1	0.00893478	0.00092884	0.00140819	0.00544708	0.00100118	0.00247734	0.04187712	0.00185807	0.01612044	0.00050015
1:Del:T:2	0.00918337	0.00027101	0.00230987	0.00257216	0.00038531	0.00107263	0.01383265	0.00145591	0.01361502	0.00047001
1:Del:T:3	0.00406243	0.00016688	0.00143035	0.00103958	0	0.0007943	0.01531647	0.00079521	0.00880535	0.00015971
1:Del:T:4	0.00267272	0.00002916	0.00242888	0.00202553	0.00041348	0.0008595	0.01133545	0.00710767	0.00258193	0.00008102
1:Del:T:5	0.00000062	0.00000002	0.00000002	0.00041364	0.00001012	0.00151892	0.0078233	0.00552724	0.00077811	0.00502633
1:Ins:C:0	0.01757141	0.00245021	0.00851138	0.07357568	0.00290112	0.027969	0.11405416	0.03881678	0.0003784	0.00194522
1:Ins:C:1	0.00320242	0.00643297	0.00156783	0.02257108	0.00089608	0.00738134	0.04797217	0.00464981	0.00287575	0.00050436
1:Ins:C:2	0.00169091	0.00436021	0.00126577	0.00977284	0.00010444	0.00328962	0.03001788	0.00347163	0.0024289	0.0004303
1:Ins:C:3	0.00070586	0.00976693	0.00147802	0.00117871	0	0.00074664	0.00643961	0.00759241	0.00280586	0.00010676
1:Ins:C:4	0.0002824	0.0098141	0.00001847	0.00068969	0	0.00003689	0.00092231	0.02335251	0.00335094	0.00005659
1:Ins:C:5	0.00097346	0.00979031	0.00248004	0.00056818	0.00008503	0.00006419	0.00009335	0.16379466	0.00124422	0.00000441
1:Ins:T:0	0.01604916	0.02915852	0.01555458	0.04241362	0.00554962	0.01721693	0.09062775	0.01691157	0.01235763	0.00168089
1:Ins:T:1	0.00906641	0.01045458	0.00656169	0.01310483	0.00085596	0.00628794	0.04459501	0.00465227	0.01883201	0.00026573
1:Ins:T:2	0.00505697	0.00090963	0.00068987	0.01002014	0.00120737	0.00460569	0.03072435	0.01417803	0.00215422	0.00063296
1:Ins:T:3	0.0037141	0.00318217	0.00357604	0.00769839	0.00006312	0.0022936	0.02317881	0.01032586	0.00666215	0.00049246
1:Ins:T:4	0.00217998	0.00022606	0.00028448	0.00489565	0.00069691	0.00124325	0.01448658	0.00815524	0.00042867	0
1:Ins:T:5	0.0000009	0	0	0.00189487	0.00136502	0.00030168	0.01406572	0.0151951	0.00057403	0.00626253
2:Del:R:0	0.01752065	0.08789977	0.00098022	0.03017148	0.00419504	0.00882178	0.05817153	0.02980899	0.02175175	0.00238476
2:Del:R:1	0.01435549	0.01048328	0.00114911	0.00585288	0.00175262	0.00162658	0.0198278	0.00087885	0.02731984	0.00059009
2:Del:R:2	0.00361226	0.00582019	0.0013196	0.00318421	0.00038883	0.00028295	0.00931099	0.00020482	0.01042064	0.00022852
2:Del:R:3	0.00027202	0.0183719	0.00004722	0.00058784	0.00009107	0.00032082	0.00393709	0.0008956	0.01008266	0.000041
2:Del:R:4	0.00085464	0.01129089	0.00166467	0.00000423	0	0.0000361	0.00006209	0.01584325	0.0086089	0
