	SBS31_early	SBS31_clonal	SBS35_clonal	SBS31_late	SBS35_late	SBS31_subc	SBS35_subc	SBS31	SBS35	clo_total	wgs_total
I-H-108298-T1-1-D1-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1868	0.0	1868
I-H-108319-T1-1-D1-1	0.0	0.0	916.0	0.0	0.0	587.0	0.0	0	2833	1503.0	2833
I-H-133675-T1-2-D1-1	0.0	0.0	0.0	0.0	0.0	1875.0	1353.0	2848	0	1875.0	2848
I-H-134733-T3-2-D1-1	0.0	0.0	2023.0	0.0	194.0	0.0	0.0	0	0	2217.0	0
I-H-135088-T1-2-D1-1	0.0	553.0	596.0	590.0	796.0	0.0	140.0	1209	1736	2535.0	2945
I-H-135420-T1-2-D1-1	0.0	268.0	0.0	0.0	0.0	284.0	0.0	569	0	552.0	569
I-H-135967-T1-2-D1-1	400.0	3404.0	0.0	2493.0	0.0	1102.0	0.0	7602	0	7399.0	7602
I-H-136134-T1-1-D1-1	0.0	1411.0	1333.0	2462.0	2065.0	0.0	567.0	4590	3298	7271.0	7888
I-H-136375-T1-1-D1-1	0.0	0.0	0.0	0.0	0.0	0.0	2934.0	0	3503	0.0	3503
IID_H136433_T07_01_WG01	0.0	448.0	0.0	0.0	0.0	276.0	0.0	1426	0	724.0	1426
IID_H136648_T01_01_WG01	0.0	378.0	0.0	185.0	0.0	1329.0	0.0	1882	0	1892.0	1882
IID_H136649_T01_01_WG01	0.0	0.0	661.0	0.0	0.0	0.0	0.0	0	734	661.0	734
IID_H156409_T01_01_WG01	72.0	3882.0	0.0	2739.0	0.0	13960.0	0.0	21429	0	20653.0	21429
IID_H156418_T01_01_WG01	0.0	239.0	0.0	0.0	0.0	0.0	0.0	262	0	239.0	262
IID_H158182_T01_01_WG01	0.0	1585.0	1146.0	0.0	0.0	0.0	0.0	1632	1201	2731.0	2833
IID_H158223_T01_01_WG01	0.0	0.0	1042.0	0.0	376.0	0.0	238.0	0	0	1418.0	0
IID_H158493_T01_01_WG01	0.0	0.0	0.0	0.0	0.0	0.0	305.0	0	0	0.0	0
KiCS0002_321321	0.0	209.0	127.0	0.0	0.0	10626.0	4080.0	10876	4226	10962.0	15102
KiCS0010_270647	0.0	0.0	0.0	0.0	1233.0	0.0	2187.0	2416	0	1233.0	2416
KiCS0016_270650	0.0	3041.0	0.0	0.0	0.0	2422.0	834.0	4799	1522	5463.0	6321
KiCS0038_305256	0.0	1686.0	1947.0	128.0	149.0	674.0	1110.0	2252	4342	4584.0	6594
KiCS0038_310410	0.0	795.0	2470.0	0.0	210.0	0.0	3490.0	0	7278	3475.0	7278
KiCS0074_20_10579_A_02_00	0.0	250.0	0.0	0.0	0.0	0.0	0.0	0	643	250.0	643
KiCS0091_18_14899_A_02_00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	2235	0.0	2235
KiCS0092_19_18518_A_02_00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1170	0	0.0	1170
KiCS0092_319682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	879	0	0.0	879
KiCS0092_329766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1268	0.0	1268
KiCS0103_304770	0.0	935.0	0.0	1801.0	0.0	200.0	0.0	3330	0	2936.0	3330
KiCS0154_18_752	0.0	0.0	0.0	0.0	92.0	0.0	0.0	0	0	92.0	0
KiCS0162_317276	0.0	378.0	0.0	0.0	0.0	0.0	0.0	0	561	378.0	561
KiCS0165_317832	0.0	0.0	514.0	0.0	1559.0	0.0	0.0	1773	0	2073.0	1773
KiCS0184_324069	0.0	141.0	0.0	0.0	0.0	0.0	0.0	0	0	141.0	0
KiCS0194_328185	0.0	431.0	2526.0	0.0	1918.0	245.0	769.0	0	6070	5120.0	6070
KiCS0197_20_1402_A_02_00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1848	0.0	1848
KiCS0204_19_13898_A_02_00	0.0	0.0	2991.0	102.0	203.0	0.0	399.0	0	3832	3296.0	3832
KiCS0218_20_11154_A_02_00	0.0	2431.0	0.0	4347.0	0.0	126.0	0.0	7394	0	6904.0	7394
KiCS0276_19_5404_A_02_00	131.0	4826.0	0.0	3312.0	0.0	1044.0	0.0	9223	0	9313.0	9223
KiCS0282_19_8768_A_02_00	0.0	802.0	0.0	123.0	0.0	0.0	0.0	979	0	925.0	979
KiCS0327_20_75_A_02_00	0.0	900.0	0.0	73.0	0.0	333.0	0.0	1523	0	1306.0	1523
KiCS0329_19_12113_A_02_00	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0	0	63.0	0
KiCS0349_19_17411_A_02_00	2345.0	0.0	1109.0	1084.0	2016.0	0.0	0.0	4771	0	6554.0	4771
KiCS0363_19_21783_A_02_00	160.0	803.0	0.0	1896.0	0.0	0.0	0.0	3027	0	2859.0	3027
KiCS0365_19_19570_A_02_00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1943	0	0.0	1943
zcc10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	2185	0.0	2185
zcc119	0.0	1027.0	1227.0	0.0	0.0	0.0	0.0	990	1243	2254.0	2233
zcc121	0.0	0.0	0.0	0.0	0.0	0.0	330.0	0	0	0.0	0
zcc130	0.0	0.0	0.0	1247.0	0.0	0.0	0.0	1766	0	1247.0	1766
zcc147	0.0	754.0	0.0	0.0	66.0	0.0	0.0	906	0	820.0	906
zcc158	0.0	0.0	1081.0	0.0	78.0	0.0	213.0	714	0	1159.0	714
zcc16	0.0	138.0	0.0	0.0	0.0	0.0	0.0	0	0	138.0	0
zcc160	0.0	3123.0	1932.0	507.0	0.0	107.0	0.0	3660	2136	5669.0	5796
zcc169	0.0	0.0	356.0	0.0	0.0	0.0	0.0	0	372	356.0	372
zcc191	0.0	0.0	338.0	0.0	633.0	1421.0	2514.0	2937	0	2392.0	2937
zcc199	0.0	0.0	1697.0	155.0	0.0	225.0	0.0	1794	0	2077.0	1794
zcc223	0.0	627.0	0.0	0.0	0.0	0.0	0.0	895	0	627.0	895
zcc225	0.0	0.0	530.0	0.0	520.0	0.0	2705.0	2166	0	1050.0	2166
zcc232	0.0	0.0	345.0	0.0	0.0	0.0	0.0	0	0	345.0	0
zcc233	0.0	0.0	0.0	0.0	0.0	3499.0	7404.0	6724	0	3499.0	6724
zcc242	0.0	0.0	357.0	0.0	0.0	1473.0	2610.0	1572	2939	1830.0	4511
zcc279	0.0	0.0	839.0	0.0	4134.0	0.0	212.0	2655	0	4973.0	2655
zcc29	0.0	377.0	0.0	0.0	0.0	335.0	0.0	0	829	712.0	829
zcc3	0.0	0.0	1044.0	0.0	0.0	0.0	0.0	0	1640	1044.0	1640
zcc331	0.0	1332.0	810.0	2604.0	0.0	795.0	0.0	5220	0	5541.0	5220
zcc344	63.0	866.0	1175.0	1277.0	1601.0	430.0	0.0	2516	3181	5412.0	5697
zcc35	0.0	0.0	0.0	0.0	0.0	1112.0	0.0	0	1495	1112.0	1495
zcc355	0.0	0.0	836.0	0.0	0.0	0.0	0.0	914	0	836.0	914
zcc377	0.0	470.0	677.0	0.0	114.0	0.0	0.0	0	1339	1261.0	1339
zcc380	0.0	0.0	0.0	0.0	0.0	326.0	0.0	0	0	326.0	0
zcc401	0.0	431.0	0.0	0.0	0.0	644.0	0.0	588	1105	1075.0	1693
zcc403	0.0	56.0	0.0	1464.0	2195.0	311.0	458.0	2941	0	4026.0	2941
zcc5	0.0	0.0	2083.0	0.0	0.0	0.0	0.0	1119	0	2083.0	1119
zcc57	0.0	1373.0	0.0	0.0	0.0	0.0	0.0	0	0	1373.0	0
