Samples	SV2	SV3	SV4	SV5	SV6	SV8	SV9	SV32A	SV32B	SV32C	SV32D	SV32E
KiCS0025_307284	11	0	0	0	0	12	0	0	0	0	0	20
zcc403	111	0	30	0	73	0	0	40	21	31	0	0
KiCS0079_19_7192	14	0	0	0	0	12	0	0	0	0	0	0
zcc248	3	0	13	0	0	2	0	2	3	0	0	0
KiCS0106_302802	26	0	0	0	0	7	0	0	0	0	0	0
KiCS0156_315663	38	0	0	0	0	16	0	7	0	0	0	0
KiCS0043_290134	19	0	0	0	0	13	0	6	0	0	0	0
KiCS0279_19_2126_A_02_00	28	0	0	0	0	35	0	7	0	0	0	0
KiCS0378_19_25245_A_02_00	71	0	0	0	0	100	0	0	0	0	0	0
zcc184	26	0	0	0	0	13	0	35	13	0	0	0
KiCS0046_292280	16	0	0	0	0	12	0	0	0	0	0	0
zcc232	40	0	0	0	0	0	0	0	0	0	0	0
KiCS0487_20_20203_A_02_00	15	0	0	0	0	5	0	3	0	0	0	0
zcc140	13	0	0	0	0	8	0	6	12	9	0	0
KiCS0098_301161	24	0	0	0	0	49	0	0	0	0	0	0
zcc10	12	0	0	0	0	0	0	0	0	0	0	0
zcc195	8	0	0	0	0	2	0	2	1	5	0	0
KiCS0209_18_1512	16	0	0	15	0	31	0	9	0	0	0	0
zcc203	0	0	43	0	337	0	0	0	0	0	0	0
IID_H134768_T02_01_WG01	49	0	20	0	121	0	160	0	0	0	0	0
zcc94	0	0	0	0	0	1	0	1	1	0	0	0
zcc56	3	2	0	2	0	1	0	0	0	0	0	0
I-H-134753-T1-1-D1-1	0	0	0	0	0	10	0	65	13	0	0	0
zcc16	66	0	30	0	0	10	50	0	0	0	0	0
KiCS0292_19_15636_A_02_00	4	2	0	0	0	8	0	0	0	0	0	0
I-H-135965-T1-1-D1-1	45	0	95	0	50	0	0	0	0	0	0	0
KiCS0269_18_13380	15	0	0	0	0	12	0	0	0	0	0	0
zcc135	0	0	0	0	0	0	0	1	0	0	0	7
KiCS0184_324069	71	0	0	0	0	29	0	11	0	0	0	0
zcc331	18	0	11	0	36	8	0	5	0	0	0	0
KiCS0091_18_14899_A_02_00	52	0	0	0	0	15	0	32	12	0	0	0
KiCS0003_285201	37	0	0	0	0	15	0	0	0	0	0	0
KiCS0005_4677	7	0	0	0	0	11	0	5	0	0	0	0
zcc110	23	0	0	0	0	0	0	0	6	0	0	0
KiCS0368_20_6000_A_02_00	19	0	0	0	0	22	0	7	0	0	0	0
zcc153	3	0	0	0	0	0	0	3	3	0	0	0
KiCS0038_287533	14	4	0	0	0	11	0	5	0	0	0	0
KiCS0171_319910	26	0	0	0	0	46	0	20	7	0	0	0
KiCS0358_19_19175_A_02_00	22	0	0	0	0	15	0	0	0	0	0	0
zcc121	13	0	0	0	0	0	0	0	0	0	0	0
KiCS0197_326711	22	0	0	0	0	35	0	5	0	0	0	0
KiCS0011_270648	36	0	0	0	0	19	0	7	0	0	0	0
zcc27	20	0	0	0	0	0	0	0	0	0	0	0
I-H-135963-T1-1-D1-1	14	0	0	0	0	0	0	0	0	0	0	0
KiCS0198_327862	33	0	0	0	0	19	0	18	11	0	25	0
KiCS0036_275797	7	3	0	0	0	8	0	9	4	0	0	0
KiCS0112_306734	24	0	0	0	0	34	0	6	0	0	0	0
KiCS0249_20_7122_A_02_00	52	0	0	0	95	23	0	15	0	0	0	0
KiCS0312_19_15651_A_02_00	10	0	0	0	0	10	0	10	5	0	0	0
zcc5	0	0	0	0	0	6	0	0	5	0	0	8
KiCS0194_328185	264	0	547	0	0	0	0	0	0	0	0	0
KiCS0114_304772	16	0	0	8	0	10	0	0	0	0	0	0
zcc19	4	0	0	0	0	2	0	6	0	0	0	0
KiCS0035_270453	5	0	0	7	0	12	0	11	3	0	0	0
KiCS0074_20_10579_A_02_00	58	0	0	0	0	15	0	0	0	0	0	0
KiCS0033_319631	30	0	0	0	0	35	0	11	0	0	0	0
zcc7	131	0	54	0	76	0	0	0	27	0	71	0
KiCS0282_20_18314_A_02_00	57	0	0	0	0	29	0	10	0	0	0	0
zcc145	0	0	0	2	0	1	0	0	2	0	0	0
zcc60	0	0	0	0	0	0	0	8	6	0	5	0
zcc70	0	0	0	0	0	0	0	0	6	0	0	8
zcc207	5	0	0	0	0	2	0	0	11	0	0	0
IID_H156418_T01_01_WG01	10	0	0	0	0	0	0	0	0	0	0	0
KiCS0125_309277	16	0	0	0	0	11	0	3	0	0	0	0
KiCS0044_285046	17	0	0	0	0	23	0	12	0	0	0	0
zcc190	11	0	0	0	0	0	0	0	0	0	3	0
KiCS0104_312594	18	0	0	0	0	21	0	0	0	0	0	0
zcc250	7	0	0	0	0	2	0	5	3	0	0	0
KiCS0035_270454	18	0	0	0	0	12	0	4	0	0	0	0
KiCS0220_18_3730	35	0	0	0	0	13	0	0	0	0	0	0
KiCS0285_19_15633_A_02_00	6	0	0	10	0	9	0	4	0	0	0	0
KiCS0074_302458	12	0	0	0	0	12	0	7	0	0	0	0
KiCS0015_288017	55	0	0	0	0	28	0	15	9	0	0	0
I-H-135387-T1-1-D1-1	13	0	0	0	38	0	42	0	15	0	0	0
zcc216	44	0	0	0	97	0	0	13	0	0	0	0
KiCS0350_20_1787_A_02_00	0	0	184	0	0	31	98	0	0	0	0	0
zcc29	0	0	0	0	82	0	0	0	0	0	0	0
zcc185	6	0	0	0	0	0	0	3	3	0	4	0
KiCS0388_20_8809_A_02_00	28	0	0	0	0	20	0	5	0	0	0	0
KiCS0110_304269	25	0	0	0	0	28	0	11	0	0	0	0
KiCS0195_328069	26	0	0	0	0	24	0	4	0	0	0	0
zcc198	45	0	9	0	0	0	0	0	0	0	0	0
KiCS0298_20_11148_A_02_00	23	0	0	0	0	31	0	20	5	0	0	0
zcc114	18	0	0	0	0	4	0	9	3	0	0	0
zcc173	5	0	0	0	0	10	0	2	0	0	0	0
KiCS0366_20_11333_A_02_00	20	0	0	0	0	15	0	0	0	0	0	0
KiCS0339_20_1400_A_02_00	10	0	0	0	0	10	0	0	0	0	8	0
KiCS0038_305256	0	0	0	0	0	13	0	8	0	0	17	0
KiCS0149_316368	33	0	0	0	0	69	0	10	0	0	0	0
KiCS0361_19_18661_A_02_00	16	0	7	7	0	8	0	0	0	0	0	0
KiCS0319_19_11213_A_02_00	24	0	0	0	0	13	0	6	5	0	0	0
KiCS0061_290886	37	0	0	0	0	64	0	10	0	0	0	0
IID_H158271_T01_01_WG01	1	0	0	0	0	0	0	1	0	0	0	3
zcc37	42	0	11	0	0	0	34	9	10	0	0	0
I-H-135392-T1-1-D1-1	65	0	0	0	0	0	0	0	0	0	0	0
KiCS0126_328068	20	0	0	0	0	18	0	11	11	0	0	0
KiCS0165_317832	0	0	0	0	0	0	96	0	0	0	0	102
zcc180	11	0	0	0	0	0	0	0	2	0	0	0
zcc187	153	0	30	0	0	39	84	23	0	0	0	0
zcc101	26	0	0	0	51	12	0	9	18	17	0	0
KiCS0192_330523	20	0	0	0	0	20	0	5	5	0	0	0
IID_H136641_T01_01_WG01	219	0	119	0	195	0	0	0	0	0	0	0
KiCS0035_270452	18	0	0	0	0	12	0	4	0	0	0	0
zcc22	2	0	0	0	0	1	0	0	0	0	0	0
I-H-108319-T1-1-D1-1	19	0	0	0	0	14	0	10	12	0	0	0
zcc127	0	0	0	0	0	0	0	2	0	0	0	6
KiCS0302_19_15647_A_02_00	14	0	0	0	0	7	0	0	0	0	0	0
KiCS0092_319682	25	0	0	0	0	40	0	13	9	0	0	0
zcc68	0	0	4	0	0	0	12	0	0	0	0	0
zcc21	0	0	0	0	7	0	0	0	0	0	0	0
KiCS0343_19_13225_A_06_00	28	0	0	0	0	8	0	4	0	0	0	0
zcc104	2	0	0	2	0	0	0	2	2	0	0	0
zcc225	176	0	51	0	0	42	0	103	106	50	0	0
KiCS0324_19_15655_A_02_00	57	0	0	0	0	13	0	0	0	0	0	0
zcc42	0	0	0	0	0	0	0	1	0	0	0	0
zcc201	27	0	0	0	0	0	0	0	0	0	0	0
zcc35	46	0	0	0	0	0	0	0	0	0	0	0
KiCS0333_19_16938_A_02_00	39	0	0	0	0	66	0	14	0	0	0	0
KiCS0141_314896	32	0	0	0	0	11	0	0	0	0	0	0
zcc182	9	0	0	0	0	0	0	2	2	0	0	0
zcc43	112	0	0	0	0	0	73	0	0	0	0	0
zcc146	25	0	31	0	0	0	86	0	0	0	0	0
KiCS0295_19_3667_A_02_00	15	0	0	0	0	12	0	0	0	0	0	0
KiCS0240_18_8811	36	0	0	20	0	12	0	11	0	0	0	0
zcc155	0	0	0	0	0	0	0	0	0	0	1	0
KiCS0169_319629	31	0	0	0	0	40	0	10	0	0	0	0
IID_H158184_T01_01_WG01	27	0	0	0	0	7	0	19	7	0	0	0
KiCS0024_272790	28	0	0	0	0	27	0	12	0	0	0	0
zcc168	0	0	0	0	0	0	0	3	8	0	0	0
KiCS0365_19_19570_A_02_00	28	0	0	0	0	31	0	7	0	0	0	0
zcc157	4	0	0	0	0	0	0	0	0	0	0	0
KiCS0084_300714	20	0	0	0	0	14	0	0	4	0	0	0
zcc230	2	0	0	0	0	2	0	0	0	0	0	0
I-H-136375-T1-1-D1-1	46	0	0	0	0	0	247	0	0	0	0	0
zcc80	2	0	0	0	0	0	0	4	3	0	0	0
zcc105	4	0	0	0	0	0	0	7	5	0	0	0
KiCS0013_319375	16	0	0	0	0	16	0	6	0	0	0	0
I-H-135088-T1-2-D1-1	0	0	35	0	277	0	0	0	0	0	0	0
KiCS0158_316457	186	0	41	0	112	37	0	0	0	0	0	0
KiCS0010_270647	79	0	0	0	0	14	56	23	28	0	0	0
KiCS0193_328020	34	0	0	0	0	43	0	0	0	0	0	0
zcc133	0	0	0	0	0	2	0	2	0	3	2	0
KiCS0277_19_13896_A_02_00	20	0	0	0	0	19	0	5	0	0	0	0
KiCS0197_20_15931_A_02_00	20	0	0	0	0	35	0	5	0	0	0	0
KiCS0118_312902	22	7	0	0	0	24	0	6	0	0	0	0
KiCS0002_321321	121	0	0	0	0	23	0	0	113	0	0	0
zcc141	14	0	0	0	64	0	47	0	0	0	0	0
zcc4	0	0	0	32	0	0	0	0	8	0	0	0
zcc118	4	0	0	0	0	8	0	0	0	7	0	0
zcc6	0	0	0	0	0	0	0	1	1	0	0	0
KiCS0204_19_13898_A_02_00	172	0	255	0	93	34	195	42	48	0	0	0
zcc82	15	0	0	0	0	0	0	21	21	0	0	0
I-H-133672-T1-2-D1-1	6	0	0	0	0	2	0	4	5	0	0	0
zcc20	4	0	0	0	0	1	0	0	1	0	0	0
zcc215	0	0	0	0	0	0	0	0	0	0	2	0
zcc1	2	0	0	0	0	0	0	0	1	0	0	0
zcc8	58	0	30	0	0	21	0	15	18	0	0	0
zcc75	6	0	0	0	16	0	0	8	7	0	0	0
KiCS0385_20_6460_A_02_00	25	0	0	0	0	4	0	0	0	0	0	0
KiCS0003_20_15220_A_02_00	56	0	45	0	0	44	0	24	38	0	0	0
zcc176	0	0	0	0	0	2	0	5	1	1	0	0
zcc129	0	2	0	0	0	1	0	2	4	0	0	0
zcc161	0	0	0	0	0	1	0	1	2	0	0	0
zcc38	15	0	0	0	0	0	0	0	0	0	0	0
KiCS0246_18_11279	8	4	0	0	0	10	0	7	0	0	0	0
I-H-135462-T1-2-D1-1	236	0	0	0	0	53	0	99	100	0	0	0
KiCS0327_20_75_A_02_00	45	0	0	0	0	15	0	0	0	0	0	0
I-H-108333-T2-2-D1-1	31	0	0	0	0	0	0	7	0	0	0	0
KiCS0010_270646	17	0	0	0	0	9	0	5	0	0	0	0
zcc222	0	0	0	0	0	0	0	1	0	3	0	0
KiCS0083_298314	72	0	74	0	146	0	112	0	0	0	0	0
zcc220	0	0	0	0	0	0	0	1	3	2	0	0
zcc102	8	0	0	0	0	1	0	1	0	0	0	0
zcc63	34	0	0	0	0	0	0	0	6	0	0	0
zcc89	2	0	0	0	0	1	0	0	0	0	0	0
zcc199	21	0	0	0	0	7	0	5	5	0	0	0
