	SBS31_early	SBS31_clonal	SBS35_clonal	SBS31_late	SBS35_late	SBS31_subc	SBS35_subc	SBS35	DBS78H2	SBS31	SBS288L5	DBS5	DBS2	DBS6	ID3	clo_total	wgs_total
I-H-108298-T1-1-D1-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1868	0.0	0	0.0	60.0	80.0	0.0	0.0	1928.0	0.0
I-H-108319-T1-1-D1-1	0.0	0.0	916.0	0.0	0.0	587.0	0.0	2833	57.0	0	0.0	0.0	25.0	0.0	0.0	4393.0	0.0
I-H-121266-T1-2-D1-1	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
I-H-133675-T1-2-D1-1	0.0	0.0	0.0	0.0	0.0	1875.0	1353.0	0	152.0	2848	1427.0	0.0	0.0	0.0	0.0	7655.0	0.0
I-H-134733-T3-2-D1-1	0.0	0.0	2023.0	0.0	194.0	0.0	35.0	0	101.0	0	2880.0	71.0	28.0	0.0	158.0	5304.0	158.0
I-H-135074-T1-2-D1-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	44.0	0.0	0.0	44.0
I-H-135076-T1-1-D1-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	82.0	0.0	82.0
I-H-135088-T1-2-D1-1	0.0	553.0	596.0	590.0	796.0	0.0	140.0	1736	44.0	1209	0.0	0.0	27.0	28.0	0.0	5664.0	28.0
I-H-135420-T1-2-D1-1	0.0	268.0	0.0	0.0	22.0	284.0	0.0	0	0.0	569	0.0	0.0	34.0	0.0	0.0	1143.0	0.0
I-H-135967-T1-2-D1-1	400.0	3404.0	0.0	2493.0	0.0	1102.0	0.0	0	70.0	7602	0.0	96.0	39.0	95.0	0.0	15167.0	95.0
I-H-135988-T1-2-D1-1	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	30.0	0.0
I-H-136134-T1-1-D1-1	0.0	1411.0	1333.0	2462.0	2065.0	0.0	567.0	3298	93.0	4590	0.0	68.0	46.0	0.0	234.0	15887.0	234.0
I-H-136375-T1-1-D1-1	0.0	0.0	0.0	0.0	0.0	0.0	2934.0	3503	217.0	0	0.0	0.0	0.0	0.0	0.0	6654.0	0.0
IID_H136433_T07_01_WG01	0.0	448.0	0.0	0.0	0.0	276.0	0.0	0	0.0	1426	0.0	38.0	0.0	0.0	0.0	2188.0	0.0
IID_H136648_T01_01_WG01	0.0	378.0	0.0	185.0	0.0	1329.0	0.0	0	0.0	1882	0.0	43.0	0.0	0.0	0.0	3817.0	0.0
