	SBS1	SBS2	SBS5	SBS7a	SBS7b	SBS8	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS17a	SBS17b	SBS18	SBS20	SBS31	SBS33	SBS35	SBS39	SBS43	SBS44	SBS45	SBS46	SBS53	SBS54	SBS57	SBS60	SBS84	SBS87	SBS288L1/H3	SBS288L2	SBS288L3	SBS288L4	SBS288L5	SBS288H1	SBS288H2	SBS288H4	SBS288H5	DBS1	DBS2	DBS4	DBS5	DBS6	DBS7	DBS9	DBS10	DBS11	DBS78L1/H1	DBS78H2	DBS78H3	ID1	ID2	ID3	ID4	ID5	ID8	ID9	ID12	ID17	ID83L1	ID83I1	ID83I2	ID83I3/H1	ID83H2	ID83H3	ID83H4	ID83I4/H5	Unassigned_SBS
I-H-108298-T1-1-D1-1	0	0	2469	0	0	0	0	0	0	0	0	0	0	0	0	1878	0	0	0	1868	2145	0	0	0	0	0	0	0	0	0	0	2810	0	0	0	0	0	0	0	0	0	80	0	60	0	0	0	0	0	0	0	0	279	216	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0
I-H-108317-T1-1-D1-1	571	0	1695	0	0	989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-108319-T1-1-D1-1	0	0	3600	0	0	0	0	0	0	0	0	0	0	0	0	4125	0	0	0	2833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	57	0	355	181	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0
I-H-108333-T2-2-D1-1	434	0	2716	0	0	1254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-121266-T1-2-D1-1	227	0	714	0	0	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-133671-T1-2-D1-1	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1585	0	0	0	0	0	0	0	0	0	0	0	1002	0	1720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	107	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0
I-H-133672-T1-2-D1-1	229	0	1313	0	0	0	0	0	0	0	0	0	0	0	0	613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364	1059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-133673-T2-1-D1-1	563	0	1883	0	0	0	0	0	0	0	0	0	0	0	0	1085	0	1321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1668	0	0	1786	0	0	0	0	0	28	33	65	0	0	0	0	0	0	0	0	90	0	0	0	0	134	207	0	0	0	0	0	0	0	0	0	0	0
I-H-133674-T1-2-D1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4912	0	5965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	134	0	0	0	0	0	0	246	0	246	180	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-133675-T1-2-D1-1	237	298	470	0	0	0	0	0	0	0	402	0	0	0	0	0	0	2848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	555	733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
