Samples	DBS1	DBS2	DBS4	DBS5	DBS6	DBS8	DBS9	DBS78E
POG_14498	0	35	0	75	43	0	0	0
POG_15844	23	45	22	0	0	0	0	0
POG_16385	0	9	15	0	0	0	0	0
POG_16500	0	0	5	0	0	0	14	0
POG_16501	0	13	11	0	19	0	25	0
POG_16689	0	150	61	115	0	0	0	0
POG_16949	0	0	0	99	0	0	0	0
POG_17557	0	99	86	81	74	0	0	105
POG_17584	0	0	0	24	17	0	0	0
POG_17827	0	0	69	0	0	0	0	0
POG_18153	0	26	10	9	0	0	0	0
POG_18154	0	10	22	0	16	0	0	26
POG_18228	0	9	28	21	0	0	0	0
POG_18568	6	10	8	0	0	0	0	0
POG_18624	0	6	20	0	0	0	0	0
POG_18625	0	0	33	0	0	0	0	0
POG_18650	0	14	0	0	0	0	0	0
POG_18843	6	7	12	0	0	0	24	0
POG_18844	0	0	11	21	0	0	0	0
POG_18880	0	0	14	0	0	0	0	24
POG_19512	0	0	0	0	13	0	0	0
POG_19652	0	25	18	16	0	0	0	0
POG_19661	2	3	4	0	0	0	0	10
POG_19843	14	31	32	0	0	0	0	54
POG_20034	0	27	38	0	45	0	74	0
POG_20115	10	10	24	18	0	0	0	0
POG_20600	0	0	0	85	0	0	0	0
POG_20794	14	15	16	0	21	0	0	0
POG_20800	0	16	12	0	0	0	0	0
POG_20801	0	12	21	0	18	0	34	0
POG_21098	0	24	15	0	0	0	0	0
POG_21186	0	20	0	0	11	0	0	0
POG_21347	0	0	0	0	4	0	13	0
POG_21392	0	39	42	105	0	0	0	0
POG_21404	4	0	0	0	0	0	10	0
POG_21720	0	6	10	0	0	0	0	0
POG_25593	0	11	0	0	0	0	0	0
POG_28590	0	7	0	0	11	0	0	0
POG_30221	0	36	41	0	0	0	49	0
POG_30251	0	21	23	0	0	0	0	0
POG_30252	0	0	0	0	0	0	0	14
POG_30265	0	10	18	0	0	0	0	0
POG_30310	0	9	0	0	0	0	0	15
POG_30489	2993	0	0	0	0	0	0	971
POG_30498	0	0	0	0	38	0	0	0
POG_30500	0	30	20	19	0	0	0	33
POG_30606	17	0	0	0	0	0	0	0
POG_30608	0	0	0	0	0	0	0	20
POG_30635	0	43	48	33	0	0	0	0
POG_30807	0	82	90	325	0	0	0	175
POG_31031	0	13	41	0	33	0	0	31
POG_31370	0	0	15	0	8	0	0	0
POG_31518	0	10	13	26	0	0	0	0
POG_31869	0	0	0	0	6	0	0	0
POG_31870	6	0	23	0	0	0	0	0
POG_31911	0	0	0	6	0	0	0	11
POG_31923	0	6	11	0	0	0	0	0
POG_31978	0	6	4	0	0	0	0	0
POG_31979	16	0	0	0	0	0	0	0
POG_31980	0	0	14	0	0	0	25	0
POG_31981	0	295	0	0	0	0	0	0
POG_31982	12	0	0	0	0	0	0	0
POG_32015	0	0	0	0	0	0	59	77
POG_32033	0	0	0	0	0	348	0	0
POG_32034	0	0	23	0	39	0	0	0
POG_32274	0	0	12	0	0	0	24	0
POG_32277	0	0	0	0	0	0	16	0
POG_32337	0	0	0	23	0	0	0	0
POG_32350	0	13	0	0	0	0	0	0
POG_32353	6	14	11	0	0	0	0	0
POG_32354	0	41	18	72	0	0	0	0
POG_32394	89	0	0	0	0	0	0	0
POG_32395	9143	0	0	0	0	0	0	0
POG_32397	0	0	0	0	0	0	0	23
POG_32398	0	0	0	0	0	0	0	49
POG_32408	0	0	0	0	0	0	0	17
POG_32557	0	8	9	19	0	0	0	0
POG_32558	0	2	0	0	0	0	0	7
POG_32559	0	0	1	0	2	0	0	0
POG_32571	0	14	19	0	13	0	25	0
POG_32572	1253	0	0	0	0	0	0	0
POG_32573	0	13	10	0	19	0	0	0
POG_32654	0	129	0	0	0	0	0	0
POG_32656	0	11	0	32	0	0	0	0
POG_32667	0	0	0	0	0	0	0	9
POG_32897	0	13	0	0	0	0	0	0
POG_32959	0	29	26	22	0	0	0	0
POG_32960	0	0	22	0	0	0	0	0
POG_32971	0	7	12	0	0	0	0	25
POG_32972	0	0	14	0	0	0	18	0
POG_32973	11	11	15	0	0	0	36	0
POG_33033	0	16	21	43	0	0	0	0
POG_33034	0	9	0	0	0	0	0	0
POG_33083	556	0	0	0	0	0	0	0
POG_33127	0	0	14	15	22	0	0	37
POG_33129	0	4	7	0	0	0	0	8
POG_33154	0	5	0	0	8	0	0	0
POG_33155	10	24	0	9	0	0	0	0
POG_33201	2	0	3	0	0	0	0	0
POG_33373	0	73	44	152	0	0	0	76
POG_33374	0	0	0	10	11	0	0	0
POG_33375	0	0	34	67	0	0	0	0
POG_33387	0	0	0	0	0	0	17	0
POG_33388	0	9	0	34	0	0	0	0
POG_33389	1048	0	0	0	0	0	0	0
POG_33480	0	16	21	13	0	0	0	0
POG_33532	0	19	24	0	17	0	0	24
POG_33546	0	0	0	0	0	0	53	0
POG_33740	0	10	19	0	0	0	0	32
POG_33764	0	156	0	0	0	0	0	0
POG_33987	0	8	0	0	0	0	0	0
POG_33988	0	27	0	108	0	0	0	0
POG_34071	0	4	7	0	0	0	0	0
POG_34115	0	22	40	14	31	0	44	0
POG_34117	0	22	20	0	28	0	32	0
POG_34118	0	27	0	0	31	0	0	0
POG_34120	0	17	0	0	0	0	0	44
POG_34121	0	0	11	0	0	0	0	25
POG_34122	0	24	0	0	0	0	0	0
POG_34159	0	0	7	0	0	0	11	10
POG_34161	0	259	0	0	0	0	0	0
POG_34162	0	6	7	0	0	0	0	14
POG_34211	0	0	37	60	0	0	0	0
POG_34215	0	17	0	13	32	0	0	0
POG_34252	0	24	0	0	0	0	0	0
POG_34288	0	20	0	0	0	0	0	0
POG_34332	0	0	3	0	0	0	0	0
POG_34491	0	15	0	0	0	0	0	0
POG_34708	0	1417	0	0	0	0	0	0
POG_35234	10	9	0	18	0	0	0	0
POG_35258	0	49	26	0	0	0	0	0
POG_35260	0	0	17	0	0	0	0	0
POG_35289	0	21	0	0	0	0	0	0
POG_35290	5	0	0	0	0	0	0	0
POG_35336	0	19	21	0	0	0	24	0
POG_35337	0	31	21	18	0	0	0	0
POG_36037	0	18	9	0	0	0	0	0
POG_36062	0	0	363	394	0	0	0	0
POG_36063	526	0	0	0	0	0	0	0
POG_36065	0	24	16	0	23	0	0	0
POG_36067	0	96	83	151	0	0	0	0
POG_36068	0	0	0	0	20	0	0	0
POG_36069	0	106	38	0	43	0	0	69
POG_36509	0	16	0	68	0	0	0	0
POG_36621	2	0	5	0	0	0	0	0
POG_36622	0	0	28	39	0	0	0	0
POG_36684	0	31	60	143	0	0	0	0
POG_36686	0	17	9	0	0	0	0	0
POG_36700	0	55	61	136	0	0	0	0
POG_36701	0	6	0	0	0	0	19	0
POG_36717	29	0	0	0	0	0	0	34
POG_36718	0	39	26	26	0	0	0	0
POG_36748	0	5	11	0	9	0	0	0
POG_36749	0	6	0	0	0	0	0	0
POG_36750	0	23	41	0	0	0	0	0
POG_36962	0	0	16	0	0	0	0	23
POG_36963	0	10	7	7	0	0	0	16
POG_37013	0	43	31	0	41	0	0	0
POG_37025	0	0	0	0	0	0	7	0
POG_37026	0	22	21	0	0	0	0	0
POG_37027	6	0	12	0	0	0	0	0
POG_37076	0	0	0	0	72	0	0	0
POG_37077	6	0	0	0	0	0	0	0
POG_37078	0	0	0	0	0	0	2	0
POG_37080	0	5	6	4	0	0	0	0
POG_37093	0	0	0	15	0	0	0	0
POG_37095	0	0	0	20	0	0	0	0
