Samples	SBS1	SBS2	SBS4	SBS5	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS10a	SBS10b	SBS13	SBS17a	SBS17b	SBS18	SBS26	SBS30	SBS31	SBS32	SBS35	SBS39	SBS44	SBS47	SBS55	SBS85	SBS88	SBS89	SBS93	SBS288S	SBS288U
POG_11004	2155	0	0	3036	0	0	0	0	0	0	0	0	0	781	2938	0	0	0	0	0	0	0	0	0	0	0	3668	0	0	0
POG_11307	432	0	0	2646	0	0	0	0	1070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_11698	0	0	0	0	144775	235475	33812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_12255	223	0	837	98	0	0	0	0	0	0	0	0	0	0	0	0	0	1557	0	0	0	503	0	0	0	0	0	0	0	0
POG_13009	226	0	0	1740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437	0	0	0	0	0
POG_13261	444	165	0	848	0	306	0	0	0	0	0	104	0	0	1718	0	0	0	0	0	453	365	0	0	0	0	0	0	0	0
POG_13268	833	446	1999	3638	0	0	0	0	0	554	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_13269	2185	486	0	3850	0	0	0	0	0	0	0	586	0	457	1885	0	0	0	0	0	0	0	0	0	1354	0	0	0	0	0
POG_13577	374	10195	0	4851	0	0	0	0	0	0	0	6250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_13764	372	1506	0	1165	0	0	0	0	0	0	0	3278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_13904	971	377	0	1844	0	0	0	0	0	0	0	346	180	917	1110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_13931	188	0	0	1274	0	0	0	0	0	0	0	0	0	0	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_13947	1000	0	0	5378	0	0	0	0	7435	0	0	781	690	1215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_14231	279	0	0	1951	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_14232	2989	0	0	5094	0	0	0	0	0	0	0	0	0	0	2716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_14446	485	0	0	859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_14498	670	0	0	5113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4229	0	0	0	0	0	0	0	0	0	0
POG_14519	237	0	0	1284	0	0	0	0	1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_14891	361	0	35158	9580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_15122	217	1161	0	1319	0	0	0	0	0	0	0	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_15123	348	0	13635	6109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_15148	37	384	8742	13430	0	0	0	0	0	0	0	1088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_15227	407	178	673	2699	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_15268	157	0	0	1131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_15844	840	9285	0	5248	0	0	0	0	0	0	0	10611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_16385	472	482	0	1915	0	0	0	0	834	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_16500	272	207	0	1915	0	0	0	0	488	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_16501	398	452	0	4672	0	0	0	0	0	0	0	1975	0	0	0	0	0	0	0	0	3373	0	0	0	0	0	0	0	0	0
POG_16689	411	0	0	2003	0	0	0	0	5160	0	0	0	0	0	0	0	0	5718	0	0	3357	0	0	0	0	0	0	0	0	0
POG_16949	594	0	0	2247	0	0	0	0	0	0	0	0	0	0	0	0	0	866	0	1676	0	0	0	0	0	0	0	0	0	0
POG_17284	42	33	0	334	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_17557	407	0	8380	19152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_17584	321	2853	0	1975	0	0	0	0	0	0	0	2808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_17827	4052	0	0	10209	0	0	0	0	0	0	0	0	0	0	0	2700	0	0	0	0	0	13937	0	0	0	0	0	0	0	0
POG_18153	504	0	0	2764	0	0	0	0	0	0	0	0	0	0	0	782	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_18154	251	274	0	2587	0	0	0	0	2550	0	0	314	210	315	0	0	0	0	0	0	1421	0	0	0	0	0	0	0	0	0
POG_18228	560	1330	0	3538	0	0	0	0	1546	0	0	1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_18568	174	81	0	756	0	0	0	0	384	0	0	117	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_18624	229	174	0	2475	0	0	0	0	0	0	0	295	0	0	584	0	0	0	0	0	0	0	0	0	0	0	0	831	0	0
POG_18625	417	240	0	3486	0	0	0	0	0	0	0	0	0	0	961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_18650	120	82	0	741	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_18843	135	404	0	4480	0	0	0	0	0	0	0	759	0	0	2215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_18844	12694	0	0	1375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_18880	479	436	0	3264	0	0	0	0	0	0	0	459	0	315	855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_19512	534	636	0	1654	0	0	0	0	0	0	0	192	90	226	673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_19652	685	166	0	4577	0	0	0	0	2509	0	0	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_19661	686	3198	0	3025	0	0	0	0	0	0	0	1529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_19843	505	4965	0	17749	0	0	0	0	0	0	0	0	5695	12169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_20034	501	1185	0	7343	0	0	0	0	5378	0	0	1902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_20115	848	2886	0	6161	0	0	0	0	0	0	0	3307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_20600	442	0	1073	1781	0	0	0	0	0	0	0	0	0	0	0	683	0	3414	0	0	0	0	0	0	0	0	0	0	0	0
POG_20794	542	693	0	5318	0	0	0	0	4558	0	0	1216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_20800	361	0	0	2210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_20801	409	0	0	5393	0	0	0	0	4213	0	0	0	0	0	0	0	0	0	0	0	3229	0	0	0	0	0	0	0	0	0
POG_21098	371	141	0	2380	0	0	0	0	625	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_21186	181	0	0	1613	0	0	0	0	732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_21188	195	0	0	574	0	0	0	0	0	0	0	0	0	0	304	0	0	620	0	570	0	0	0	0	0	0	0	0	0	0
POG_21347	301	157	0	1931	0	0	0	0	0	0	0	76	0	0	561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_21392	542	0	0	4191	0	0	0	0	0	0	0	0	0	0	1566	0	0	0	0	2855	0	0	0	0	0	0	0	0	0	0
POG_21404	347	0	0	1216	0	0	0	0	0	0	0	0	0	0	818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_21516	379	0	0	0	22278	5077	0	1369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_21720	615	0	0	2692	413	0	218	0	0	0	0	414	0	0	753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_21721	756	0	0	1654	0	0	0	0	597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_21774	261	696	0	4816	0	0	0	0	3282	0	0	913	0	0	0	0	0	0	0	0	3206	0	0	0	0	0	0	0	0	0
POG_21932	2313	0	0	4685	0	0	0	0	0	0	0	0	0	0	3154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_21933	500	2101	0	2948	0	0	0	0	0	0	0	2805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_22186	452	0	0	5371	0	0	0	0	0	0	0	0	0	0	2838	0	0	0	0	3999	0	0	0	0	0	0	0	0	0	0
POG_22244	351	0	0	1384	0	0	0	0	0	0	0	0	0	0	1131	0	614	0	0	0	1314	0	0	0	658	0	0	1084	0	0
POG_22254	182	898	0	3360	0	0	0	0	1962	0	0	2473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_22256	565	1802	0	6446	0	0	0	0	0	0	0	4632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_22415	431	260	0	2090	0	0	0	0	0	0	0	0	0	0	614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_22499	472	0	0	2737	0	0	0	0	740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_22592	558	0	0	3123	0	0	0	0	1364	0	0	0	0	0	0	0	0	0	0	0	1975	0	0	0	0	0	0	0	0	0
