Samples	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11	DBS12	DBS13	DBS14	DBS15	DBS16	DBS17	DBS18	DBS19	DBS20	DBS78L1	DBS78H1	DBS78H2	DBS78H3
POG_14498	0	21	0	0	0	25	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	50	0
POG_15844	0	30	0	14	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_16385	0	9	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_16500	0	0	0	5	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_16501	0	10	0	0	0	13	0	0	0	0	0	0	26	0	0	0	19	0	0	0	0	0	0	0
POG_16689	0	91	0	30	38	38	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	41	0
POG_16949	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0
POG_17557	0	98	0	69	57	58	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0
POG_17584	0	0	0	0	12	7	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0
POG_17827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	24	0	0	0	19
POG_18153	0	26	0	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_18154	0	8	0	18	0	11	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0
POG_18228	0	6	0	22	11	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
POG_18568	0	7	0	5	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_18624	0	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
POG_18625	0	0	0	18	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_18650	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	6	0	0	0
POG_18843	5	6	0	9	0	0	0	0	15	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
POG_18844	0	0	0	0	11	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0
POG_18880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	18	0	0	0	0	0
POG_19512	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_19652	0	25	0	18	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_19661	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
POG_19843	0	21	0	17	0	0	0	0	0	0	30	0	0	0	0	63	0	0	0	0	0	0	0	0
POG_20034	0	27	0	30	0	39	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0
POG_20115	0	8	0	19	14	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_20600	0	11	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0
POG_20794	0	11	0	12	0	15	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0
POG_20800	0	9	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
POG_20801	0	9	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0
POG_21098	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	14	0	0	0	0
POG_21186	0	13	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
POG_21347	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	6	0	0	4	0	0
POG_21392	0	30	0	27	75	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0
POG_21404	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0
POG_21720	0	6	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
