	SBS1	SBS2	SBS5	SBS7a	SBS7b	SBS8	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS17a	SBS17b	SBS18	SBS20	SBS31	SBS33	SBS35	SBS39	SBS44	SBS84	SBS87	SBS288L1H3	SBS288L2	SBS288L3	SBS288L4	SBS288L5	SBS288H1	SBS288H2	SBS288H4	SBS288H5	DBS1	DBS2	DBS4	DBS5	DBS6	DBS7	DBS9	DBS10	DBS11	DBS78L1H1	DBS78H2	DBS78H3	ID1	ID2	ID3	ID4	ID5	ID8	ID9	ID12	ID17	ID83L1	ID83I1	ID83I2	ID83I3H1	ID83H2	ID83H3	ID83H4	ID83I4H5	SV1	SV2	SV4	SV5	SV6	SV7	SV8	SV9	SV32A	SV32B	SV32C	CN2	CN3	CN4	CN5	CN7	CN13	CN20	CN25	CN48A	CN48B	CN48C	CN48D	CN48E	CN48F
SBS1	0.0	0.0	2.5704972546501663	0.0	0.0	5.626738766425353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0847734576213384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.21476788812095	0.0	0.0	0.0	0.0	0.0	4.013611497178886	1.9090045128407436	0.0	4.74729674202237	2.6235291385263335	2.251811906370347	0.0	2.3024792730992414	0.0	0.0	0.0	0.0	5.663424499859293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SBS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.17952281526523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.952750142593193	0.0	3.3953972563465844	0.0	0.0	0.0	0.0	1.3967429410247392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SBS5	2.5704972546501663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.257101052701854	0.0	1.6060889479144322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.742509189209689	0.0	5.080286711648226	0.0	0.0	0.0	0.0	0.0	0.0	6.921615368179675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.126838421633773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SBS7a	0.0	0.0	0.0	0.0	31.81626289531159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9041990696640414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SBS7b	0.0	0.0	0.0	31.81626289531159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9041990696640414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SBS8	5.626738766425353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6163242006243648	0.0	0.0	0.0	0.0	4.599683173760829	0.0	1.3453261225120021	0.0	1.3324536730273167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6092781543213575	0.0	2.6729699569567416	4.46465362100127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SBS10a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.34549691833817	0.0	0.0	0.0	45.82206696052175	7.239998467649421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.863309899659694	13.154462845857505	0.0	0.0	4.85416939011835	0.0	0.0	0.0	0.0	0.0	0.0	61.44666567965957	0.0	0.0	0.0	6.874446689845995	0.0	1.3417134211366295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SBS10b	0.0	0.0	0.0	0.0	0.0	0.0	74.34549691833817	0.0	0.0	0.0	0.0	64.94272770466593	10.611954600027156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.542633360868232	6.20123032233834	0.0	0.0	7.239998467649421	0.0	0.0	0.0	0.0	0.0	0.0	57.63528745643867	0.0	0.0	0.0	3.126838421633773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SBS11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.431368398142604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SBS12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.441421122998668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.126838421633773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.545213589011346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
