Samples	Signatures	Mutations
I-H-108298-T1-1-D1-1	Primary-Naive	0
I-H-108317-T1-1-D1-1	Primary-Naive	0
I-H-108319-T1-1-D1-1	Primary-Naive	0
I-H-108333-T2-2-D1-1	Primary-Naive	0
I-H-133672-T1-2-D1-1	Primary-Naive	2155
I-H-133673-T2-1-D1-1	Primary-Naive	0
I-H-133674-T1-2-D1-1	Primary-Naive	0
I-H-133675-T1-2-D1-1	Primary-Naive	0
I-H-134733-T3-2-D1-1	Primary-Naive	0
I-H-134753-T1-1-D1-1	Primary-Naive	5539
I-H-134754-T1-1-D1-1	Primary-Naive	1441
I-H-134757-T1-1-D1-1	Primary-Naive	5957
I-H-134768-T1-1-D1-2	Primary-Naive	0
I-H-135062-T1-1-D1-1	Primary-Naive	6553
I-H-135065-T1-1-D1-1	Primary-Naive	0
I-H-135074-T1-2-D1-1	Primary-Naive	0
I-H-135076-T1-1-D1-1	Primary-Naive	0
I-H-135088-T1-2-D1-1	Primary-Naive	0
I-H-135387-T1-1-D1-1	Primary-Naive	2993
I-H-135393-T1-1-D1-1	Primary-Naive	1050
I-H-135459-T1-2-D1-1	Primary-Naive	487
I-H-135463-T1-2-D1-1	Primary-Naive	0
I-H-135963-T1-1-D1-1	Primary-Naive	3178
I-H-135963-T2-2-D1-1	Primary-Naive	3973
I-H-135967-T1-2-D1-1	Primary-Naive	0
I-H-136083-T1-2-D1-1	Primary-Naive	0
I-H-136086-T1-1-D1-1	Primary-Naive	0
I-H-136134-T1-1-D1-1	Primary-Naive	0
I-H-136375-T1-1-D1-1	Primary-Naive	0
IID_H134768_T02_01_WG01	Primary-Naive	0
IID_H136433_T07_01_WG01	Primary-Naive	0
IID_H136641_T01_01_WG01	Primary-Naive	2435
IID_H136648_T01_01_WG01	Primary-Naive	0
IID_H136649_T01_01_WG01	Primary-Naive	0
IID_H156407_T01_01_WG01	Primary-Naive	0
IID_H156409_T01_01_WG01	Primary-Naive	0
IID_H156416_T01_01_WG01	Primary-Naive	0
IID_H158181_T01_01_WG01	Primary-Naive	1068
IID_H158182_T01_01_WG01	Primary-Naive	0
IID_H158186_T01_01_WG01	Primary-Naive	0
IID_H158223_T01_01_WG01	Primary-Naive	0
IID_H158271_T01_01_WG01	Primary-Naive	710
KiCS0002_321321	Primary-Naive	0
KiCS0003_20_15220_A_02_00	Primary-Naive	0
KiCS0003_285201	Primary-Naive	0
KiCS0003_285202	Primary-Naive	0
KiCS0005_300238	Primary-Naive	125
KiCS0005_4677	Primary-Naive	445
KiCS0006_274243	Primary-Naive	0
KiCS0008_289185	Primary-Naive	0
KiCS0010_270645	Primary-Naive	0
KiCS0010_270647	Primary-Naive	0
KiCS0011_19_24259_A_02_00	Primary-Naive	0
KiCS0011_270648	Primary-Naive	321
KiCS0013_319375	Primary-Naive	0
KiCS0015_18_7567	Primary-Naive	0
KiCS0015_283113	Primary-Naive	5122
KiCS0015_288017	Primary-Naive	0
KiCS0015_316119	Primary-Naive	0
KiCS0016_270650	Primary-Naive	0
KiCS0017_270651	Primary-Naive	586
KiCS0017_271603	Primary-Naive	0
KiCS0024_272790	Primary-Naive	436
KiCS0025_272791	Primary-Naive	0
KiCS0025_307284	Primary-Naive	0
KiCS0029_274194	Primary-Naive	4403
KiCS0030_273368	Primary-Naive	0
KiCS0031_283112	Primary-Naive	866
KiCS0033_319631	Primary-Naive	474
KiCS0035_18_2434_A_03_00	Primary-Naive	0
KiCS0035_270452	Primary-Naive	978
KiCS0036_275797	Primary-Naive	1801
KiCS0036_275798	Primary-Naive	0
KiCS0037_283114	Primary-Naive	4468
KiCS0038_305256	Primary-Naive	0
KiCS0038_310410	Primary-Naive	0
KiCS0039_297368	Primary-Naive	0
KiCS0041_317510	Primary-Naive	0
KiCS0041_317512	Primary-Naive	0
