Features	Coefficient	Outcome	AUC	pvalue	Condition
Camptothecins:Platinums	-1.692423532	SBS1	0.766107372	0.0	class_sigs_X_all
Anthracyclines:Platinums	-0.883197479	SBS1	0.766107372	0.0	class_sigs_X_all
OtherAlkylators:VincaAlkaloids	-0.875881181	SBS1	0.766107372	0.0	class_sigs_X_all
Platinums:Radiation	0.853681181	SBS1	0.766107372	0.0	class_sigs_X_all
Anthracyclines:Podophyllotoxins	0.835789288	SBS1	0.766107372	0.0	class_sigs_X_all
Antimetabolites:VincaAlkaloids	-0.817100561	SBS1	0.766107372	0.0	class_sigs_X_all
Podophyllotoxins:Radiation	0.816539305	SBS1	0.766107372	0.0	class_sigs_X_all
Anthracyclines:Platinums	1.459684251	SBS2	0.773011439	0.0038	class_sigs_X_all
Antimetabolites:MustardGases	1.276509864	SBS2	0.773011439	0.0038	class_sigs_X_all
Platinums:VincaAlkaloids	-0.840455444	SBS2	0.773011439	0.0038	class_sigs_X_all
Antimetabolites:Podophyllotoxins	1.077681946	SBS12	0.896964286	0.0196	class_sigs_X_all
MustardGases:VincaAlkaloids	-0.981723609	SBS12	0.896964286	0.0196	class_sigs_X_all
Anthracyclines:Platinums	1.920027552	SBS13	0.808991753	0.0	class_sigs_X_all
Antimetabolites:MustardGases	1.148312687	SBS13	0.808991753	0.0	class_sigs_X_all
Platinums:VincaAlkaloids	-0.914556371	SBS13	0.808991753	0.0	class_sigs_X_all
Camptothecins:Platinums	1.827952563	SBS18	0.714106182	0.0	class_sigs_X_all
Platinums:VincaAlkaloids	-1.06898293	SBS18	0.714106182	0.0	class_sigs_X_all
Anthracyclines:Platinums	0.973229487	SBS18	0.714106182	0.0	class_sigs_X_all
Antimetabolites:MustardGases	-0.738753404	SBS18	0.714106182	0.0	class_sigs_X_all
Anthracyclines:Platinums	0.96533943	SBS31	0.887566333	0.0	class_sigs_X_all
VincaAlkaloids:Radiation	-0.765725053	SBS31	0.887566333	0.0	class_sigs_X_all
Platinums:Radiation	-1.402015465	SBS35	0.89351219	0.0	class_sigs_X_all
Anthracyclines:Radiation	1.27287381	SBS35	0.89351219	0.0	class_sigs_X_all
Platinums:VincaAlkaloids	0.858724787	SBS35	0.89351219	0.0	class_sigs_X_all
Camptothecins:MustardGases	1.868439279	SBS39	0.880043529	0.0	class_sigs_X_all
Platinums:VincaAlkaloids	-1.841032809	SBS39	0.880043529	0.0	class_sigs_X_all
MustardGases:Radiation	0.840694403	SBS39	0.880043529	0.0	class_sigs_X_all
Hydrazines:MustardGases	-0.700994316	SBS39	0.880043529	0.0	class_sigs_X_all
Camptothecins:MustardGases	0.847271443	SBS288L2	0.820348688	0.0	class_sigs_X_all
Podophyllotoxins:VincaAlkaloids	0.731956116	SBS288L2	0.820348688	0.0	class_sigs_X_all
OtherAlkylators:Hydrazines	1.460880611	SBS288L4	0.815217391	0.0006	class_sigs_X_all
Hydrazines:Radiation	-1.444190463	SBS288L4	0.815217391	0.0006	class_sigs_X_all
Camptothecins:MustardGases	1.074975615	SBS288L4	0.815217391	0.0006	class_sigs_X_all
Anthracyclines:Platinums	1.629126328	SBS288L5	0.866727941	0.0	class_sigs_X_all
Platinums:Radiation	-1.068563518	DBS2	0.815370081	0.0	class_sigs_X_all
Camptothecins:Hydrazines	0.835375567	DBS2	0.815370081	0.0	class_sigs_X_all
Camptothecins:Platinums	1.519435721	DBS4	0.829875389	0.0	class_sigs_X_all
Antimetabolites:Radiation	1.199642808	DBS4	0.829875389	0.0	class_sigs_X_all
VincaAlkaloids:Radiation	-3.005163852	DBS5	0.889730458	0.0	class_sigs_X_all
Hydrazines:Radiation	1.538088087	DBS5	0.889730458	0.0	class_sigs_X_all
Antimetabolites:Platinums	1.222515007	DBS5	0.889730458	0.0	class_sigs_X_all
Hydrazines:Podophyllotoxins	0.938113362	DBS6	0.775260454	0.0048	class_sigs_X_all
Antimetabolites:Platinums	1.11506106	DBS78H2	0.863832303	0.0	class_sigs_X_all
Camptothecins:MustardGases	-0.829841001	DBS78H2	0.863832303	0.0	class_sigs_X_all
Antimetabolites:Platinums	1.370616116	ID2	0.703677061	0.0	class_sigs_X_all
Anthracyclines:Platinums	-0.826553443	ID2	0.703677061	0.0	class_sigs_X_all
Camptothecins:MustardGases	0.819242265	ID2	0.703677061	0.0	class_sigs_X_all
Platinums:Radiation	-1.757684122	ID3	0.84913259	0.0	class_sigs_X_all
Podophyllotoxins:Radiation	0.836072931	ID3	0.84913259	0.0	class_sigs_X_all
Anthracyclines:VincaAlkaloids	0.724384088	ID3	0.84913259	0.0	class_sigs_X_all
Camptothecins:MustardGases	-1.284017875	ID5	0.786123774	0.0	class_sigs_X_all
Anthracyclines:Camptothecins	2.107245765	ID8	0.829908806	0.0	class_sigs_X_all
Camptothecins:VincaAlkaloids	-1.194773682	ID8	0.829908806	0.0	class_sigs_X_all
Anthracyclines:Radiation	-1.084174278	ID8	0.829908806	0.0	class_sigs_X_all
Camptothecins:Podophyllotoxins	1.214987982	ID9	0.773730619	0.0	class_sigs_X_all
OtherAlkylators:VincaAlkaloids	-0.827660465	ID9	0.773730619	0.0	class_sigs_X_all
Anthracyclines:Platinums	1.740518723	SV4	0.716818713	0.0004	class_sigs_X_all
Platinums:Podophyllotoxins	0.747328064	SV4	0.716818713	0.0004	class_sigs_X_all
OtherAlkylators:Camptothecins	0.929659055	SV32C	0.714228868	0.025	class_sigs_X_all
Camptothecins:VincaAlkaloids	0.822416764	SV32C	0.714228868	0.025	class_sigs_X_all
Camptothecins:Platinums	0.703113948	SV32C	0.714228868	0.025	class_sigs_X_all
Anthracyclines:Antimetabolites	1.293113818	CN5	0.76947619	0.0004	class_sigs_X_all
MustardGases:VincaAlkaloids	-0.928004305	CN5	0.76947619	0.0004	class_sigs_X_all
Platinums:VincaAlkaloids	1.49379351	CN20	0.714691626	0.0	class_sigs_X_all
Anthracyclines:Platinums	1.372999528	CN20	0.714691626	0.0	class_sigs_X_all
Anthracyclines:VincaAlkaloids	-0.986228134	CN20	0.714691626	0.0	class_sigs_X_all
Anthracyclines:Hydrazines	1.973437476	CN25	0.798188025	0.0032	class_sigs_X_all
Anthracyclines:Platinums	-1.319401929	CN25	0.798188025	0.0032	class_sigs_X_all
Cyclophosphamide:Vincristine	1.166500602	SBS1	0.768745853	0.0	agent_sigs_X_all
Cyclophosphamide:Irinotecan	0.714188818	SBS1	0.768745853	0.0	agent_sigs_X_all
Ifosfamide:Carboplatin	-0.959097528	SBS5	0.800687062	0.0136	agent_sigs_X_all
Cisplatin:Etoposide	0.866119089	SBS12	0.906071429	0.0098	agent_sigs_X_all
Methotrexate:Etoposide	0.78820931	SBS12	0.906071429	0.0098	agent_sigs_X_all
Methotrexate:Vincristine	0.719183495	SBS12	0.906071429	0.0098	agent_sigs_X_all
Cyclophosphamide:Etoposide	-1.555840169	SBS13	0.74943469	0.0138	agent_sigs_X_all
Cisplatin:Doxorubicin	1.490647963	SBS13	0.74943469	0.0138	agent_sigs_X_all
Cisplatin:Vincristine	-0.977252035	SBS13	0.74943469	0.0138	agent_sigs_X_all
Cisplatin:Topotecan	1.590354057	SBS18	0.708006291	0.0	agent_sigs_X_all
Methotrexate:Vincristine	-1.181668142	SBS18	0.708006291	0.0	agent_sigs_X_all
Carboplatin:Doxorubicin	0.81885904	SBS18	0.708006291	0.0	agent_sigs_X_all
Cisplatin:Vincristine	-0.797209469	SBS18	0.708006291	0.0	agent_sigs_X_all
Melphalan:Etoposide	-1.246055502	SBS31	0.867334906	0.0	agent_sigs_X_all
Cisplatin:Doxorubicin	1.174027485	SBS31	0.867334906	0.0	agent_sigs_X_all
Temozolomide:Doxorubicin	0.999433613	SBS31	0.867334906	0.0	agent_sigs_X_all
Methotrexate:Cyclophosphamide	0.864777859	SBS31	0.867334906	0.0	agent_sigs_X_all
Cyclophosphamide:Carboplatin	-1.886029314	SBS35	0.864633174	0.0	agent_sigs_X_all
Methotrexate:Cisplatin	0.864884499	SBS35	0.864633174	0.0	agent_sigs_X_all
Ifosfamide:Irinotecan	1.416008723	SBS39	0.822325465	0.0008	agent_sigs_X_all
Vincristine:Etoposide	-1.011597587	SBS39	0.822325465	0.0008	agent_sigs_X_all
Cyclophosphamide:Irinotecan	0.765814904	SBS39	0.822325465	0.0008	agent_sigs_X_all
Cyclophosphamide:Etoposide	1.361732563	SBS288L2	0.782166752	0.0012	agent_sigs_X_all
Melphalan:Topotecan	1.059409464	SBS288L2	0.782166752	0.0012	agent_sigs_X_all
Carboplatin:Irinotecan	2.236290324	SBS288L4	0.770174876	0.0092	agent_sigs_X_all
Melphalan:Busulfan	-1.458241087	SBS288L4	0.770174876	0.0092	agent_sigs_X_all
Cyclophosphamide:Carboplatin	2.774946806	SBS288L5	0.887386204	0.0	agent_sigs_X_all
Cisplatin:Doxorubicin	1.945608291	SBS288L5	0.887386204	0.0	agent_sigs_X_all
Methotrexate:Etoposide	1.176499502	SBS288L5	0.887386204	0.0	agent_sigs_X_all
Mercaptopurine:Etoposide	2.179490278	DBS4	0.773613707	0.0016	agent_sigs_X_all
Carboplatin:Irinotecan	1.227971468	DBS4	0.773613707	0.0016	agent_sigs_X_all
Cyclophosphamide:Etoposide	0.867101456	DBS4	0.773613707	0.0016	agent_sigs_X_all
Topotecan:Doxorubicin	0.837739087	DBS4	0.773613707	0.0016	agent_sigs_X_all
Cisplatin:Carboplatin	1.575591962	DBS5	0.877008086	0.0	agent_sigs_X_all
Melphalan:Etoposide	-1.085938048	DBS5	0.877008086	0.0	agent_sigs_X_all
Methotrexate:Cisplatin	0.970486409	DBS5	0.877008086	0.0	agent_sigs_X_all
Ifosfamide:Cisplatin	0.905469671	DBS5	0.877008086	0.0	agent_sigs_X_all
Cisplatin:Doxorubicin	0.734563012	DBS5	0.877008086	0.0	agent_sigs_X_all
Carboplatin:Topotecan	0.88931728	DBS6	0.743542172	0.0246	agent_sigs_X_all
Temozolomide:Etoposide	0.73622387	DBS6	0.743542172	0.0246	agent_sigs_X_all
Melphalan:Etoposide	-1.391980506	DBS78H2	0.850556954	0.0	agent_sigs_X_all
Methotrexate:Cisplatin	1.243466884	DBS78H2	0.850556954	0.0	agent_sigs_X_all
Cyclophosphamide:Irinotecan	1.727104899	ID2	0.703268787	0.0	agent_sigs_X_all
Ifosfamide:Doxorubicin	0.860039326	ID2	0.703268787	0.0	agent_sigs_X_all
Temozolomide:Cisplatin	-0.813014233	ID2	0.703268787	0.0	agent_sigs_X_all
Cisplatin:Carboplatin	2.272965791	ID3	0.83288586	0.0	agent_sigs_X_all
Melphalan:Etoposide	1.004923166	ID3	0.83288586	0.0	agent_sigs_X_all
Cyclophosphamide:Carboplatin	-0.789462848	ID3	0.83288586	0.0	agent_sigs_X_all
Melphalan:Carboplatin	1.172811866	ID5	0.708506009	0.0126	agent_sigs_X_all
Cyclophosphamide:Etoposide	0.868947522	ID5	0.708506009	0.0126	agent_sigs_X_all
Mercaptopurine:Etoposide	0.75920119	ID5	0.708506009	0.0126	agent_sigs_X_all
Cyclophosphamide:Irinotecan	-1.643283209	ID8	0.751755189	0.0	agent_sigs_X_all
Melphalan:Topotecan	1.206709323	ID8	0.751755189	0.0	agent_sigs_X_all
Irinotecan:Doxorubicin	1.035080203	ID8	0.751755189	0.0	agent_sigs_X_all
Carboplatin:Irinotecan	0.871080908	ID8	0.751755189	0.0	agent_sigs_X_all
Busulfan:Carboplatin	-0.845377192	ID8	0.751755189	0.0	agent_sigs_X_all
Melphalan:Carboplatin	0.827345862	ID8	0.751755189	0.0	agent_sigs_X_all
Busulfan:Carboplatin	-1.633975369	ID9	0.755400047	0.0	agent_sigs_X_all
Cyclophosphamide:Topotecan	1.347076293	ID9	0.755400047	0.0	agent_sigs_X_all
Ifosfamide:Doxorubicin	0.968893304	ID9	0.755400047	0.0	agent_sigs_X_all
Ifosfamide:Etoposide	1.189617364	SV1	0.70920248	0.0256	agent_sigs_X_all
Methotrexate:Doxorubicin	-0.711777476	SV1	0.70920248	0.0256	agent_sigs_X_all
Cyclophosphamide:Carboplatin	1.152251218	SV4	0.722011696	0.0	agent_sigs_X_all
Cisplatin:Doxorubicin	0.928781958	SV4	0.722011696	0.0	agent_sigs_X_all
Carboplatin:Irinotecan	0.861298638	SV4	0.722011696	0.0	agent_sigs_X_all
Etoposide:Doxorubicin	0.80347356	SV4	0.722011696	0.0	agent_sigs_X_all
Methotrexate:Cisplatin	0.789813971	SV4	0.722011696	0.0	agent_sigs_X_all
Vincristine:Topotecan	1.978054984	SV32C	0.724030326	0.0112	agent_sigs_X_all
Melphalan:Cisplatin	0.700052432	SV32C	0.724030326	0.0112	agent_sigs_X_all
Methotrexate:Doxorubicin	1.475479591	CN5	0.755452381	0.001	agent_sigs_X_all
Methotrexate:Etoposide	1.154385885	CN5	0.755452381	0.001	agent_sigs_X_all
Cyclophosphamide:Melphalan	0.796347248	CN5	0.755452381	0.001	agent_sigs_X_all
Carboplatin:Vincristine	1.170751301	CN20	0.710241518	0.0	agent_sigs_X_all
Cyclophosphamide:Vincristine	1.014142077	CN20	0.710241518	0.0	agent_sigs_X_all
Cisplatin:Carboplatin	-0.916549485	CN20	0.710241518	0.0	agent_sigs_X_all
Busulfan:Carboplatin	0.853366379	CN20	0.710241518	0.0	agent_sigs_X_all
Vincristine:Doxorubicin	-0.753617861	CN20	0.710241518	0.0	agent_sigs_X_all
Temozolomide:Doxorubicin	2.003269756	CN25	0.769695378	0.0138	agent_sigs_X_all
