	I-H-134733-T3-2-D1-1	IID_H158223_T01_01_WG01	KiCS0184_324069	zcc232	zcc57	DBS5
AC>CA	0	0	0	0	0	0.0021398219882088
AC>CG	0	0	0	0	0	0.000461961569417
AC>CT	0	0	0	0	0	0.0020198319701784
AC>GA	0	1	0	0	0	0.0005579535838413
AC>GG	0	0	0	0	0	1.1099076667812e-17
AC>GT	0	0	0	0	1	0.0008219316235082
AC>TA	1	0	0	1	1	0.0014798768890416
AC>TG	0	0	0	0	0	0.0011199068349504
AC>TT	0	1	0	0	1	0.0074693786223924
AT>CA	0	1	0	0	0	0.0001079910162273
AT>CC	0	0	0	0	0	2.1298228200396e-05
AT>CG	0	0	0	0	0	1.049912657766e-17
AT>GA	0	0	0	0	0	0.0011099076667812
AT>GC	0	0	0	0	0	1.049912657766e-17
AT>TA	0	0	0	1	0	0.0007929340358175
CC>AA	16	8	5	15	25	1.049912657766e-17
CC>AG	11	0	1	1	19	0.024297978651156
CC>AT	15	2	0	2	6	0.0024297978651156
CC>GA	1	1	1	1	0	6.7594376823792e-05
CC>GG	0	0	0	0	0	1.1899010121348e-05
CC>GT	0	0	0	0	0	2.4797937059616e-05
CC>TA	0	2	0	2	1	0.0012698943574884
CC>TG	0	0	0	0	3	0.0048095998893852
CC>TT	1	1	0	2	0	1.049912657766e-17
CG>AT	0	0	0	0	0	0.0016398635797488
CG>GC	0	0	0	0	0	9.9191748238464e-05
CG>GT	2	0	0	0	0	0.0064794609736416
CG>TA	0	0	1	0	0	1.049912657766e-17
CG>TC	0	0	0	0	1	2.9797521144216e-05
CG>TT	1	1	0	2	2	0.0022198153335624
CT>AA	30	11	1	1	10	0.46596123668472
CT>AC	54	108	5	7	14	0.20898261473628
CT>AG	1	0	1	0	0	0.026697779011764
CT>GA	0	0	0	0	0	0.016098660752412
CT>GC	0	0	0	1	0	0.004849596562062
CT>GG	0	1	0	0	0	0.0005699525856444
CT>TA	2	1	0	0	0	0.0033397221685128
CT>TC	0	0	1	1	1	0.00023698028561
CT>TG	1	0	0	0	1	0.000873927297988
GC>AA	1	1	4	1	3	0.0001329889366503
GC>AG	1	1	2	1	1	0.0026597787330072
GC>AT	0	0	0	1	0	0.0015698694025644
GC>CA	1	1	1	0	3	0.0045796190214936
GC>CG	0	0	0	0	0	0.0003229731318651
GC>TA	1	0	0	1	1	0.0002219815333562
TA>AT	1	0	0	1	1	0.0018698444476404
TA>CG	0	0	1	0	0	7.8893436854988e-06
TA>CT	1	0	1	0	1	0.0022698111744084
TA>GC	0	0	0	0	0	5.2195657843224e-05
TA>GG	0	1	0	1	0	0.0016298644115796
TA>GT	0	0	0	0	0	0.0019098411203172
TC>AA	2	3	1	5	4	0.040396639403568
TC>AG	3	1	0	0	0	0.014898760572108
TC>AT	5	2	0	3	1	0.0007479377790561
TC>CA	2	2	1	0	0	0.0014298810481956
TC>CG	0	0	0	0	0	1.0599118259352e-17
TC>CT	0	1	1	2	0	0.001049912657766
TC>GA	0	1	0	0	2	2.4597953696232e-05
TC>GG	0	0	1	0	0	3.4797105228816e-05
TC>GT	0	0	0	1	0	3.8596789133112e-05
TG>AA	1	5	1	2	1	0.01799850270456
TG>AC	1	0	0	1	0	0.0014598785527032
TG>AT	10	1	0	1	1	0.020398303065168
TG>CA	0	0	2	0	3	0.0004759604048539
TG>CC	0	1	0	0	0	0.0005059579093615
TG>CT	3	2	0	0	0	0.0003279727159497
TG>GA	0	1	0	0	0	0.0032697279913284
TG>GC	0	0	0	0	0	0.0002919757105406
TG>GT	30	16	1	4	2	0.082693120759284
TT>AA	1	0	2	5	0	0.0049195907392464
TT>AC	0	2	0	0	0	0.0009659196451447
TT>AG	0	0	0	1	0	0.0008929257175095
TT>CA	0	0	0	0	1	1.049912657766e-17
TT>CC	0	1	0	1	0	0.0007729356994791
TT>CG	0	0	0	0	0	1.049912657766e-17
TT>GA	0	0	0	0	0	2.9897512825908e-05
TT>GC	0	0	0	0	0	5.6595291837672e-05
TT>GG	0	1	0	0	0	1.049912657766e-17
