MutationType	SV32A	SV32B	SV32C
clustered_del_1-10Kb	0.0216092	0.00262354	0.03835538
clustered_del_10-100Kb	0.00716983	0.00094482	0.02782515
clustered_del_100Kb-1Mb	0.00265126	0.00000658	0.02941804
clustered_del_1Mb-10Mb	0.0000022	0.00000197	0.00085551
clustered_del_>10Mb	0.00000134	0.00000151	0.00000051
clustered_tds_1-10Kb	0.0069725	0.00030625	0.01622213
clustered_tds_10-100Kb	0.00211489	0.00006414	0.01235928
clustered_tds_100Kb-1Mb	0.0024396	0.00000094	0.02712144
clustered_tds_1Mb-10Mb	0.0000022	0.00000151	0.00020742
clustered_tds_>10Mb	0.00000073	0.00000166	0.00000051
clustered_inv_1-10Kb	0.02065415	0.00003521	0.0388645
clustered_inv_10-100Kb	0.00489375	0.00000126	0.0361922
clustered_inv_100Kb-1Mb	0.00395976	0.00000129	0.05408037
clustered_inv_1Mb-10Mb	0.00000259	0.00000091	0.00011876
clustered_inv_>10Mb	0.00027523	0.00000212	0.00000271
clustered_trans	0.00015251	0.00000216	0.00000113
non-clustered_del_1-10Kb	0.00086956	0.00076545	0.00090817
non-clustered_del_10-100Kb	0.07288095	0.00000222	0.13416531
non-clustered_del_100Kb-1Mb	0.00421189	0.00168798	0.00060238
non-clustered_del_1Mb-10Mb	0.16281458	0.03525556	0.00481706
non-clustered_del_>10Mb	0.06078306	0.15361937	0.00692077
non-clustered_tds_1-10Kb	0.00435245	0.00000081	0.12364165
non-clustered_tds_10-100Kb	0.00000262	0.00008059	0.3192609
non-clustered_tds_100Kb-1Mb	0.00000299	0.00003016	0.00104829
non-clustered_tds_1Mb-10Mb	0.10685106	0.01901382	0.02912813
non-clustered_tds_>10Mb	0.0290805	0.14153859	0.00606731
non-clustered_inv_1-10Kb	0.01893165	0.01362733	0.00526163
non-clustered_inv_10-100Kb	0.02875319	0.02967439	0.0504089
non-clustered_inv_100Kb-1Mb	0.13600727	0.02266674	0.01917293
non-clustered_inv_1Mb-10Mb	0.28270663	0.0488721	0.00177509
non-clustered_inv_>10Mb	0.00352759	0.52006476	0.00056002
non-clustered_trans	0.01532228	0.00910428	0.01463639
