MutationType	CN48A	CN48B	CN48C	CN48D	CN48E	CN48F
0:homdel:0-100kb	0.00005674	0.00001913	0	0.01011382	0.00000001	0.00203657
0:homdel:100kb-1Mb	0.00000323	0.00021823	0	0.02290704	0	0.00107746
0:homdel:>1Mb	0.00000003	0.00068228	0	0.01233556	0	0.00133826
1:LOH:0-100kb	0.06562857	0.00012627	0.00002783	0.00002443	0.00000245	0.00000002
1:LOH:100kb-1Mb	0.02803695	0.01064006	0.00090578	0.01273933	0.04721983	0.00000002
1:LOH:1Mb-10Mb	0.00059568	0.00067593	0.00543032	0.12800837	0.03372061	0.00023336
1:LOH:10Mb-40Mb	0.00004214	0	0.00014725	0.00089695	0.00151456	0
1:LOH:>40Mb	0.00000002	0.00000005	0	0.00000015	0	0.00000008
2:LOH:0-100kb	0.42053052	0	0.00000003	0.00000029	0.00127621	0.00008857
2:LOH:100kb-1Mb	0.30585028	0.00916014	0.00179139	0.00134585	0.03177346	0.00000036
2:LOH:1Mb-10Mb	0.00094774	0.00000149	0.00102837	0.30977158	0.00007232	0.02916317
2:LOH:10Mb-40Mb	0.00000938	0.00001352	0	0.1818411	0.0002048	0.01170497
2:LOH:>40Mb	0.00000002	0.00000005	0	0.01493102	0.00000001	0.00018058
3-4:LOH:0-100kb	0.0755515	0.00005293	0.00114795	0.00099136	0.12038672	0.02305551
3-4:LOH:100kb-1Mb	0.01441534	0.0041394	0.00983302	0.01913825	0.14084901	0.1717663
3-4:LOH:1Mb-10Mb	0	0.0000219	0.00021808	0.02708691	0.00307731	0.2700955
3-4:LOH:10Mb-40Mb	0.00000002	0	0	0.01292377	0	0.06366014
3-4:LOH:>40Mb	0.00000002	0	0	0.00368034	0.00000001	0.00213964
5-8:LOH:0-100kb	0.01587909	0	0.00058788	0.00096813	0.14627566	0.00389752
5-8:LOH:100kb-1Mb	0.00019569	0	0.00122306	0.0091477	0.13004922	0.00069058
5-8:LOH:1Mb-10Mb	0	0	0	0.00618469	0.00142281	0.02089601
5-8:LOH:10Mb-40Mb	0.00000002	0.00000001	0	0.0014255	0.00000002	0.00102168
5-8:LOH:>40Mb	0.00000002	0.00000004	0	0.00060611	0.00000003	0.00001744
9+:LOH:0-100kb	0.02053793	0.00000001	0	0.00000014	0.1959524	0.00000001
9+:LOH:100kb-1Mb	0.00000001	0.00000001	0	0.00312112	0.05233184	0.00003415
9+:LOH:1Mb-10Mb	0	0.00000001	0	0.00110274	0.0006155	0.00022945
9+:LOH:10Mb-40Mb	0.00000001	0.00000006	0	0.00057453	0.00000003	0.00000812
9+:LOH:>40Mb	0.00000001	0.00000008	0.00000001	0.00010159	0.00000004	0.00000006
2:het:0-100kb	0.00000003	0.0000002	0	0.00000094	0.00000007	0.00000036
2:het:100kb-1Mb	0.00000003	0.0000002	0	0.00000094	0.00000007	0.00000036
2:het:1Mb-10Mb	0.00000003	0.0000002	0	0.00000094	0.00000007	0.00000036
2:het:10Mb-40Mb	0.00000003	0.0000002	0	0.00000094	0.00000007	0.00000036
2:het:>40Mb	0.00000003	0.0000002	0	0.00000094	0.00000007	0.00000036
3-4:het:0-100kb	0.02057375	0.01179001	0.01700128	0.00132381	0.03690606	0.36105029
3-4:het:100kb-1Mb	0.03114524	0.67633487	0.21974587	0.0000009	0.05634869	0.005333
3-4:het:1Mb-10Mb	0	0.28315722	0.00133442	0.03553482	0.00000001	0.00077386
3-4:het:10Mb-40Mb	0.00000001	0.00025073	0.0003067	0.13299939	0.00000001	0.00918687
3-4:het:>40Mb	0.00000001	0.00000001	0.00000001	0.00069626	0.00000001	0.00004525
5-8:het:0-100kb	0	0.00071292	0.1013625	0.00058582	0	0.01627072
5-8:het:100kb-1Mb	0	0.00130398	0.43122195	0.00069439	0	0.00000003
5-8:het:1Mb-10Mb	0.00000002	0.000688	0.01917454	0.00232982	0.00000001	0.00006603
5-8:het:10Mb-40Mb	0.00000002	0.00000945	0.00056555	0.00852189	0.00000001	0.00042966
5-8:het:>40Mb	0.00000002	0	0	0.00448677	0.00000001	0.00113663
9+:het:0-100kb	0.00000003	0	0.1257684	0.00114232	0.00000002	0.00000004
9+:het:100kb-1Mb	0.00000003	0	0.06022484	0.01798909	0.00000002	0.00116131
9+:het:1Mb-10Mb	0.00000002	0.00000016	0.0008026	0.01052951	0.00000002	0.00114148
9+:het:10Mb-40Mb	0.00000002	0.00000001	0.00015028	0.00112832	0.00000003	0.00006016
9+:het:>40Mb	0.00000001	0.00000008	0	0.00006385	0.00000004	0.00000736
