Drug	Class	Subclass	Anita	Extra1	Extra2
Methotrexate	Antimetabolite	Antimetabolite	Antimetabolite	Folic acid antagonist	Immunosuppressant
Thioguanine	Antimetabolite	Antimetabolite	Antimetabolite	Purine antagonist	
Mercaptopurine	Antimetabolite	Antimetabolite	Antimetabolite	Purine antagonist	
Fludarabine	Antimetabolite	Antimetabolite	Antimetabolite	Adenosine deaminase inhibitor	
5-Fluorouracil	Antimetabolite	Antimetabolite	Antimetabolite	Pyrimidine antagonist	
Fluorouracil	Antimetabolite	Antimetabolite	Antimetabolite	Pyrimidine antagonist	
Cytarabine	Antimetabolite	Antimetabolite	Antimetabolite	Pyrimidine antagonist	
Gemcitabine	Antimetabolite	Antimetabolite	Antimetabolite	Pyrimidine antagonist	
Hydroxyurea	Antimetabolite	Antimetabolite	Antimetabolite	Antimetabolite	
Decitabine	Antimetabolite	Antimetabolite	Antimetabolite	DNA demethylating agent	
Azacitidine	Antimetabolite	Antimetabolite	Antimetabolite	DNA demethylating agent	
Pemetrexed	Antimetabolite	Antimetabolite		Folate antimetabolites	treatment of pleural mesothelioma and non-small cell lung cancer (NSCLC)
Ifosfamide	Alkylating agent	Mustard gas derivative	Nitrogen mustards	Mustard gas derivative	
Cyclophosphamide	Alkylating agent	Mustard gas derivative	Nitrogen mustards	Mustard gas derivative	
Melphalan	Alkylating agent	Mustard gas derivative	Nitrogen mustards	Mustard gas derivative	
Busulfan	Alkylating agent	"Alkylating agent, Other"	Nitrogen mustards	Alkylsulfonates	
Lomustine	Alkylating agent	"Alkylating agent, Other"	Nitrosoureas	Nitrosureas	
Thiotepa	Alkylating agent	"Alkylating agent, Other"	Other alkylating agents	Ethylenimines	
Temozolomide	Alkylating agent	Hydrazines and Triazines	Other alkylating agents	Hydrazines and Triazines	
Procarbazine	Alkylating agent	Hydrazines and Triazines	Other alkylating agents	Hydrazines and Triazines	
Dacarbazine	Alkylating agent	Hydrazines and Triazines	Other alkylating agents	Hydrazines and Triazines	
Cisplatin	Alkylating agent	Platinums	Platinums	Platinums	
Carboplatin	Alkylating agent	Platinums	Platinums	Platinums	
Oxaliplatin	Alkylating agent	Platinums	Platinums	Platinums	
Rituximab	Monoclonal antibody	Monoclonal antibody	Monoclonal antibody	Monoclonal antibody	
Inotuzumab	Monoclonal antibody	Monoclonal antibody	Monoclonal antibody	Anti-CD22	
