Tumor_name_short	Tumor_name_full
YST	Yolk Sac Tumor
MFT	Myofibroblastic Tumor
MFT	Myofibroblastic Tumor
MFT	Myofibroblastic Tumor
PGL	Paraganglioma
PGL	Paraganglioma
NBL	Neuroblastoma
NBL	Neuroblastoma
CRC	Colorectal Carcinoma
OST	Osteosarcoma
OST	Osteosarcoma
OST	Osteosarcoma
MN	Meningioma
MN	Meningioma
PTC	Papillary Carcinoma of Thyroid
BALL	B-cell Lymphoblastic Leukemia
ERMS	Embryonal Rhabdomyosarcoma
ERMS	Embryonal Rhabdomyosarcoma
ERMS	Embryonal Rhabdomyosarcoma
ERMS	Embryonal Rhabdomyosarcoma
HGG	High Grade Glioma
NBL	Neuroblastoma
NBL	Neuroblastoma
MPNST	Malignant Peripheral Nerve Sheath Tumor
US	Undifferentiated Sarcoma
ARMS	Alveolar Rhabdomyosarcoma
ARMS	Alveolar Rhabdomyosarcoma
EWS	Ewing Sarcoma
GS	Gliosarcoma
US	Undifferentiated Sarcoma
NBL	Neuroblastoma
US	Undifferentiated Sarcoma
PTC	Papillary Carcinoma of Thyroid
BALL	B-cell Lymphoblastic Leukemia
BALL	B-cell Lymphoblastic Leukemia
BALL	B-cell Lymphoblastic Leukemia
BALL	B-cell Lymphoblastic Leukemia
BALL	B-cell Lymphoblastic Leukemia
BALL	B-cell Lymphoblastic Leukemia
GIST	Gastrointestinal Stromal Tumor
HB	Hepatoblastoma
HB	Hepatoblastoma
HB	Hepatoblastoma
ERMS	Embryonal Rhabdomyosarcoma
NBL	Neuroblastoma
SS	Synovial Sarcoma
SS	Synovial Sarcoma
EPD	Ependymoma
RCC	Renal Cell Carcinoma
HCC	Hepatocellular Carcinoma
AL	Acute Leukemia
LGG	Low Grade Glioma
NBL	Neuroblastoma
NBL	Neuroblastoma
EPD	Ependymoma
EPD	Ependymoma
HGG	High Grade Glioma
HGG	High Grade Glioma
HGG	High Grade Glioma
NE	Neuroepithelioma
US	Undifferentiated Sarcoma
BNHL	B Cell Lymphoma
RCC	Renal Cell Carcinoma
HGG	High Grade Glioma
NBL	Neuroblastoma
MBL	Medulloblastoma
NBL	Neuroblastoma
ATRT	Atypical Teratoid Rhabdoid Tumor
US	Undifferentiated Sarcoma
US	Undifferentiated Sarcoma
HGG	High Grade Glioma
WT	Nephroblastoma (Wilms Tumor)
WT	Nephroblastoma (Wilms Tumor)
WT	Nephroblastoma (Wilms Tumor)
NBL	Neuroblastoma
NBL	Neuroblastoma
EPD	Ependymoma
EWS	Ewing Sarcoma
OST	Osteosarcoma
TNHL	T-Cell Lymphoma
ERMS	Embryonal Rhabdomyosarcoma
SCST	Sertoli-Leydig Cell Tumor
US	Undifferentiated Sarcoma
US	Undifferentiated Sarcoma
OST	Osteosarcoma
LPD	T-cell Lymphoproliferative Disease 
NBL	Neuroblastoma
NBL	Neuroblastoma
GN/NBL	Ganglioneuroblastoma
NBL	Neuroblastoma
NBL	Neuroblastoma
NBL	Neuroblastoma
ERMS	Embryonal Rhabdomyosarcoma
ERMS	Embryonal Rhabdomyosarcoma
MPAL	Mixed Phenotype Acute Leukemia
ES	Epithelioid Sarcoma
PGL	Paraganglioma
PGL	Paraganglioma
NBL	Neuroblastoma
SS	Synovial Sarcoma
US	Undifferentiated Sarcoma
OST	Osteosarcoma
AMKL	Acute Megakaryoblastic Leukaemia
AMKL	Acute Megakaryoblastic Leukaemia
EPD	Ependymoma
EWS	Ewing Sarcoma
NBL	Neuroblastoma
NBL	Neuroblastoma
HGG	High Grade Glioma
PTC	Papillary Carcinoma of Thyroid
MBL	Medulloblastoma
AF	Aggressive Fibromatosis
PTC	Papillary Carcinoma of Thyroid
NBL	Neuroblastoma
NBL	Neuroblastoma
WT	Nephroblastoma (Wilms Tumor)
WT	Nephroblastoma (Wilms Tumor)
WT	Nephroblastoma (Wilms Tumor)
BALL	B-cell Lymphoblastic Leukemia
MFT	Myofibroblastic Tumor
EWS	Ewing Sarcoma
BALL	B-cell Lymphoblastic Leukemia
ACC	Adrenal Cortical Carcinoma
NBL	Neuroblastoma
NBL	Neuroblastoma
OST	Osteosarcoma
BALL	B-cell Lymphoblastic Leukemia
BALL	B-cell Lymphoblastic Leukemia
OST	Osteosarcoma
AML	Acute Monocytic Leukemia
ARMS	Alveolar Rhabdomyosarcoma
NBL	Neuroblastoma
MRT	Malignant Rhabdoid Tumor
MRT	Malignant Rhabdoid Tumor
MRT	Malignant Rhabdoid Tumor
MPN	Myeloproliferative Neoplasm
MPN	Myeloproliferative Neoplasm
MPN	Myeloproliferative Neoplasm
CRC	Colorectal Carcinoma
OST	Osteosarcoma
BALL	B-cell Lymphoblastic Leukemia
NBL	Neuroblastoma
LB	Lipoblastomatosis
NBL	Neuroblastoma
HGG	High Grade Glioma
NBL	Neuroblastoma
BALL	B-cell Lymphoblastic Leukemia
AML	Acute Monocytic Leukemia
BALL	B-cell Lymphoblastic Leukemia
BALL	B-cell Lymphoblastic Leukemia
ES	Epithelioid Sarcoma
OST	Osteosarcoma
BALL	B-cell Lymphoblastic Leukemia
OST	Osteosarcoma
ERMS	Embryonal Rhabdomyosarcoma
SS	Synovial Sarcoma
BALL	B-cell Lymphoblastic Leukemia
ERMS	Embryonal Rhabdomyosarcoma
ERMS	Embryonal Rhabdomyosarcoma
OST	Osteosarcoma
BALL	B-cell Lymphoblastic Leukemia
BALL	B-cell Lymphoblastic Leukemia
NBL	Neuroblastoma
NBL	Neuroblastoma
NBL	Neuroblastoma
LS	Liposarcoma
ERMS	Embryonal Rhabdomyosarcoma
OST	Osteosarcoma
NBL	Neuroblastoma
ARMS	Alveolar Rhabdomyosarcoma
HGG	High Grade Glioma
WT	Nephroblastoma (Wilms Tumor)
WT	Nephroblastoma (Wilms Tumor)
WT	Nephroblastoma (Wilms Tumor)
HGG	High Grade Glioma
MS	Myeloid Sarcoma
MS	Myeloid Sarcoma
PT	Phyllodes Tumor
ERMS	Embryonal Rhabdomyosarcoma
GIST	Gastrointestinal Stromal Tumor
TNHL	T-Cell Lymphoma
MRT	Malignant Rhabdoid Tumor
NBL	Neuroblastoma
AL	Acute Leukemia
MAO	Mucinous Adenocarcinoma (Ovarian)
MAO	Mucinous Adenocarcinoma (Ovarian)
MM	Malignant Melanoma
PNET	Primitive Neuroectodermal Tumor
ARMS	Alveolar Rhabdomyosarcoma
EMC	Epithelial-Myoepithelial Carcinoma
ARMS	Alveolar Rhabdomyosarcoma
MFT	Myofibroblastic Tumor
TALL	T-cell Lymphoblastic Leukemia
NBL	Neuroblastoma
CD	Chordoma
CD	Chordoma
CD	Chordoma
NBL	Neuroblastoma
EWS	Ewing Sarcoma
ERMS	Embryonal Rhabdomyosarcoma
NBL	Neuroblastoma
EWS	Ewing Sarcoma
NBL	Neuroblastoma
EPD	Ependymoma
ERMS	Embryonal Rhabdomyosarcoma
HGG	High Grade Glioma
MBL	Medulloblastoma
OST	Osteosarcoma
DSRCT	Desmoplastic Small Round Cell Tumor
DSRCT	Desmoplastic Small Round Cell Tumor
HGG	High Grade Glioma
HCC	Hepatocellular Carcinoma
NBL	Neuroblastoma
NBL	Neuroblastoma
ARMS	Alveolar Rhabdomyosarcoma
HGG	High Grade Glioma
NBL	Neuroblastoma
EWS	Ewing Sarcoma
OST	Osteosarcoma
GCT	Germ Cell Tumor
EMS	Embryonal Sarcoma
NBL	Neuroblastoma
NBL	Neuroblastoma
OST	Osteosarcoma
NBL	Neuroblastoma
